都道府県,高校名,高校ページURL
北海道,札幌第一高等学校,https://school.js88.com/scl_h/22052640/
北海道,北海道佐呂間高等学校,https://school.js88.com/scl_h/22051400/
北海道,札幌厚別高等学校,https://school.js88.com/scl_h/22052340/
北海道,北海道科学大学高等学校,https://school.js88.com/scl_h/22052630/
北海道,北海道札幌北陵高等学校,https://school.js88.com/scl_h/22049920/
北海道,美幌高等学校,https://school.js88.com/scl_h/22052200/
北海道,札幌手稲高等学校,https://school.js88.com/scl_h/22049930/
北海道,立命館慶祥高等学校,https://school.js88.com/scl_h/22052620/
北海道,虻田高等学校,https://school.js88.com/scl_h/22051630/
北海道,下川商業高等学校,https://school.js88.com/scl_h/22050990/
北海道,北星学園大学附属高等学校,https://school.js88.com/scl_h/22052660/
北海道,美唄聖華高等学校,https://school.js88.com/scl_h/22050590/
北海道,剣淵高等学校,https://school.js88.com/scl_h/22051120/
北海道,北海道おといねっぷ美術工芸高等学校,https://school.js88.com/scl_h/22051130/
北海道,千歳北陽高等学校,https://school.js88.com/scl_h/22050000/
北海道,札幌丘珠高等学校,https://school.js88.com/scl_h/22049840/
北海道,札幌東豊高等学校,https://school.js88.com/scl_h/22052370/
北海道,北海学園札幌高等学校,https://school.js88.com/scl_h/22052610/
北海道,北海道三笠高等学校,https://school.js88.com/scl_h/22050540/
北海道,石狩翔陽高等学校,https://school.js88.com/scl_h/22052180/
北海道,北海道函館水産高等学校,https://school.js88.com/scl_h/22050130/
北海道,北広島高等学校,https://school.js88.com/scl_h/22052170/
北海道,苫小牧南高等学校,https://school.js88.com/scl_h/22051580/
北海道,砂川高等学校,https://school.js88.com/scl_h/22050690/
北海道,白糠高等学校,https://school.js88.com/scl_h/22052090/
北海道,苫前商業高等学校,https://school.js88.com/scl_h/22051180/
北海道,藤女子高等学校,https://school.js88.com/scl_h/22052650/
北海道,足寄高等学校,https://school.js88.com/scl_h/22051860/
北海道,市立札幌平岸高等学校,https://school.js88.com/scl_h/22052260/
北海道,北海道江差高等学校,https://school.js88.com/scl_h/22050180/
北海道,旭川明成高等学校,https://school.js88.com/scl_h/22053120/
北海道,小樽双葉高等学校,https://school.js88.com/scl_h/22052880/
北海道,白樺学園高等学校,https://school.js88.com/scl_h/22053060/
北海道,札幌日本大学高等学校,https://school.js88.com/scl_h/22053100/
北海道,札幌大谷高等学校,https://school.js88.com/scl_h/22052680/
北海道,苫小牧中央高等学校,https://school.js88.com/scl_h/22053000/
北海道,札幌山の手高等学校,https://school.js88.com/scl_h/22052710/
北海道,武修館高等学校,https://school.js88.com/scl_h/22053090/
北海道,旭川藤星高等学校,https://school.js88.com/scl_h/22052920/
北海道,函館大学付属有斗高等学校,https://school.js88.com/scl_h/22052810/
北海道,飛鳥未来高等学校　札幌キャンパス（通信制）,https://school.js88.com/scl_h/34029151/
北海道,遺愛女子高等学校,https://school.js88.com/scl_h/22052790/
北海道,函館大妻高等学校,https://school.js88.com/scl_h/22052820/
北海道,函館ラ・サール高等学校,https://school.js88.com/scl_h/22052860/
北海道,北海道文教大学附属高等学校,https://school.js88.com/scl_h/22052730/
