都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
京都府,京都国際高等学校,https://school.js88.com/scl_h/34028646/,605-0978,京都府 京都市東山区今熊野本多山町1番地,https://kyoto-kokusai.ed.jp/jp/
京都府,京都産業大学附属高等学校,https://school.js88.com/scl_h/22013700/,600-8577,京都府 京都市下京区中堂寺命婦町1-10,https://jsh.kyoto-su.ac.jp/
京都府,福知山淑徳高等学校,https://school.js88.com/scl_h/22013840/,620-0936,京都府 福知山市正明寺36-10,https://www.kan-on-sen-ku.ed.jp/
京都府,京都芸術高等学校,https://school.js88.com/scl_h/34025249/,611-0011,京都府 宇治市五ヶ庄西浦6-2,https://www.kyoto-geikou.ed.jp/
京都府,京都市立京都堀川音楽高等学校,https://school.js88.com/scl_h/22013520/,604-0052,京都府 京都市中京区油小路通御池押油小路町238-1,https://horion.ed.jp/
京都府,京都暁星高等学校,https://school.js88.com/scl_h/22013820/,626-0065,京都府 宮津市獅子崎30,https://kghs.ed.jp/
京都府,大谷高等学校,https://school.js88.com/scl_h/22013530/,605-0965,京都府 京都市東山区今熊野池田町12,https://www.otani.ed.jp/
京都府,京都翔英高等学校,https://school.js88.com/scl_h/22107210/,611-0013,京都府 宇治市莵道大垣内33-10,http://www.kyoto-shoei.ac.jp/
京都府,ノートルダム女学院高等学校,https://school.js88.com/scl_h/22013740/,606-8423,京都府 京都市左京区鹿ケ谷桜谷町110,https://www.notredame-jogakuin.ed.jp/
京都府,京都両洋高等学校,https://school.js88.com/scl_h/22013630/,604-8851,京都府 京都市中京区壬生上大竹町13,https://www.kyoto-ryoyo.ed.jp/
京都府,飛鳥未来きぼう高等学校　京都キャンパス（通信制）,https://school.js88.com/scl_h/34056034/,600-8031,京都府 京都市下京区寺町通四条下る貞安前之町589TM四条寺町ビル5階,
京都府,龍谷大学付属平安高等学校,https://school.js88.com/scl_h/22013590/,600-8267,京都府 京都市下京区大宮通七条上ル御器屋町30,https://www.heian.ed.jp
京都府,京都文教高等学校,https://school.js88.com/scl_h/22013640/,606-8344,京都府 京都市左京区岡崎円勝寺町5,http://www.kbu.ac.jp/
京都府,京都女子高等学校,https://school.js88.com/scl_h/22013660/,605-8501,京都府 京都市東山区今熊野北日吉町17,https://kgs.ed.jp/
京都府,京都先端科学大学附属高等学校,https://school.js88.com/scl_h/22013540/,616-8036,京都府 京都市右京区花園寺ノ中町8,https://www.js.kuas.ac.jp/
京都府,京都市立美術工芸高等学校,https://school.js88.com/scl_h/22013400/,600-8252,京都府 京都市下京区川端町15,https://cms.edu.city.kyoto.jp/weblog/index.php?id=300407
京都府,同志社国際高等学校,https://school.js88.com/scl_h/22013860/,610-0321,京都府 京田辺市多々羅都谷60-1,https://www.intnl.doshisha.ac.jp/
京都府,京都廣学館高等学校,https://school.js88.com/scl_h/22013870/,619-0245,京都府 相楽郡精華町下狛中垣内48,https://kyoto-kogakkan.mkg.ac.jp
京都府,京都聖カタリナ高等学校,https://school.js88.com/scl_h/22013810/,622-0002,京都府 南丹市園部町美園町1-78,https://www.catalina-kyoto.ed.jp/
京都府,京都外大西高等学校,https://school.js88.com/scl_h/22013550/,615-0074,京都府 京都市右京区山ノ内苗町37,https://www.kufs.ac.jp/
京都府,洛陽総合高等学校,https://school.js88.com/scl_h/22013770/,604-8453,京都府 京都市中京区西ノ京春日町8,https://www.rakuyo.ed.jp/
京都府,京都聖母学院高等学校,https://school.js88.com/scl_h/22013710/,612-0878,京都府 京都市伏見区深草田谷町1,https://www.seibo.ed.jp/kyoto-hs/
京都府,洛南高等学校,https://school.js88.com/scl_h/22013610/,601-8478,京都府 京都市南区壬生通八条下る東寺町559,https://www.rakunan-h.ed.jp/
京都府,京都明徳高等学校,https://school.js88.com/scl_h/22013760/,610-1111,京都府 京都市西京区大枝東長町3-8,https://www.meitoku.ac.jp/
京都府,京都橘高等学校,https://school.js88.com/scl_h/22013680/,612-8026,京都府 京都市伏見区桃山町伊賀50,https://www.tachibana-hs.jp/
京都府,京都廣学館高等学校（通信制）,https://school.js88.com/scl_h/34055717/,619-0245,京都府 相楽郡精華町下狛中垣内48番地,https://kyoto-kogakkan.mkg.ac.jp/step-up/
京都府,平安女学院高等学校,https://school.js88.com/scl_h/22013750/,602-8013,京都府 京都市上京区下立売通烏丸西入五町目町172-2,https://jh.heian.ac.jp/
京都府,日星高等学校,https://school.js88.com/scl_h/22013830/,624-0913,京都府 舞鶴市上安久381,https://www.nisseihs.ed.jp/
京都府,同志社高等学校,https://school.js88.com/scl_h/22013560/,606-8558,京都府 京都市左京区岩倉大鷺町89,https://js.doshisha.ac.jp/high/
京都府,Ｎ高等学校・Ｓ高等学校　京都山科キャンパス（通信制）,https://school.js88.com/scl_h/34056326/,607-8035,京都府 京都市山科区四ノ宮神田町4古橋山科ビル4階,
京都府,Ｎ高等学校・Ｓ高等学校　京都四条烏丸キャンパス（通信制）,https://school.js88.com/scl_h/34056325/,600-8413,京都府 京都市下京区烏丸通仏光寺下ル大政所町680インターワンプレイス烏丸II 9階,
京都府,海洋高等学校,https://school.js88.com/scl_h/22013250/,626-0074,京都府 宮津市字上司1567-1,https://www.kyoto-be.ne.jp/kaiyou-hs/cms/
