都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
佐賀県,東明館高等学校,https://school.js88.com/scl_h/22047000/,841-0204,佐賀県 三養基郡基山町宮浦683,https://www.tomeikan.ed.jp/
佐賀県,弘学館高等学校,https://school.js88.com/scl_h/22046990/,849-0906,佐賀県 佐賀市金立町金立1544-1,https://www.kogakukan.ac.jp/
佐賀県,佐賀農業高等学校,https://school.js88.com/scl_h/22046750/,849-1112,佐賀県 杵島郡白石町福田1660,https://www.education.saga.jp/hp/saganougyoukoukou/
佐賀県,敬徳高等学校,https://school.js88.com/scl_h/22046980/,848-0027,佐賀県 伊万里市立花町86,https://keitoku.ed.jp/
佐賀県,Ｎ高等学校・Ｓ高等学校　佐賀駅前キャンパス（通信制）,https://school.js88.com/scl_h/34056351/,840-0801,佐賀県 佐賀市駅前中央1-9-38佐賀新聞 佐賀駅前ビル1F,
佐賀県,龍谷高等学校,https://school.js88.com/scl_h/22046920/,840-0054,佐賀県 佐賀市水ケ江3-1-25,https://www.sagaryukoku.ed.jp/hsc/
佐賀県,佐賀清和高等学校,https://school.js88.com/scl_h/22046930/,849-0919,佐賀県 佐賀市兵庫北二丁目14番1号,https://sagaseiwa.com/highschool/
佐賀県,敬徳高等学校（通信制）,https://school.js88.com/scl_h/34041730/,848-0027,佐賀県 伊万里市立花町86,https://keitoku.ed.jp/
佐賀県,神埼高等学校,https://school.js88.com/scl_h/22046670/,842-0013,佐賀県 神埼市神埼町本告牟田3076番2,https://www.education.saga.jp/hp/kanzakikoukou/
佐賀県,佐賀工業高等学校,https://school.js88.com/scl_h/22046770/,840-0841,佐賀県 佐賀市緑小路1-1,http://cms.saga-ed.jp/hp/sagakougyoukoukou/
佐賀県,佐賀北高等学校,https://school.js88.com/scl_h/22046550/,840-0851,佐賀県 佐賀市天祐2-6-1,http://cms.saga-ed.jp/hp/sagakitakoukou/
佐賀県,佐賀東高等学校,https://school.js88.com/scl_h/22046560/,840-0016,佐賀県 佐賀市南佐賀3-11-15,https://www.education.saga.jp/hp/sagahigashikoukou/
佐賀県,太良高等学校,https://school.js88.com/scl_h/22046700/,849-1602,佐賀県 藤津郡太良町多良4212-6,http://cms.saga-ed.jp/hp/tarakoukou/home/homeMain.do
佐賀県,武雄高等学校,https://school.js88.com/scl_h/22046630/,843-0022,佐賀県 武雄市武雄町武雄5540-2,https://www.education.saga.jp/hp/takeokoukou
佐賀県,小城高等学校,https://school.js88.com/scl_h/22046610/,845-0001,佐賀県 小城市小城町176,https://www.education.saga.jp/hp/ogikoukou/
佐賀県,鹿島高等学校,https://school.js88.com/scl_h/22046640/,849-1311,佐賀県 鹿島市高津原462,http://cms.saga-ed.jp/hp/kashimakoukou/
佐賀県,鳥栖高等学校,https://school.js88.com/scl_h/22046650/,841-0038,佐賀県 鳥栖市古野町600-1,https://www.education.saga.jp/hp/tosukoukou/
