都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
北海道,札幌第一高等学校,https://school.js88.com/scl_h/22052640/,062-0021,北海道 札幌市豊平区月寒西1条9丁目10番15号,https://www.kibou.ac.jp/daiichi/
北海道,北海道佐呂間高等学校,https://school.js88.com/scl_h/22051400/,093-0505,北海道 常呂郡字佐呂間町北311-1,http://www.saroma.hokkaido-c.ed.jp/
北海道,札幌厚別高等学校,https://school.js88.com/scl_h/22052340/,004-0069,北海道 札幌市厚別区厚別町山本750-15,http://www.sapporoatsubetsu.hokkaido-c.ed.jp/
北海道,北海道科学大学高等学校,https://school.js88.com/scl_h/22052630/,006-0817,北海道 札幌市手稲区前田7条15丁目4-2,https://hs.hus.ac.jp
北海道,北海道札幌北陵高等学校,https://school.js88.com/scl_h/22049920/,002-0857,北海道 札幌市北区屯田7条8丁目5-1,http://www.sapporohokuryou.hokkaido-c.ed.jp/
北海道,美幌高等学校,https://school.js88.com/scl_h/22052200/,092-0017,北海道 網走郡美幌町字報徳94番地,http://www.bihoro-high.hokkaido-c.ed.jp/
北海道,虻田高等学校,https://school.js88.com/scl_h/22051630/,049-5605,北海道 虻田郡洞爺湖町高砂町127-5,http://www.abukou.hokkaido-c.ed.jp/
北海道,下川商業高等学校,https://school.js88.com/scl_h/22050990/,098-1212,北海道 上川郡下川町北町137-1,http://www.shimokawashougyou.hokkaido-c.ed.jp/
北海道,北星学園大学附属高等学校,https://school.js88.com/scl_h/22052660/,004-0007,北海道 札幌市厚別区厚別町下野幌38,http://www.hokusei-s-h.ed.jp/
北海道,美唄聖華高等学校,https://school.js88.com/scl_h/22050590/,072-0007,北海道 美唄市東6条北2丁目1-1,http://www.bibaiseika.hokkaido-c.ed.jp/
北海道,剣淵高等学校,https://school.js88.com/scl_h/22051120/,098-0338,北海道 上川郡剣淵町仲町22-1,https://www.kembuchi-hs.jp
北海道,北海道おといねっぷ美術工芸高等学校,https://school.js88.com/scl_h/22051130/,098-2501,北海道 中川郡音威子府村音威子府181-1,http://otoineppu-h.ed.jp
北海道,千歳北陽高等学校,https://school.js88.com/scl_h/22050000/,066-8611,北海道 千歳市北陽2-10-53,http://www.chitosehokuyou.hokkaido-c.ed.jp
北海道,札幌丘珠高等学校,https://school.js88.com/scl_h/22049840/,007-0881,北海道 札幌市東区北丘珠1条2-589-1,http://www.sapporookadama.hokkaido-c.ed.jp/
北海道,札幌東豊高等学校,https://school.js88.com/scl_h/22052370/,007-0820,北海道 札幌市東区東雁来町376-1,http://www.sapporotouhou.hokkaido-c.ed.jp/
北海道,北海学園札幌高等学校,https://school.js88.com/scl_h/22052610/,062-8603,北海道 札幌市豊平区旭町4丁目1-42,https://www.hgs.ed.jp
北海道,北海道三笠高等学校,https://school.js88.com/scl_h/22050540/,068-2107,北海道 三笠市若草町397,http://www.city.mikasa.hokkaido.jp/highschool/
北海道,石狩翔陽高等学校,https://school.js88.com/scl_h/22052180/,061-3248,北海道 石狩市花川東128-31,http://www.ishikarishoyo.hokkaido-c.ed.jp/
北海道,北海道函館水産高等学校,https://school.js88.com/scl_h/22050130/,049-0111,北海道 北斗市七重浜2-15-3,http://www.hakodatesuisan.hokkaido-c.ed.jp/
北海道,北広島高等学校,https://school.js88.com/scl_h/22052170/,061-1112,北海道 北広島市共栄305-3,http://www.kitahiro.hokkaido-c.ed.jp/
北海道,苫小牧南高等学校,https://school.js88.com/scl_h/22051580/,059-1272,北海道 苫小牧市のぞみ町2-1-2,http://www.tomaminami.hokkaido-c.ed.jp/
北海道,砂川高等学校,https://school.js88.com/scl_h/22050690/,073-0122,北海道 砂川市吉野2条南4-1-1,http://www.sunagawa.hokkaido-c.ed.jp/
北海道,白糠高等学校,https://school.js88.com/scl_h/22052090/,088-0323,北海道 白糠郡白糠町西4条北2-2-8,http://www.shiranuka.hokkaido-c.ed.jp/
北海道,藤女子高等学校,https://school.js88.com/scl_h/22052650/,001-0016,北海道 札幌市北区北１６条西２丁目１－２,https://www.fuji-gjshs.jp/
北海道,足寄高等学校,https://school.js88.com/scl_h/22051860/,089-3732,北海道 足寄郡足寄町里見が丘5-11,http://www.ashoro.hokkaido-c.ed.jp/
北海道,市立札幌平岸高等学校,https://school.js88.com/scl_h/22052260/,062-0935,北海道 札幌市豊平区平岸5条18-1-2,https://www23.sapporo-c.ed.jp/hiragishi/
北海道,北海道江差高等学校,https://school.js88.com/scl_h/22050180/,043-0022,北海道 檜山郡江差町字伏木戸町460-1,http://www.esashi.hokkaido-c.ed.jp/
北海道,旭川明成高等学校,https://school.js88.com/scl_h/22053120/,070-0823,北海道 旭川市緑町14丁目,http://www.takarada.ed.jp/meisei/
北海道,小樽双葉高等学校,https://school.js88.com/scl_h/22052880/,047-0014,北海道 小樽市住ノ江1丁目3番17号,https://www.r-futaba.ed.jp/
北海道,白樺学園高等学校,https://school.js88.com/scl_h/22053060/,082-0082,北海道 河西郡芽室町北伏古東7線10-1,https://www.shirakaba.ac.jp/
北海道,札幌日本大学高等学校,https://school.js88.com/scl_h/22053100/,061-1103,北海道 北広島市虹ヶ丘5丁目7-1,https://www.sapporonichidai.ed.jp/
北海道,札幌大谷高等学校,https://school.js88.com/scl_h/22052680/,065-0016,北海道 札幌市東区北16条東9丁目,https://www.s-ohtani.ed.jp/
