都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
千葉県,Ｎ高等学校・Ｓ高等学校　松戸キャンパス（通信制）,https://school.js88.com/scl_h/34056281/,271-0092,千葉県 松戸市松戸1307-1松戸ビル1階・2階,
千葉県,東海大学付属市原望洋高等学校,https://school.js88.com/scl_h/22006900/,290-0011,千葉県 市原市能満1531,http://www.boyo.tokai.ed.jp
千葉県,西武台千葉高等学校,https://school.js88.com/scl_h/22007100/,270-0235,千葉県 野田市尾崎2241-2,https://www.seibudai-chiba.jp/
千葉県,光英ＶＥＲＩＴＡＳ高等学校,https://school.js88.com/scl_h/22007070/,270-2223,千葉県 松戸市秋山600,https://www.veritas.ed.jp/
千葉県,飛鳥未来高等学校　千葉キャンパス（通信制）,https://school.js88.com/scl_h/34029380/,260-0014,千葉県 千葉市中央区本千葉町8-9-7F,
千葉県,東海大学付属浦安高等学校,https://school.js88.com/scl_h/22006920/,279-8558,千葉県 浦安市東野3-11-1,https://www.urayasu.tokai.ed.jp/
千葉県,千葉学芸高等学校,https://school.js88.com/scl_h/22006770/,283-0005,千葉県 東金市田間1999,https://www.cgh.ed.jp/
千葉県,Ｎ高等学校・Ｓ高等学校　海浜幕張キャンパス（通信制）,https://school.js88.com/scl_h/34056283/,261-0023,千葉県 千葉市美浜区中瀬1-7-1住友ケミカルエンジニアリングセンタービル23階,
千葉県,日出学園高等学校,https://school.js88.com/scl_h/22006740/,272-0824,千葉県 市川市菅野3-23-1,https://www.hinode.ed.jp/
千葉県,木更津総合高等学校,https://school.js88.com/scl_h/22006830/,292-8511,千葉県 木更津市東太田3-4-1,https://www.kimigaku.ed.jp/
千葉県,我孫子二階堂高等学校,https://school.js88.com/scl_h/22006850/,270-1163,千葉県 我孫子市久寺家479-1,https://www.abini.ed.jp/
千葉県,翔凜高等学校,https://school.js88.com/scl_h/22007120/,299-1172,千葉県 君津市三直1348-1,https://www.shorin-global.ed.jp
千葉県,明聖高等学校（通信制）,https://school.js88.com/scl_h/34024976/,260-0014,千葉県 千葉市中央区本千葉町10-23,http://www.meisei-hs.ac.jp/
千葉県,麗澤高等学校,https://school.js88.com/scl_h/22006710/,277-8686,千葉県 柏市光ヶ丘2-1-1,https://www.hs.reitaku.jp/
千葉県,市原中央高等学校,https://school.js88.com/scl_h/22007060/,290-0215,千葉県 市原市土宇1481-1,https://www.kimigaku-ich.ed.jp/
千葉県,千葉経済大学附属高等学校,https://school.js88.com/scl_h/22006630/,263-8585,千葉県 千葉市稲毛区轟町4-3-30,http://www.cku-h.ed.jp/
千葉県,愛国学園大学附属四街道高等学校,https://school.js88.com/scl_h/22007000/,284-0005,千葉県 四街道市四街道1532-16,http://aikokuy.com/
千葉県,横芝敬愛高等学校,https://school.js88.com/scl_h/22006910/,289-1733,千葉県 山武郡横芝光町栗山4508,http://www.yokokei.jp/
千葉県,千葉商科大学付属高等学校,https://school.js88.com/scl_h/22006760/,272-0835,千葉県 市川市中国分2-10-1,https://www.hs.cuc.ac.jp/
千葉県,千葉聖心高等学校,https://school.js88.com/scl_h/22006990/,260-0006,千葉県 千葉市中央区道場北1-17-6,http://www.chibaseishin-h.ed.jp/
千葉県,中央学院高等学校,https://school.js88.com/scl_h/22006880/,270-1131,千葉県 我孫子市都部765,https://www.chuogakuin-h.ed.jp/
千葉県,Ｎ高等学校・Ｓ高等学校　柏キャンパス（通信制）,https://school.js88.com/scl_h/34056282/,277-0843,千葉県 柏市明原1-8-22JMR柏ビル（旧:大樹生命柏第二ビル) 1階,
千葉県,暁星国際高等学校,https://school.js88.com/scl_h/22006960/,292-8565,千葉県 木更津市矢那1083,http://www.gis.ac.jp
千葉県,秀明大学学校教師学部附属秀明八千代高等学校,https://school.js88.com/scl_h/22007080/,276-0007,千葉県 八千代市桑橋803,https://www.shumeiyachiyo.ed.jp/hs
千葉県,和洋国府台女子高等学校,https://school.js88.com/scl_h/22006700/,272-8533,千葉県 市川市国府台2-3-1,https://www.wayokonodai.ed.jp/
千葉県,千葉女子高等学校,https://school.js88.com/scl_h/22005110/,263-0043,千葉県 千葉市稲毛区小仲台5-10-1,http://cms1.chiba-c.ed.jp/chibajoshi-h/
千葉県,千葉東高等学校,https://school.js88.com/scl_h/22005120/,263-0021,千葉県 千葉市稲毛区轟町1-18-52,https://cms1.chiba-c.ed.jp/chibahigashi-h/
千葉県,千葉県立千葉商業高等学校,https://school.js88.com/scl_h/22005130/,260-0044,千葉県 千葉市中央区松波2-22-48,https://cms1.chiba-c.ed.jp/chiba-ch/677ca0dc402ec7d013c2a0941d739e28
千葉県,千葉県立千葉高等学校,https://school.js88.com/scl_h/22005100/,260-0853,千葉県 千葉市中央区葛城1-5-2,http://www.chiba-c.ed.jp/chiba-h/
千葉県,印旛明誠高等学校,https://school.js88.com/scl_h/22005440/,270-1337,千葉県 印西市草深1420-9,http://cms2.chiba-c.ed.jp/i-meisei/
千葉県,国府台高等学校,https://school.js88.com/scl_h/22005280/,272-0827,千葉県 市川市国府台2-4-1,https://cms1.chiba-c.ed.jp/kohnodai-h/
千葉県,柏南高等学校,https://school.js88.com/scl_h/22005380/,277-0033,千葉県 柏市増尾1705,https://cms1.chiba-c.ed.jp/kashiwaminami/
千葉県,我孫子高等学校,https://school.js88.com/scl_h/22005430/,270-1147,千葉県 我孫子市若松18-4,https://cms2.chiba-c.ed.jp/abikohigh/htdocs
千葉県,千葉工業高等学校,https://school.js88.com/scl_h/22005150/,260-0815,千葉県 千葉市中央区今井町1478,https://cms1.chiba-c.ed.jp/chiba-th/
千葉県,東葛飾高等学校,https://school.js88.com/scl_h/22005360/,277-8570,千葉県 柏市旭町3-2-1,https://cms1.chiba-c.ed.jp/tohkatsu/
千葉県,千葉南高等学校,https://school.js88.com/scl_h/22005160/,260-0803,千葉県 千葉市中央区花輪町45-3,https://cms1.chiba-c.ed.jp/chibaminami-h/
千葉県,清水高等学校,https://school.js88.com/scl_h/22005420/,278-0043,千葉県 野田市清水482,https://cms2.chiba-c.ed.jp/chb-shimizu-bh/
千葉県,行徳高等学校,https://school.js88.com/scl_h/22005300/,272-0127,千葉県 市川市塩浜4-1-1,http://cms1.chiba-c.ed.jp/gyotoku-h/
千葉県,船橋東高等学校,https://school.js88.com/scl_h/22005230/,274-0816,千葉県 船橋市芝山2-13-1,https://cms1.chiba-c.ed.jp/funabashieast-h/
千葉県,佐倉高等学校,https://school.js88.com/scl_h/22005460/,285-0033,千葉県 佐倉市鍋山町18,https://cms2.chiba-c.ed.jp/sakura-h
千葉県,県立船橋高等学校,https://school.js88.com/scl_h/22005210/,273-0002,千葉県 船橋市東船橋6-1-1,https://www.chiba-c.ed.jp/funako/
千葉県,船橋啓明高等学校,https://school.js88.com/scl_h/22005240/,273-0041,千葉県 船橋市旭町333,https://cms1.chiba-c.ed.jp/f.keimei-h/
千葉県,千葉県立鎌ヶ谷高等学校,https://school.js88.com/scl_h/22005260/,273-0115,千葉県 鎌ケ谷市東道野辺1-4-1,https://cms1.chiba-c.ed.jp/kamagaya-h/
千葉県,検見川高等学校,https://school.js88.com/scl_h/22005170/,261-0011,千葉県 千葉市美浜区真砂4-17-1,https://cms1.chiba-c.ed.jp/kemigawa-h/
千葉県,京葉工業高等学校,https://school.js88.com/scl_h/22005140/,263-0024,千葉県 千葉市稲毛区穴川4-11-32,https://cms1.chiba-c.ed.jp/keiyo-th/
千葉県,流山高等学校,https://school.js88.com/scl_h/22005390/,270-0114,千葉県 流山市東初石2-98,http://www.chiba-c.ed.jp/nagareyama/
千葉県,流山おおたかの森高等学校,https://school.js88.com/scl_h/22005400/,270-0122,千葉県 流山市大畔275-5,https://cms2.chiba-c.ed.jp/n.otaka-h/
千葉県,八千代高等学校,https://school.js88.com/scl_h/22005200/,276-0025,千葉県 八千代市勝田台南1-1-1,https://cms1.chiba-c.ed.jp/chb-yachiyo-h/
千葉県,松戸国際高等学校,https://school.js88.com/scl_h/22005340/,270-2218,千葉県 松戸市五香西5-6-1,https://cms1.chiba-c.ed.jp/matsudokokusai-h/
千葉県,千葉北高等学校,https://school.js88.com/scl_h/22005180/,263-0005,千葉県 千葉市稲毛区長沼町153,https://cms1.chiba-c.ed.jp/chibakita-h/
千葉県,小金高等学校,https://school.js88.com/scl_h/22005330/,270-0032,千葉県 松戸市新松戸北2-14-1,https://cms1.chiba-c.ed.jp/kogane-h/
千葉県,国分高等学校,https://school.js88.com/scl_h/22005290/,272-0831,千葉県 市川市稲越2-2-1,https://cms1.chiba-c.ed.jp/kokubun-h
千葉県,薬園台高等学校,https://school.js88.com/scl_h/22005220/,274-0077,千葉県 船橋市薬円台5-34-1,https://cms1.chiba-c.ed.jp/yakuendai-h/
千葉県,県立松戸高等学校,https://school.js88.com/scl_h/22005320/,270-0025,千葉県 松戸市中和倉590-1,https://www.chiba-c.ed.jp/matsudo-h/
千葉県,市川工業高等学校,https://school.js88.com/scl_h/22005270/,272-0031,千葉県 市川市平田3-10-10,http://cms1.chiba-c.ed.jp/ichiko/
千葉県,成田西陵高等学校,https://school.js88.com/scl_h/22005450/,286-0846,千葉県 成田市松崎20,https://cms2.chiba-c.ed.jp/naritaseiryo-h/
千葉県,浦安高等学校,https://school.js88.com/scl_h/22005310/,279-0003,千葉県 浦安市海楽2-36-2,https://cms1.chiba-c.ed.jp/urayasu-h/index.php
千葉県,千葉県立柏高等学校,https://school.js88.com/scl_h/22005370/,277-0825,千葉県 柏市布施254,https://cms1.chiba-c.ed.jp/kashiwa-h/
千葉県,若松高等学校,https://school.js88.com/scl_h/22005190/,264-0021,千葉県 千葉市若葉区若松町429,https://cms1.chiba-c.ed.jp/chb-wakamatsu-h/
千葉県,安房拓心高等学校,https://school.js88.com/scl_h/22005810/,299-2795,千葉県 南房総市和田町海発1604,https://cms2.chiba-c.ed.jp/awa-ah/
千葉県,匝瑳高等学校,https://school.js88.com/scl_h/22005610/,289-2144,千葉県 匝瑳市八日市場イ1630,https://cms2.chiba-c.ed.jp/sosa-h/
千葉県,茂原樟陽高等学校,https://school.js88.com/scl_h/22005710/,297-0019,千葉県 茂原市上林283,https://cms2.chiba-c.ed.jp/mobarasyouyou/
千葉県,長狭高等学校,https://school.js88.com/scl_h/22005800/,296-0001,千葉県 鴨川市横渚100,https://cms2.chiba-c.ed.jp/nagasakou/htdocs/
千葉県,八街高等学校,https://school.js88.com/scl_h/22005480/,289-1144,千葉県 八街市八街ろ145-3,https://cms2.chiba-c.ed.jp/yachimata/
千葉県,千葉県立長生高等学校,https://school.js88.com/scl_h/22005690/,297-0029,千葉県 茂原市高師286,https:/cms2.chiba-c.ed.jp/chosei-h/
千葉県,四街道高等学校,https://school.js88.com/scl_h/22005490/,284-0003,千葉県 四街道市鹿渡809-2,https://cms2.chiba-c.ed.jp/yotsukaido-h/
千葉県,大原高等学校,https://school.js88.com/scl_h/22005760/,298-0004,千葉県 いすみ市大原7985,https://cms2.chiba-c.ed.jp/chb-oohara-h/
千葉県,成東高等学校,https://school.js88.com/scl_h/22005630/,289-1326,千葉県 山武市成東3596,https://cms2.chiba-c.ed.jp/narutou-h/
千葉県,県立銚子高等学校,https://school.js88.com/scl_h/22005560/,288-0033,千葉県 銚子市南小川町943,http://cms2.chiba-c.ed.jp/kencho/
千葉県,館山総合高等学校,https://school.js88.com/scl_h/22005840/,294-8505,千葉県 館山市北条106,https://cms2.chiba-c.ed.jp/tateyamasogo/
千葉県,小見川高等学校,https://school.js88.com/scl_h/22005540/,289-0313,千葉県 香取市小見川4735-1,https://cms2.chiba-c.ed.jp/omigawa-h/
千葉県,銚子商業高等学校,https://school.js88.com/scl_h/22005570/,288-0813,千葉県 銚子市台町1781,https://cms2.chiba-c.ed.jp/choshi-ch/
千葉県,旭農業高等学校,https://school.js88.com/scl_h/22005590/,289-2516,千葉県 旭市ロ1,http://cms2.chiba-c.ed.jp/asahi-ah/
千葉県,成田国際高等学校,https://school.js88.com/scl_h/22005500/,286-0036,千葉県 成田市加良部3-16,https://cms2.chiba-c.ed.jp/naritakokusai-h/
千葉県,佐倉東高等学校,https://school.js88.com/scl_h/22005470/,285-0017,千葉県 佐倉市城内町278,http://cms2.chiba-c.ed.jp/sakurahigashi-h/
千葉県,一宮商業高等学校,https://school.js88.com/scl_h/22005730/,299-4301,千葉県 長生郡一宮町一宮3287,https://cms2.chiba-c.ed.jp/chb-ichinomiya-ch/
千葉県,大多喜高等学校,https://school.js88.com/scl_h/22005740/,298-0216,千葉県 夷隅郡大多喜町大多喜481,https://cms2.chiba-c.ed.jp/otaki-h/
千葉県,佐原白楊高等学校,https://school.js88.com/scl_h/22005530/,287-0003,千葉県 香取市佐原イ861,http://cms2.chiba-c.ed.jp/sawarahakuyo-h/
千葉県,下総高等学校,https://school.js88.com/scl_h/22005510/,289-0116,千葉県 成田市名古屋247,https://www.shimofusa-high-school.com/
千葉県,大網高等学校,https://school.js88.com/scl_h/22005660/,299-3251,千葉県 大網白里市大網435-1,https://cms2.chiba-c.ed.jp/oami-h/
千葉県,松尾高等学校,https://school.js88.com/scl_h/22005620/,289-1594,千葉県 山武市松尾町大堤546,https://cms2.chiba-c.ed.jp/matsuo-h/
千葉県,多古高等学校,https://school.js88.com/scl_h/22005550/,289-2241,千葉県 香取郡多古町多古3236,https://cms2.chiba-c.ed.jp/tako-h/
千葉県,東金商業高等学校,https://school.js88.com/scl_h/22005650/,283-0805,千葉県 東金市松之郷字久我台1641-1,https://cms2.chiba-c.ed.jp/toushou/
千葉県,東総工業高等学校,https://school.js88.com/scl_h/22005600/,289-2505,千葉県 旭市鎌数字川西5146,https://cms2.chiba-c.ed.jp/toso-th/
千葉県,安房高等学校,https://school.js88.com/scl_h/22005820/,294-0047,千葉県 館山市八幡385,http://cms2.chiba-c.ed.jp/awakou/
千葉県,東金高等学校,https://school.js88.com/scl_h/22005640/,283-0802,千葉県 東金市東金1410,https://cms2.chiba-c.ed.jp/togane-h/
千葉県,茂原高等学校,https://school.js88.com/scl_h/22005700/,297-0029,千葉県 茂原市高師1300,http://ncsaas.cu-mo.jp/mobaraHS/htdocs/
千葉県,佐原高等学校,https://school.js88.com/scl_h/22005520/,287-0003,千葉県 香取市佐原イ2685,https://cms2.chiba-c.ed.jp/sawara-h/
千葉県,千葉県立八千代東高等学校,https://school.js88.com/scl_h/22006160/,276-0028,千葉県 八千代市村上881-1,https://cms1.chiba-c.ed.jp/yachiyohigashi-h/
千葉県,市立千葉高等学校,https://school.js88.com/scl_h/22006010/,263-0043,千葉県 千葉市稲毛区小仲台9-46-1,http://www.ich.ed.jp/
