都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
和歌山県,智辯学園和歌山高等学校,https://school.js88.com/scl_h/22019620/,640-0392,和歌山県 和歌山市冬野2066-1,https://www.chiben.ac.jp/wakayama/
和歌山県,開智高等学校,https://school.js88.com/scl_h/22019590/,640-8481,和歌山県 和歌山市直川113-2,https://www.kaichi.ed.jp/
和歌山県,高野山高等学校,https://school.js88.com/scl_h/22019580/,648-0288,和歌山県 伊都郡高野町高野山212,https://www.koyasan-h.ed.jp
和歌山県,初芝橋本高等学校,https://school.js88.com/scl_h/22019650/,648-0005,和歌山県 橋本市小峰台2-6-1,http://www.hatsushiba.ed.jp/hatsuhashi/
和歌山県,近畿大学附属和歌山高等学校,https://school.js88.com/scl_h/22019630/,640-8471,和歌山県 和歌山市善明寺516,https://www.hwaka.kindai.ac.jp
和歌山県,串本古座高等学校,https://school.js88.com/scl_h/22019480/,649-3503,和歌山県 東牟婁郡串本町串本1522,https://www.kushimoto-h.wakayama-c.ed.jp/
和歌山県,紀北工業高等学校,https://school.js88.com/scl_h/22019260/,648-0086,和歌山県 橋本市神野々809,https://www.kihoku-th.wakayama-c.ed.jp/
和歌山県,南紀高等学校（昼間定時制・夜間定時制・通信制）,https://school.js88.com/scl_h/22019460/,646-0024,和歌山県 田辺市学園1-88,https://www.nanki-h.wakayama-c.ed.jp/
和歌山県,笠田高等学校,https://school.js88.com/scl_h/22019280/,649-7161,和歌山県 伊都郡かつらぎ町笠田東825,https://www.kaseda-h.wakayama-c.ed.jp/
和歌山県,耐久高等学校,https://school.js88.com/scl_h/22019410/,643-0004,和歌山県 有田郡湯浅町湯浅1985,http://www.taikyu-h.wakayama-c.ed.jp/
和歌山県,桐蔭高等学校,https://school.js88.com/scl_h/22019350/,640-8137,和歌山県 和歌山市吹上5-6-18,https://www.toin-h.wakayama-c.ed.jp
和歌山県,和歌山東高等学校,https://school.js88.com/scl_h/22019330/,640-8312,和歌山県 和歌山市森小手穂136,https://www.wakayamahigashi-h.wakayama-c.ed.jp
和歌山県,和歌山商業高等学校,https://school.js88.com/scl_h/22019360/,640-8272,和歌山県 和歌山市砂山南3-3-94,https://www.wakayama-ch.wakayama-c.ed.jp/
和歌山県,和歌山工業高等学校,https://school.js88.com/scl_h/22019370/,641-0036,和歌山県 和歌山市西浜3-6-1,https://www.wakayama-th.wakayama-c.ed.jp/
和歌山県,粉河高等学校,https://school.js88.com/scl_h/22019290/,649-6595,和歌山県 紀の川市粉河4632,https://www.kokawa-h.wakayama-c.ed.jp/
和歌山県,橋本高等学校,https://school.js88.com/scl_h/22019250/,648-0065,和歌山県 橋本市古佐田4-10-1,https://www.hashimoto-h.wakayama-c.ed.jp/
和歌山県,新宮高等学校,https://school.js88.com/scl_h/22019500/,647-0044,和歌山県 新宮市神倉3-2-39,https://www.shingu-h.wakayama-c.ed.jp/
和歌山県,新翔高等学校,https://school.js88.com/scl_h/22019510/,647-0071,和歌山県 新宮市佐野1005,https://www.shinsho-h.wakayama-c.ed.jp/
和歌山県,向陽高等学校,https://school.js88.com/scl_h/22019320/,640-8323,和歌山県 和歌山市太田127,https://www.koyo-h.wakayama-c.ed.jp/
和歌山県,田辺工業高等学校,https://school.js88.com/scl_h/22019450/,646-0021,和歌山県 田辺市あけぼの51-1,http://www.tanabe-th.wakayama-c.ed.jp/
和歌山県,那賀高等学校,https://school.js88.com/scl_h/22019300/,649-6223,和歌山県 岩出市高塚115,https://www.naga-h.wakayama-c.ed.jp/
和歌山県,神島高等学校,https://school.js88.com/scl_h/22019440/,646-0023,和歌山県 田辺市文里2-33-12,https://www.tanabe-ch.wakayama-c.ed.jp/
和歌山県,箕島高等学校,https://school.js88.com/scl_h/22019400/,649-0304,和歌山県 有田市箕島55,https://www.minoshima-h.wakayama-c.ed.jp/
和歌山県,和歌山北高等学校北校舎,https://school.js88.com/scl_h/22019340/,640-8464,和歌山県 和歌山市市小路388,http://www.wakayamakita-h.wakayama-c.ed.jp/
和歌山県,和歌山県立田辺高等学校,https://school.js88.com/scl_h/22019430/,646-0024,和歌山県 田辺市学園1-71,https://www.tanabe-h.wakayama-c.ed.jp/
和歌山県,星林高等学校,https://school.js88.com/scl_h/22019380/,641-0036,和歌山県 和歌山市西浜2-9-9,https://www.seirin-h.wakayama-c.ed.jp/index.html
和歌山県,紀央館高等学校,https://school.js88.com/scl_h/22019420/,644-0012,和歌山県 御坊市湯川町小松原43-1,https://www.kiokan-h.wakayama-c.ed.jp/
和歌山県,熊野高等学校,https://school.js88.com/scl_h/22019470/,649-2195,和歌山県 西牟婁郡上富田町朝来670,https://www.kumano-h.wakayama-c.ed.jp/
和歌山県,貴志川高等学校,https://school.js88.com/scl_h/22019310/,640-0415,和歌山県 紀の川市貴志川町長原400,https://www.kishigawa-h.wakayama-c.ed.jp/
和歌山県,日高高等学校・中津分校,https://school.js88.com/scl_h/22022940/,644-1121,和歌山県 日高郡日高川町西原357,https://www.hidaka-h-b.wakayama-c.ed.jp/
