都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
埼玉県,Ｎ高等学校・Ｓ高等学校　春日部キャンパス（通信制）,https://school.js88.com/scl_h/34056277/,344-0067,埼玉県 春日部市中央1-57-5アイピー春日部ビル3階,
埼玉県,東邦音楽大学附属東邦第二高等学校,https://school.js88.com/scl_h/22004830/,350-0015,埼玉県 川越市今泉84,https://www.toho-music.ac.jp/highschool2/
埼玉県,飛鳥未来きずな高等学校　大宮キャンパス（通信制）,https://school.js88.com/scl_h/34029928/,330-0854,埼玉県 さいたま市大宮区桜木町1-266-6-2階,
埼玉県,Ｎ高等学校・Ｓ高等学校　川越キャンパス（通信制）,https://school.js88.com/scl_h/34056276/,350-1123,埼玉県 川越市脇田本町16-23川越駅前ビル６階,
埼玉県,国際学院高等学校,https://school.js88.com/scl_h/22005090/,362-0806,埼玉県 北足立郡伊奈町小室10474,https://jsh.kgef.ac.jp/
埼玉県,Ｎ高等学校・Ｓ高等学校　川口駅前キャンパス（通信制）,https://school.js88.com/scl_h/34056275/,332-0017,埼玉県 川口市栄町3-2-1 KIKビル3階,
埼玉県,春日部共栄高等学校,https://school.js88.com/scl_h/22004950/,344-0037,埼玉県 春日部市上大増新田213番地,https://www.k-kyoei.ed.jp/hs/
埼玉県,鷲宮高等学校,https://school.js88.com/scl_h/22004200/,340-0213,埼玉県 久喜市中妻1020,https://washinomiya-h.spec.ed.jp/
埼玉県,Ｎ高等学校・Ｓ高等学校　西武所沢キャンパス（通信制）,https://school.js88.com/scl_h/34056279/,359-1124,埼玉県 所沢市東住吉7-8富士山ビル1F,
埼玉県,日高高等学校,https://school.js88.com/scl_h/22003800/,350-1203,埼玉県 日高市旭ヶ丘806,https://hidaka-h.spec.ed.jp/
埼玉県,聖望学園高等学校,https://school.js88.com/scl_h/22004640/,357-0006,埼玉県 飯能市中山292,https://www.seibou.ac.jp/
埼玉県,正智深谷高等学校,https://school.js88.com/scl_h/22004730/,366-0801,埼玉県 深谷市上野台369,https://shochi.jp
埼玉県,飛鳥未来きぼう高等学校　川越キャンパス（通信制）,https://school.js88.com/scl_h/34056030/,350-1123,埼玉県 川越市脇田本町16-23川越駅前ビル3階,
埼玉県,Ｎ高等学校・Ｓ高等学校　大宮キャンパス（通信制）,https://school.js88.com/scl_h/34056274/,330-0803,埼玉県 さいたま市大宮区高鼻町1-20-1大宮中央ビルディング8階,
埼玉県,戸田翔陽高等学校,https://school.js88.com/scl_h/22003320/,335-0021,埼玉県 戸田市新曽1093-1,https://shoyo-h.spec.ed.jp/
埼玉県,盈進学園東野高等学校,https://school.js88.com/scl_h/22005080/,358-8558,埼玉県 入間市二本木112-1,https://eishin.ac/
埼玉県,秋草学園高等学校,https://school.js88.com/scl_h/22005020/,350-1312,埼玉県 狭山市堀兼2404,https://akikusa-hs.ed.jp/
