都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
大分県,別府溝部学園高等学校,https://school.js88.com/scl_h/22049230/,874-8567,大分県 別府市大字野田78,https://www.mizobe-h.ed.jp/
大分県,福徳学院高等学校,https://school.js88.com/scl_h/22049130/,870-0883,大分県 大分市永興一丁目16番20号,https://fukutoku.ed.jp/
大分県,Ｎ高等学校・Ｓ高等学校　大分キャンパス（通信制）,https://school.js88.com/scl_h/34056355/,870-0034,大分県 大分市都町1-1-23TKフロンティアビル 12F,
大分県,稲葉学園高等学校,https://school.js88.com/scl_h/22049260/,878-0013,大分県 竹田市大字竹田2509,https://inabagakuen.jp/
大分県,大分工業高等学校,https://school.js88.com/scl_h/22048720/,870-0948,大分県 大分市芳河原台12-1,http://kou.oita-ed.jp/oitakougyou/
大分県,津久見高等学校,https://school.js88.com/scl_h/22048830/,879-2421,大分県 津久見市大字津久見3485-1,https://kou.oita-ed.jp/tukumi/
大分県,佐伯鶴城高等学校,https://school.js88.com/scl_h/22021840/,876-0848,大分県 佐伯市城下東町7-1,https://kou.oita-ed.jp/saikikakujou/
大分県,臼杵高等学校,https://school.js88.com/scl_h/22048800/,875-0042,大分県 臼杵市大字海添2521,http://kou.oita-ed.jp/usuki/
大分県,三重総合高等学校,https://school.js88.com/scl_h/22021850/,879-7141,大分県 豊後大野市三重町秋葉1010,http://kou.oita-ed.jp/miesogo/
大分県,玖珠美山高等学校,https://school.js88.com/scl_h/22048930/,879-4403,大分県 玖珠郡玖珠町帆足160,https://kou.oita-ed.jp/kusumiyama/
大分県,大分西高等学校,https://school.js88.com/scl_h/22048740/,870-8560,大分県 大分市新春日町2-1-1,https://kou.oita-ed.jp/oitanisi/
大分県,別府翔青高等学校,https://school.js88.com/scl_h/22048680/,874-0903,大分県 別府市野口原3088-91,https://kou.oita-ed.jp/beppushosei/
大分県,別府鶴見丘高等学校,https://school.js88.com/scl_h/22048660/,874-0836,大分県 別府市東荘園4丁目2番44号,https://kou.oita-ed.jp/bepputurumigaoka/
大分県,大分上野丘高等学校,https://school.js88.com/scl_h/22048690/,870-0835,大分県 大分市上野丘2-10-1,https://kou.oita-ed.jp/oitauenogaoka/
大分県,大分舞鶴高等学校,https://school.js88.com/scl_h/22048700/,870-0938,大分県 大分市今津留1-19-1,https://kou.oita-ed.jp/oitamaizuru/
大分県,久住高原農業高等学校,https://school.js88.com/scl_h/22022680/,878-0204,大分県 竹田市久住町栢木5801-32,https://kou.oita-ed.jp/kujyuu/
大分県,高田高等学校,https://school.js88.com/scl_h/22021830/,879-0606,大分県 豊後高田市玉津1834-1,https://kou.oita-ed.jp/takada/
大分県,佐伯豊南高等学校,https://school.js88.com/scl_h/22048840/,876-0012,大分県 佐伯市鶴望2851-1,http://kou.oita-ed.jp/saikihounan1/index.html
大分県,竹田高等学校,https://school.js88.com/scl_h/22048910/,878-0013,大分県 竹田市大字竹田2642番地,https://kou.oita-ed.jp/taketa/
大分県,日出総合高等学校,https://school.js88.com/scl_h/22048640/,879-1504,大分県 速見郡日出町大神1396-43,https://kou.oita-ed.jp/hijisogo/
大分県,大分東高等学校,https://school.js88.com/scl_h/22048780/,870-0313,大分県 大分市大字屋山2009,http://kou.oita-ed.jp/oitahigasi/
大分県,国東高等学校,https://school.js88.com/scl_h/22048600/,873-0503,大分県 国東市国東町鶴川1974,http://kou.oita-ed.jp/kunisaki/
大分県,鶴崎工業高等学校,https://school.js88.com/scl_h/22048770/,870-0133,大分県 大分市葛木509,http://kou.oita-ed.jp/turusakikougyou/
大分県,大分商業高等学校,https://school.js88.com/scl_h/22048730/,870-0931,大分県 大分市西浜4-2,https://kou.oita-ed.jp/oitasyougyou/
大分県,芸術緑丘高等学校,https://school.js88.com/scl_h/22048670/,870-0833,大分県 大分市上野丘東1-11,https://kou.oita-ed.jp/midorigaoka/
大分県,大分鶴崎高等学校,https://school.js88.com/scl_h/22048760/,870-0104,大分県 大分市南鶴崎3-5-1,https://kou.oita-ed.jp/oitaturusaki/
大分県,大分雄城台高等学校,https://school.js88.com/scl_h/22048710/,870-1155,大分県 大分市玉沢1250番地,https://kou.oita-ed.jp/oitaoginodai/
大分県,由布高等学校,https://school.js88.com/scl_h/22048750/,879-5413,大分県 由布市庄内町大龍2674-1,https://kou.oita-ed.jp/yufu/
大分県,海洋科学高等学校,https://school.js88.com/scl_h/22048820/,875-0011,大分県 臼杵市諏訪254-1-2,https://kou.oita-ed.jp/kaiyoukagaku/
大分県,杵築高等学校,https://school.js88.com/scl_h/22048630/,873-0014,大分県 杵築市本庄2379,http://kou.oita-ed.jp/kituki/
大分県,爽風館高等学校,https://school.js88.com/scl_h/34025382/,870-8525,大分県 大分市上野丘1-11-14,https://kou.oita-ed.jp/sofukan-tusin/
大分県,大分高等学校,https://school.js88.com/scl_h/22049140/,870-0162,大分県 大分市明野高尾1-6-1,http://www.oita-h.ed.jp
大分県,大分国際情報高等学校,https://school.js88.com/scl_h/22049270/,870-0911,大分県 大分市新貝11-40,https://kokujou.ed.jp/
大分県,中津東高等学校（定時制）,https://school.js88.com/scl_h/22106980/,871-0004,大分県 中津市上如水145-3,http://kou.oita-ed.jp/nakatuhigasitei/
大分県,日田三隈高等学校,https://school.js88.com/scl_h/22048960/,877-0000,大分県 日田市大字友田1546-1,https://kou.oita-ed.jp/hitamikuma/
大分県,岩田高等学校,https://school.js88.com/scl_h/22049240/,870-0936,大分県 大分市岩田町1-1-1,https://www.iwata.ed.jp/
大分県,日田林工高等学校,https://school.js88.com/scl_h/22048970/,877-0083,大分県 日田市吹上町30,http://kou.oita-ed.jp/hitarinkou/
大分県,日田高等学校（定時制）,https://school.js88.com/scl_h/22106960/,877-0025,大分県 日田市田島2-9-30,http://kou.oita-ed.jp/hitatei/
大分県,大分東明高等学校,https://school.js88.com/scl_h/22049160/,870-8658,大分県 大分市千代町2-4-4,https://www.hiramatsu.ac.jp/tomei
大分県,宇佐高等学校,https://school.js88.com/scl_h/22049060/,872-0102,大分県 宇佐市大字南宇佐1543,https://kou.oita-ed.jp/usa/
大分県,明豊高等学校（通信制）,https://school.js88.com/scl_h/34028577/,874-0903,大分県 別府市野口原3088,http://meiho-beppu.jp/exam-tsushin/
大分県,宇佐産業科学高等学校,https://school.js88.com/scl_h/22049040/,879-0471,大分県 宇佐市大学四日市292,https://kou.oita-ed.jp/usasangyoukagaku/
大分県,大分南高等学校,https://school.js88.com/scl_h/22049090/,870-1109,大分県 大分市判田台南4-4-1,http://kou.oita-ed.jp/oitaminami/
大分県,大分豊府高等学校,https://school.js88.com/scl_h/22049110/,870-0854,大分県 大分市花園3-3-1,http://kou.oita-ed.jp/oitahoufu
大分県,中津南高等学校,https://school.js88.com/scl_h/22048990/,871-0043,大分県 中津市高畑2093,http://kou.oita-ed.jp/nakatuminami/
大分県,日田高等学校,https://school.js88.com/scl_h/22048950/,877-0025,大分県 日田市田島2-9-30,https://kou.oita-ed.jp/hita/
大分県,明豊高等学校,https://school.js88.com/scl_h/22049280/,874-0903,大分県 別府市野口原3088,https://meiho-beppu.jp/
大分県,大分工業高等学校（定時制）,https://school.js88.com/scl_h/22106940/,870-0948,大分県 大分市芳河原台12-1,http://kou.oita-ed.jp/daikoutei/
大分県,中津南高等学校 耶馬溪校,https://school.js88.com/scl_h/22049020/,871-0404,大分県 中津市耶馬溪町戸原1650-3,https://kou.oita-ed.jp/yabakei/
大分県,昭和学園高等学校,https://school.js88.com/scl_h/22049220/,877-0082,大分県 日田市日ノ出町14,https://www.showa-h.ed.jp/
大分県,中津北高等学校,https://school.js88.com/scl_h/22049000/,871-0024,大分県 中津市中央町1-6-83,http://kou.oita-ed.jp/nakatukita/
大分県,柳ヶ浦高等学校,https://school.js88.com/scl_h/22049200/,872-0032,大分県 宇佐市江須賀939,https://yanagigaura.ed.jp/
大分県,楊志館高等学校,https://school.js88.com/scl_h/22049150/,870-0838,大分県 大分市桜ケ丘7-8,https://www.gotogakuen.ac.jp/yoshikan
