都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
大阪府,大阪女学院高等学校,https://school.js88.com/scl_h/22016040/,540-0004,大阪府 大阪市中央区玉造2-26-54,https://www.osaka-jogakuin.ed.jp/
大阪府,英真学園高等学校,https://school.js88.com/scl_h/22015850/,532-0023,大阪府 大阪市淀川区十三東5-4-38,https://eishingakuen.ac.jp/
大阪府,浪速高等学校,https://school.js88.com/scl_h/22015970/,558-0023,大阪府 大阪市住吉区山之内2-13-57,https://www.naniwa.ed.jp/high/
大阪府,梅花高等学校,https://school.js88.com/scl_h/22016030/,560-0011,大阪府 豊中市上野西1-5-30,https://www.baika-jh.ed.jp/
大阪府,大阪府立今宮高等学校,https://school.js88.com/scl_h/22014450/,556-0013,大阪府 大阪市浪速区戎本町2-7-39,https://www.osaka-c.ed.jp/imamiya/
大阪府,桃山学院高等学校,https://school.js88.com/scl_h/22015950/,545-0011,大阪府 大阪市阿倍野区昭和町3-1-64,https://www.momoyamagakuin-h.ed.jp/
大阪府,西成高等学校,https://school.js88.com/scl_h/22014470/,557-0062,大阪府 大阪市西成区津守1-13-10,https://www.osaka-c.ed.jp/nishinari/
大阪府,昇陽高等学校,https://school.js88.com/scl_h/22016010/,554-0011,大阪府 大阪市此花区朝日1丁目1番9号,https://www.oskshoyo.ed.jp/hs/
大阪府,あべの翔学高等学校,https://school.js88.com/scl_h/22015870/,545-0002,大阪府 大阪市阿倍野区天王寺町南2-8-19,https://www.abeno-shogaku.ed.jp/
大阪府,大阪学芸高等学校,https://school.js88.com/scl_h/22015780/,558-0003,大阪府 大阪市住吉区長居1-4-15,https://www.osakagakugei.ac.jp/senior/
大阪府,相愛高等学校,https://school.js88.com/scl_h/22016060/,541-0053,大阪府 大阪市中央区本町4-1-23,https://www.soai.ed.jp/
大阪府,大商学園高等学校,https://school.js88.com/scl_h/22015760/,561-0846,大阪府 豊中市利倉東1-2-1,https://www.daisho.ac.jp/
大阪府,大阪体育大学浪商高等学校,https://school.js88.com/scl_h/22015810/,590-0459,大阪府 泉南郡熊取町朝代台1-1,https://www.ouhs-school.jp/namisho/
大阪府,興國高等学校,https://school.js88.com/scl_h/22015830/,543-0045,大阪府 大阪市天王寺区寺田町1-4-26,https://www.kokoku.ed.jp/
大阪府,りんくう翔南高等学校,https://school.js88.com/scl_h/22014790/,590-0521,大阪府 泉南市樽井2-35-54,https://www2.osaka-c.ed.jp/rinkushonan/
大阪府,大阪府立豊中高等学校能勢分校,https://school.js88.com/scl_h/22014010/,563-0122,大阪府 豊能郡能勢町上田尻580,https://nose-br.toyonaka-hs.ed.jp/
大阪府,大阪高等学校,https://school.js88.com/scl_h/22015980/,533-0007,大阪府 大阪市東淀川区相川2-18-51,https://www.osakashs.ed.jp/
大阪府,同志社香里高等学校,https://school.js88.com/scl_h/22015990/,572-8585,大阪府 寝屋川市三井南町15-1,https://www.kori.doshisha.ac.jp/
大阪府,大阪暁光高等学校,https://school.js88.com/scl_h/22015740/,586-8577,大阪府 河内長野市楠町西1090,https://www.osakagyoko.ed.jp
大阪府,利晶学園大阪立命館高等学校,https://school.js88.com/scl_h/22015920/,599-8125,大阪府 堺市東区西野194-1,https://www.hatsushiba.ed.jp/ritsumeikan/
大阪府,堺工科高等学校,https://school.js88.com/scl_h/22014920/,590-0801,大阪府 堺市堺区大仙中町12-1,https://sakai-t.ed.jp/
大阪府,好文学園女子高等学校,https://school.js88.com/scl_h/22015910/,555-0013,大阪府 大阪市西淀川区千舟3-8-22,https://koubun.ed.jp/
大阪府,大阪商業大学高等学校,https://school.js88.com/scl_h/22015860/,577-8505,大阪府 東大阪市御厨栄町4-1-10,https://www.daishodai-h.ed.jp/
大阪府,賢明学院高等学校,https://school.js88.com/scl_h/22015770/,590-0812,大阪府 堺市堺区霞ケ丘町4-3-30,https://kenmei.jp
大阪府,太成学院大学高等学校,https://school.js88.com/scl_h/22015890/,574-0044,大阪府 大東市諸福7-2-23,https://www.taisei-hs.ac.jp/hs/
大阪府,精華高等学校,https://school.js88.com/scl_h/22015840/,599-8245,大阪府 堺市中区辻之1517,https://www.seika-h.ed.jp/
大阪府,金蘭会高等学校,https://school.js88.com/scl_h/22016050/,531-0075,大阪府 大阪市北区大淀南3-3-7,https://www.kinran.ed.jp
大阪府,大阪偕星学園高等学校,https://school.js88.com/scl_h/22015880/,544-0021,大阪府 大阪市生野区勝山南2-6-38,https://www.osaka-kaisei.ac.jp/
大阪府,上宮高等学校,https://school.js88.com/scl_h/22015960/,543-0037,大阪府 大阪市天王寺区上之宮町9-36,https://www.uenomiya.ed.jp/
大阪府,日新高等学校,https://school.js88.com/scl_h/22015030/,579-8003,大阪府 東大阪市日下町7-9-11,https://school.higashiosaka-osk.ed.jp/nisshin-h/
