都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
奈良県,飛鳥未来高等学校（通信制）,https://school.js88.com/scl_h/34056022/,632-0004,奈良県 天理市櫟本町1514-3［奈良本校］,
奈良県,奈良文化高等学校,https://school.js88.com/scl_h/22019190/,635-8530,奈良県 大和高田市東中127,https://www.narabunka.ed.jp/
奈良県,智辯学園奈良カレッジ高等部,https://school.js88.com/scl_h/34029514/,639-0253,奈良県 香芝市田尻265番地,https://www.chiben.ac.jp/naracollege/
奈良県,天理高等学校,https://school.js88.com/scl_h/22019120/,632-8585,奈良県 天理市杣之内町1260,https://www.tenri-h.ed.jp/
奈良県,飛鳥未来高等学校　奈良本校（通信制）,https://school.js88.com/scl_h/34029146/,632-0004,奈良県 天理市櫟本町1514-3,
奈良県,Ｎ高等学校・Ｓ高等学校　奈良西大寺キャンパス（通信制）,https://school.js88.com/scl_h/34056340/,631-0824,奈良県 奈良市西大寺南町2-4サンスクリット西大寺3階,
奈良県,山辺高等学校,https://school.js88.com/scl_h/22018740/,632-0246,奈良県 奈良市都祁友田町937番地,http://www.e-net.nara.jp/hs/yamabe/
奈良県,奈良学園高等学校,https://school.js88.com/scl_h/22019210/,639-1093,奈良県 大和郡山市山田町430,https://www.naragakuen.ed.jp/
奈良県,育英西高等学校,https://school.js88.com/scl_h/22019220/,631-0074,奈良県 奈良市三松4-637-1,https://www.ikuei.ed.jp/ikunishi/
奈良県,帝塚山高等学校,https://school.js88.com/scl_h/22019110/,631-0034,奈良県 奈良市学園南3-1-3,https://www.tezukayama-h.ed.jp/
奈良県,Ｎ高等学校・Ｓ高等学校　奈良王寺駅前キャンパス（通信制）,https://school.js88.com/scl_h/34056339/,636-0002,奈良県 北葛城郡王寺町王寺2-6-12服部ビル 3F,
奈良県,智辯学園高等学校,https://school.js88.com/scl_h/22019180/,637-0037,奈良県 五條市野原中4丁目1番51号,https://www.chiben.ac.jp/gojo
奈良県,宇陀高等学校　榛原学舎,https://school.js88.com/scl_h/22018800/,633-0241,奈良県 宇陀市榛原下井足210,"http://www.e-net.nara.jp/hs/uda/index.cfm/1,html"
奈良県,奈良商工高等学校,https://school.js88.com/scl_h/22018650/,630-8031,奈良県 奈良市柏木町248,https://www.e-net.nara.jp/hs/narashoko/
奈良県,奈良高等学校,https://school.js88.com/scl_h/22018670/,631-0806,奈良県 奈良市朱雀2-11,https://www.e-net.nara.jp/hs/nara/
奈良県,王寺工業高等学校,https://school.js88.com/scl_h/22018820/,636-0012,奈良県 北葛城郡王寺町本町3-6-1,http://www.e-net.nara.jp/hs/ojikogyo/
奈良県,畝傍高等学校,https://school.js88.com/scl_h/22018760/,634-0078,奈良県 橿原市八木町3-13-2,https://www.e-net.nara.jp/hs/unebi/
奈良県,橿原高等学校,https://school.js88.com/scl_h/22018770/,634-0823,奈良県 橿原市北越智町282,https://www.e-net.nara.jp/hs/kashihara/
奈良県,奈良県立商業高等学校,https://school.js88.com/scl_h/22018780/,633-0051,奈良県 桜井市河西770,https://www.e-net.nara.jp/hs/shogyo/
奈良県,生駒高等学校,https://school.js88.com/scl_h/22018680/,630-0222,奈良県 生駒市壱分町532-1,https://www.e-net.nara.jp/hs/ikoma/
奈良県,奈良女子大学附属中等教育学校,https://school.js88.com/scl_h/22018640/,630-8305,奈良県 奈良市東紀寺町1-60-1,https://nwuss.nara-wu.ac.jp/
奈良県,添上高等学校,https://school.js88.com/scl_h/22018730/,632-0004,奈良県 天理市櫟本町1532-2,https://www.e-net.nara.jp/hs/soekami/
奈良県,奈良県立奈良北高等学校,https://school.js88.com/scl_h/22018690/,630-0131,奈良県 生駒市上町4600,http://www.e-net.nara.jp/hs/narakita/
奈良県,御所実業高等学校,https://school.js88.com/scl_h/22018860/,639-2247,奈良県 御所市玉手300,http://www.e-net.nara.jp/hs/gosejitsugyo/
奈良県,宇陀高等学校　大宇陀学舎,https://school.js88.com/scl_h/22018810/,633-2166,奈良県 宇陀市大宇陀迫間63-2,"http://www.e-net.nara.jp/hs/uda/index.cfm/1,html"
奈良県,磯城野高等学校,https://school.js88.com/scl_h/22018750/,636-0300,奈良県 磯城郡田原本町258,http://www.nps.ed.jp/shikino-hs/
奈良県,高田高等学校,https://school.js88.com/scl_h/22018840/,635-0061,奈良県 大和高田市礒野東町6-6,https://www.e-net.nara.jp/hs/takada/
