都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
宮城県,飛鳥未来きずな高等学校（通信制）,https://school.js88.com/scl_h/34056024/,987-0331,宮城県 登米市米山町中津山字筒場埣215［登米本校］,
宮城県,聖和学園高等学校,https://school.js88.com/scl_h/22029850/,984-0047,宮城県 仙台市若林区木ノ下3-4-1,https://highschool.seiwa.ac.jp/
宮城県,仙台育英学園高等学校　ＩＬＣ宮城（通信制）,https://school.js88.com/scl_h/24000051/,983-0045,宮城県 仙台市宮城野区宮城野2-4-1,https://www.sendaiikuei.ed.jp/ilc/miyagi/
宮城県,飛鳥未来きずな高等学校　仙台キャンパス（通信制）,https://school.js88.com/scl_h/34041733/,983-0863,宮城県 仙台市宮城野区車町102-5-3F,
宮城県,東陵高等学校,https://school.js88.com/scl_h/22029940/,988-0812,宮城県 気仙沼市大峠山1-1,https://www.toryo.ed.jp
宮城県,飛鳥未来きずな高等学校　登米本校（通信制）,https://school.js88.com/scl_h/34029921/,987-0331,宮城県 登米市米山町中津山字筒場埣215,
宮城県,聖ウルスラ学院英智高等学校,https://school.js88.com/scl_h/22029880/,984-0828,宮城県 仙台市若林区一本杉町1-2,https://www.st-ursula.ac.jp/high/
宮城県,宮城学院高等学校,https://school.js88.com/scl_h/22029600/,981-8557,宮城県 仙台市青葉区桜ケ丘9-1-1,http://www.miyagi-gakuin.ac.jp
宮城県,Ｎ高等学校・Ｓ高等学校　仙台広瀬通キャンパス（通信制）,https://school.js88.com/scl_h/34056262/,980-0803,宮城県 仙台市青葉区国分町1-6-9MIテラス仙台広瀬通り4F,
宮城県,東北高等学校,https://school.js88.com/scl_h/22029570/,981-8543,宮城県 仙台市青葉区小松島4-3-1（小松島キャンパス）,https://www.tohoku.ed.jp
宮城県,仙台白百合学園高等学校,https://school.js88.com/scl_h/22029610/,981-3205,宮城県 仙台市泉区紫山1-2-1,https://jh.sendaishirayuri.net/
宮城県,尚絅学院高等学校,https://school.js88.com/scl_h/22029620/,980-0871,宮城県 仙台市青葉区八幡1-9-27,http://sh.shokei.jp/
宮城県,飛鳥未来高等学校　仙台キャンパス（通信制）,https://school.js88.com/scl_h/34029149/,983-0852,宮城県 仙台市宮城野区榴岡4-9-10,
宮城県,仙台白百合学園高等学校（通信制）,https://school.js88.com/scl_h/34029581/,981-3205,宮城県 仙台市泉区紫山一丁目2-1,https://enc.sendaishirayuri.net/
宮城県,宮城県柴田高等学校,https://school.js88.com/scl_h/22029510/,989-1621,宮城県 柴田郡柴田町大字本船迫字十八津入7-3,https://sibata.myswan.ed.jp/
宮城県,古川学園高等学校,https://school.js88.com/scl_h/22029920/,989-6143,宮城県 大崎市古川中里6-2-8,https://www.furukawa-gakuen.ac.jp/
宮城県,大崎中央高等学校,https://school.js88.com/scl_h/22029910/,989-6105,宮城県 大崎市古川福沼1-27-1,http://www.osakichuo.ed.jp
宮城県,東北生活文化大学高等学校,https://school.js88.com/scl_h/22029860/,981-8585,宮城県 仙台市泉区虹の丘1-18,https://www.seibun.ed.jp
宮城県,東北学院高等学校,https://school.js88.com/scl_h/22029580/,983-8565,宮城県 仙台市宮城野区小鶴字高野123-1,https://www.jhs.tohoku-gakuin.ac.jp
宮城県,仙台城南高等学校,https://school.js88.com/scl_h/22029900/,982-0836,宮城県 仙台市太白区八木山松波町5-1,http://www.sendai-johnan.ed.jp
宮城県,常盤木学園高等学校,https://school.js88.com/scl_h/22029840/,980-0003,宮城県 仙台市青葉区小田原4-3-20,http://www.tokiwagi.ed.jp/
