都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
宮崎県,聖心ウルスラ学園高等学校,https://school.js88.com/scl_h/22049810/,882-0863,宮崎県 延岡市緑ケ丘3-7-21,https://ursula.ed.jp/high/
宮崎県,宮崎北高等学校,https://school.js88.com/scl_h/22049680/,880-0124,宮崎県 宮崎市大字新名爪4567,http://cms.miyazaki-c.ed.jp/6040/htdocs/
宮崎県,日向学院高等学校,https://school.js88.com/scl_h/22049800/,880-0878,宮崎県 宮崎市大和町110,http://www.hyugagakuin.ac.jp/
宮崎県,小林西高等学校,https://school.js88.com/scl_h/22049790/,886-8588,宮崎県 小林市細野588-48,https://www.kobayashi-nishi.net/
宮崎県,日章学園九州国際高等学校,https://school.js88.com/scl_h/22049830/,889-4243,宮崎県 えびの市榎田363,http://www.nissho.ac.jp/nkih/
宮崎県,宮崎学園高等学校,https://school.js88.com/scl_h/22049710/,880-8503,宮崎県 宮崎市昭和町3,https://www.miyagaku.ed.jp/
宮崎県,宮崎日本大学高等学校,https://school.js88.com/scl_h/22049720/,880-0121,宮崎県 宮崎市島之内6822-2,https://www.m-nichidai.com/
宮崎県,都城聖ドミニコ学園高等学校,https://school.js88.com/scl_h/22049820/,885-0061,宮崎県 都城市下長飯町881,https://www.mdominico.com/
宮崎県,本庄高等学校,https://school.js88.com/scl_h/22049430/,880-1101,宮崎県 東諸県郡国富町本庄5071,https://cms.miyazaki-c.ed.jp/6006/
宮崎県,日南学園高等学校　宮崎穎学館,https://school.js88.com/scl_h/22022260/,889-1702,宮崎県 宮崎市田野町乙10905,https://www.eigakukan.ed.jp/
宮崎県,宮崎農業高等学校,https://school.js88.com/scl_h/22049500/,880-0916,宮崎県 宮崎市大字恒久春日田1061,https://cms.miyazaki-c.ed.jp/6004/
宮崎県,高千穂高等学校,https://school.js88.com/scl_h/22049290/,882-1101,宮崎県 西臼杵郡高千穂町三田井1234,https://www.miyazaki-c.ed.jp/takachiho-h/
宮崎県,宮崎工業高等学校,https://school.js88.com/scl_h/22049450/,880-8567,宮崎県 宮崎市天満町9-1,http://www.miyazaki-c.ed.jp/miyazaki-th/
