都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
富山県,荒井学園新川高等学校,https://school.js88.com/scl_h/22024580/,937-0041,富山県 魚津市吉島1350,https://niikawa.ed.jp/
富山県,高岡向陵高等学校,https://school.js88.com/scl_h/22024570/,933-8538,富山県 高岡市石瀬281-1,https://takaokakoryo-h.ed.jp/
富山県,Ｎ高等学校・Ｓ高等学校　富山キャンパス（通信制）,https://school.js88.com/scl_h/34056310/,930-0005,富山県 富山市新桜町2-21MKD.9富山ビル 3F,
富山県,片山学園高等学校,https://school.js88.com/scl_h/34028952/,930-1262,富山県 富山市東黒牧10,https://www.katayamagakuen.jp/
富山県,富山中部高等学校,https://school.js88.com/scl_h/22024200/,930-0097,富山県 富山市芝園町3-1-26,https://www.chubu-h.tym.ed.jp/
富山県,高岡商業高等学校,https://school.js88.com/scl_h/22024320/,933-8510,富山県 高岡市横田286,https://www.takaoka-ch.tym.ed.jp/
富山県,桜井高等学校,https://school.js88.com/scl_h/22024070/,938-8505,富山県 黒部市三日市1334,http://www.tym.ed.jp/sc321/
富山県,高岡高等学校,https://school.js88.com/scl_h/22024280/,933-8520,富山県 高岡市中川園町1-1,https://www.takaoka-h.tym.ed.jp/
富山県,魚津高等学校,https://school.js88.com/scl_h/22024080/,937-0041,富山県 魚津市吉島945,https://www.uozu-h.tym.ed.jp/
富山県,氷見高等学校,https://school.js88.com/scl_h/22024350/,935-8535,富山県 氷見市幸町17-1,http://himi-h.el.tym.ed.jp/
富山県,富山工業高等学校,https://school.js88.com/scl_h/22024220/,930-0887,富山県 富山市五福2238,https://www.toyama-th.tym.ed.jp/
富山県,富山東高等学校,https://school.js88.com/scl_h/22024160/,931-8443,富山県 富山市下飯野荒田6-1,http://www.tym.ed.jp/sc337/
富山県,雄山高等学校,https://school.js88.com/scl_h/22024140/,930-0221,富山県 中新川郡立山町前沢1437-1,https://www.oyama-h.tym.ed.jp/
富山県,富山南高等学校,https://school.js88.com/scl_h/22024170/,939-8191,富山県 富山市布市98,https://www.minami-h.tym.ed.jp/
富山県,富山高等学校,https://school.js88.com/scl_h/22024180/,939-8076,富山県 富山市太郎丸1,https://www.toyama-h.tym.ed.jp/
富山県,魚津工業高等学校,https://school.js88.com/scl_h/22024090/,937-0001,富山県 魚津市浜経田3338,https://www.uozu-th.tym.ed.jp/
富山県,入善高等学校,https://school.js88.com/scl_h/22024060/,939-0626,富山県 下新川郡入善町入膳3963,https://www.nyuzen-h.tym.ed.jp/
富山県,伏木高等学校,https://school.js88.com/scl_h/22024330/,933-0116,富山県 高岡市伏木一宮2-11-1,https://www.fushiki-h.tym.ed.jp/
富山県,新湊高等学校,https://school.js88.com/scl_h/22024340/,934-8585,富山県 射水市西新湊21-10,http://www.shinminato-h.tym.ed.jp/
