都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
山口県,慶進高等学校,https://school.js88.com/scl_h/22035650/,755-0035,山口県 宇部市西琴芝2-12-18,https://www.keishin-ug.ed.jp/
山口県,宇部鴻城高等学校,https://school.js88.com/scl_h/22035640/,759-0207,山口県 宇部市大字際波字的場370,https://www.ubekojo-h.ed.jp/
山口県,高川学園高等学校,https://school.js88.com/scl_h/22035600/,747-1292,山口県 防府市台道3635,https://www.takagawagakuen.com/
山口県,聖光高等学校（通信制）,https://school.js88.com/scl_h/34028523/,743-0011,山口県 光市光井9-22-1,http://www.seiko-h.ed.jp/tusin2/index.html
山口県,高水高等学校,https://school.js88.com/scl_h/22035550/,740-0032,山口県 岩国市尾津町2-24-18,https://www.takamizu.ed.jp/
山口県,サビエル高等学校,https://school.js88.com/scl_h/22035680/,756-0080,山口県 山陽小野田市くし山3丁目5-1,https://www.xavier.ed.jp
山口県,光高等学校,https://school.js88.com/scl_h/22035030/,743-0011,山口県 光市光井6-10-1,https://www.hikari-h.ysn21.jp/
山口県,山口高等学校,https://school.js88.com/scl_h/22035160/,753-8508,山口県 山口市糸米1-9-1,http://www.yamaguchi-h.ysn21.jp/
山口県,田布施農工高等学校,https://school.js88.com/scl_h/22021660/,742-1502,山口県 熊毛郡田布施町大字波野195,http://www.tabuse-at.ysn21.jp/
山口県,防府高等学校,https://school.js88.com/scl_h/22035140/,747-0803,山口県 防府市岡村町2-1,http://www.hofu-h.ysn21.jp/cms/
山口県,山口県立山口高等学校徳佐分校,https://school.js88.com/scl_h/22021670/,759-1512,山口県 山口市阿東徳佐中1033番地1,https://www.yamaguchi-h.ysn21.jp/
山口県,下松高等学校,https://school.js88.com/scl_h/22035050/,744-0063,山口県 下松市若宮町12-1,https://www.kudamatsu-h.ysn21.jp/
山口県,岩国高等学校・坂上分校,https://school.js88.com/scl_h/22034970/,740-1225,山口県 岩国市美和町渋前1275,https://www.iwakuni-sh.ysn21.jp/
山口県,岩国商業高等学校,https://school.js88.com/scl_h/22034950/,741-0072,山口県 岩国市平田5-52-10,http://www.iwakuni-c.ysn21.jp/index.html
山口県,高森高等学校,https://school.js88.com/scl_h/22034990/,742-0333,山口県 岩国市玖珂町1253,https://www.takamori-h.ysn21.jp/
山口県,柳井高等学校,https://school.js88.com/scl_h/22035000/,742-0032,山口県 柳井市古開作611-1,https://www.yanai-h.ysn21.jp/
山口県,山口県立萩高等学校 奈古分校,https://school.js88.com/scl_h/22021680/,759-3622,山口県 阿武郡阿武町奈古柳橋2968-1,https://www.hagi-nh.ysn21.jp/
山口県,熊毛南高等学校,https://school.js88.com/scl_h/22021650/,742-1103,山口県 熊毛郡平生町竪ケ浜666,http://www.yunan-h.ysn21.jp/index.html
山口県,山口中央高等学校,https://school.js88.com/scl_h/22035170/,753-0043,山口県 山口市宮島町6-1,https://www.yamaguchichuo-h.ysn21.jp/
山口県,岩国総合高等学校,https://school.js88.com/scl_h/22034940/,740-0036,山口県 岩国市藤生町4-41-1,https://iwakunisogo-h.jp/
山口県,南陽工業高等学校,https://school.js88.com/scl_h/22035120/,746-0036,山口県 周南市温田1-1-1,http://www.nanyo-t.ysn21.jp/
山口県,周防大島高等学校,https://school.js88.com/scl_h/22034910/,742-2806,山口県 大島郡周防大島町西安下庄489（安下庄校舎）(久賀校舎；〒742-2301 大島郡周防大島町久賀4851-2),https://www.suo-oshima-h.ysn21.jp/
山口県,徳山商工高等学校,https://school.js88.com/scl_h/22035100/,745-0823,山口県 周南市周陽3-1-1,https://www.tokuyama-ct.ysn21.jp/
山口県,熊毛北高等学校,https://school.js88.com/scl_h/22035040/,745-0631,山口県 周南市大字安田字追迫1-2,https://www.kumagekita-h.ysn21.jp/
山口県,岩国工業高等学校,https://school.js88.com/scl_h/22034960/,741-0061,山口県 岩国市錦見2-4-85,http://www.iwakuni-t.ysn21.jp/
山口県,徳山高等学校,https://school.js88.com/scl_h/22035070/,745-0061,山口県 周南市鐘楼町2-50,https://tokuyama-h.ed.jp/
山口県,柳井商工高等学校,https://school.js88.com/scl_h/22035020/,742-1352,山口県 柳井市伊保庄2658,http://www.yanai-ct.ysn21.jp/
山口県,下松工業高等学校,https://school.js88.com/scl_h/22035060/,744-0073,山口県 下松市美里町4-13-1,https://www.kudamatsu-t.ysn21.jp
山口県,防府商工高等学校,https://school.js88.com/scl_h/22035150/,747-0802,山口県 防府市中央町3-1,https://www.hofu-ct.ysn21.jp/
山口県,岩国高等学校,https://school.js88.com/scl_h/22034930/,741-0082,山口県 岩国市川西4-6-1,http://www.iwakuni-h.ysn21.jp/
山口県,聖光高等学校,https://school.js88.com/scl_h/22035570/,743-0011,山口県 光市光井9-22-1,https://www.seiko-h.ed.jp/
山口県,下関西高等学校,https://school.js88.com/scl_h/22035350/,751-0826,山口県 下関市後田町4-10-1,https://shimonishi.ed.jp/
山口県,防府西高等学校,https://school.js88.com/scl_h/22035480/,747-1232,山口県 防府市台道36-1,http://www.hofunishi-h.ysn21.jp/
