都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
山形県,鶴岡東高等学校,https://school.js88.com/scl_h/22030940/,997-0022,山形県 鶴岡市切添町22-30,https://tsuruokahigashi.net/
山形県,基督教独立学園高等学校,https://school.js88.com/scl_h/22030920/,999-1292,山形県 西置賜郡小国町叶水826,https://kdg.ed.jp
山形県,米沢中央高等学校,https://school.js88.com/scl_h/22030910/,992-0045,山形県 米沢市中央7-5-70-4,http://www.ychuo-h.ed.jp/
山形県,Ｎ高等学校・Ｓ高等学校　山形キャンパス（通信制）,https://school.js88.com/scl_h/34056263/,990-0031,山形県 山形市十日町1-1-34リアライズ山形駅前通ビル1階,
山形県,東北文教大学山形城北高等学校,https://school.js88.com/scl_h/22029770/,990-0824,山形県 山形市肴町1-13,http://www.johoku.ed.jp/
山形県,庄内総合高等学校,https://school.js88.com/scl_h/22030870/,999-7707,山形県 東田川郡庄内町廿六木三ツ車8,http://www.shonaisogo-h.ed.jp/
山形県,新庄東高等学校,https://school.js88.com/scl_h/22030890/,996-0051,山形県 新庄市松本596,http://www.shinjohigashi-h.ed.jp/
山形県,酒田南高等学校,https://school.js88.com/scl_h/22030950/,998-0031,山形県 酒田市浜田1-3-47,https://www.sakataminami-h.ed.jp/
山形県,惺山高等学校,https://school.js88.com/scl_h/22029820/,990-0832,山形県 山形市城西町3-13-7,https://www.seizan.ed.jp/
山形県,日本大学山形高等学校,https://school.js88.com/scl_h/22029790/,990-2433,山形県 山形市鳥居ケ丘4-55,https://www.ymgt.hs.nihon-u.ac.jp/
山形県,山形工業高等学校,https://school.js88.com/scl_h/22030570/,990-0041,山形県 山形市緑町1-5-12,https://www.yamako.ed.jp/
山形県,置賜農業高等学校,https://school.js88.com/scl_h/22021640/,999-0121,山形県 東置賜郡川西町上小松3723,http://www.okitama-ah.ed.jp/
山形県,山形西高等学校,https://school.js88.com/scl_h/22030550/,990-2492,山形県 山形市鉄砲町1-15-64,http://yamanishi.webpage21a.jp/
山形県,新庄北高等学校最上校,https://school.js88.com/scl_h/22022460/,999-6101,山形県 最上郡最上町大字向町字水上869-2,https://www.shinjokita-h-b.ed.jp/htdocs/
山形県,創学館高等学校,https://school.js88.com/scl_h/22029810/,994-0069,山形県 天童市清池東2-10-1,https://sogaku.ed.jp/
山形県,上山明新館高等学校,https://school.js88.com/scl_h/22029750/,999-3193,山形県 上山市仙石650,http://www.meishinkan-h.ed.jp/
山形県,北村山高等学校,https://school.js88.com/scl_h/22029730/,999-4221,山形県 尾花沢市大字尾花沢1593,http://www.kitamurayama-h.ed.jp/
山形県,鶴岡中央高等学校,https://school.js88.com/scl_h/22029760/,997-0017,山形県 鶴岡市大宝寺字日本国410,http://www.tsuruokachuo-h.ed.jp/
山形県,加茂水産高等学校,https://school.js88.com/scl_h/22029630/,997-1204,山形県 鶴岡市加茂字大崩595,http://www.kamosuisan-h.ed.jp/
山形県,新庄北高等学校,https://school.js88.com/scl_h/22021630/,996-0061,山形県 新庄市飛田備前川61,https://shinkita.jp/
山形県,遊佐高等学校,https://school.js88.com/scl_h/22029710/,999-8301,山形県 飽海郡遊佐町遊佐字堅田21-1,http://www.yuza-h.ed.jp/
山形県,酒田東高等学校,https://school.js88.com/scl_h/22029650/,998-0842,山形県 酒田市亀ケ崎1-3-60,http://www.sakatahigashi-h.ed.jp/
山形県,山形東高等学校,https://school.js88.com/scl_h/22030530/,990-8525,山形県 山形市緑町1-5-87,https://www.yamagatahigashi-h.ed.jp/
山形県,山形明正高等学校,https://school.js88.com/scl_h/22029800/,990-2332,山形県 山形市飯田1-1-8,http://www.y-meisei.jp
山形県,南陽高等学校,https://school.js88.com/scl_h/22029740/,992-0472,山形県 南陽市宮内4600,https://www.ygt-nanyo-h.ed.jp/
山形県,東海大学山形高等学校,https://school.js88.com/scl_h/22029830/,990-2339,山形県 山形市成沢西3-4-5,https://www.ymgt-tokai.ed.jp/
山形県,山形学院高等学校,https://school.js88.com/scl_h/22029780/,990-0039,山形県 山形市香澄町3-10-8,https://www.y-gakuin.ac.jp/
山形県,鶴岡工業高等学校（定時制）,https://school.js88.com/scl_h/22101040/,997-0036,山形県 鶴岡市家中新町8-1,http://www.tsuruoka-th.ed.jp/teiji/index.html
山形県,米沢東高等学校,https://school.js88.com/scl_h/22030750/,992-0052,山形県 米沢市丸の内2-5-63,http://www.yonezawahigashi-h.ed.jp/
山形県,庄内農業高等学校,https://school.js88.com/scl_h/22030860/,999-7601,山形県 鶴岡市藤島古楯跡221,http://www.shonai-ah.ed.jp/
山形県,米沢工業高等学校（定時制）,https://school.js88.com/scl_h/22101030/,992-0117,山形県 米沢市川井300,http://www.yonezawa-th.ed.jp/
山形県,山形市立商業高等学校,https://school.js88.com/scl_h/22030590/,990-2481,山形県 山形市あかねヶ丘1-9-1,http://www.yamagatacity-ch.ed.jp/
山形県,致道館高等学校,https://school.js88.com/scl_h/22030830/,997-0037,山形県 鶴岡市若葉町26-31,https://www.chidokan.ed.jp/
山形県,天童高等学校,https://school.js88.com/scl_h/22030600/,994-0021,山形県 天童市山元850,http://www.tendo-h.ed.jp/htdocs/
山形県,新庄北高等学校（定時制）,https://school.js88.com/scl_h/22101020/,996-0061,山形県 新庄市飛田備前川61,https://sites.google.com/yamagataps.jp/shinkitateijisei/%E3%83%9B%E3%83%BC%E3%83%A0
山形県,高畠高等学校,https://school.js88.com/scl_h/22030780/,992-0334,山形県 東置賜郡高畠町大字一本柳2788,http://www.takahata-h.ed.jp/
山形県,新庄神室産業高等学校,https://school.js88.com/scl_h/22030710/,996-0051,山形県 新庄市松本370番地,https://shinjokamuro.jp/
山形県,村山産業高等学校,https://school.js88.com/scl_h/22030660/,995-0011,山形県 村山市楯岡北町1-3-1,http://www.murayama-ih.ed.jp/
山形県,新庄南高等学校金山校,https://school.js88.com/scl_h/22030720/,999-5402,山形県 最上郡金山町金山248-2,http://www.kaneyama-h.ed.jp/
山形県,新庄神室産業高等学校真室川校,https://school.js88.com/scl_h/22030730/,999-5312,山形県 最上郡真室川町大字新町字塩野947番地,http://www.mamurogawa-h.ed.jp/
山形県,山辺高等学校,https://school.js88.com/scl_h/22030610/,990-0301,山形県 東村山郡山辺町山辺3028,http://www.yamanobe-h.ed.jp/
山形県,山形中央高等学校,https://school.js88.com/scl_h/22030580/,990-2492,山形県 山形市鉄砲町2-10-73,http://www.yamagatachuo-h.ed.jp/
山形県,九里学園高等学校,https://school.js88.com/scl_h/22030900/,992-0039,山形県 米沢市門東町1-1-72,https://kunori-h.ed.jp/
山形県,学校法人羽黒学園 羽黒高等学校,https://school.js88.com/scl_h/22030930/,997-0296,山形県 鶴岡市羽黒町手向字薬師沢198,http://www.haguroko.ed.jp/
山形県,左沢高等学校,https://school.js88.com/scl_h/22030650/,990-1121,山形県 西村山郡大江町大字藤田字山中816-3,http://www.aterazawa-h.ed.jp/htdocs/
山形県,山形県立小国高等学校,https://school.js88.com/scl_h/22030820/,999-1352,山形県 西置賜郡小国町大字岩井沢621,http://www.ygt-oguni-h.ed.jp/
山形県,寒河江工業高等学校,https://school.js88.com/scl_h/22030630/,991-8512,山形県 寒河江市緑町148,https://www.sagae-th.ed.jp/
山形県,山形県立荒砥高等学校,https://school.js88.com/scl_h/22030810/,992-0831,山形県 西置賜郡白鷹町大字荒砥甲367番地,http://www.arato-h.ed.jp
山形県,米沢工業高等学校,https://school.js88.com/scl_h/22030760/,992-0117,山形県 米沢市大字川井300番地,http://www.yonezawa-th.ed.jp/
山形県,新庄南高等学校,https://school.js88.com/scl_h/22030690/,996-0077,山形県 新庄市城南町5-5,https://www.shinjominami-h.ed.jp/
山形県,長井工業高等学校,https://school.js88.com/scl_h/22030800/,993-0051,山形県 長井市幸町9-17,http://www.nagai-th.ed.jp/
山形県,山形県立米沢興譲館高等学校,https://school.js88.com/scl_h/22030740/,992-1443,山形県 米沢市笹野1101,http://www.yonezawakojokan-h.ed.jp/index.html
山形県,霞城学園高等学校（定時制）,https://school.js88.com/scl_h/22108040/,990-8580,山形県 山形市城南町一丁目1番1号,http://www.kajogakuen-h.ed.jp/
山形県,長井高等学校,https://school.js88.com/scl_h/22030790/,993-0015,山形県 長井市四ツ谷2-5-1,https://www.nagai-h.ed.jp
山形県,鶴岡工業高等学校,https://school.js88.com/scl_h/22030850/,997-0036,山形県 鶴岡市家中新町8-1,http://www.tsuruoka-th.ed.jp/
山形県,山形県立谷地高等学校,https://school.js88.com/scl_h/22030640/,999-3511,山形県 西村山郡河北町谷地字田中170,http://www.yachi-h.ed.jp/
山形県,寒河江高等学校,https://school.js88.com/scl_h/34028737/,991-8511,山形県 寒河江市六供町2丁目3-9,https://www.sagae-h.ed.jp/
山形県,酒田光陵高等学校,https://school.js88.com/scl_h/34029497/,998-0015,山形県 酒田市北千日堂前字松境7番地の3,http://www.sakatakoryo-h.ed.jp/wp/
山形県,東桜学館高等学校,https://school.js88.com/scl_h/34029793/,999-3730,山形県 東根市中央南1-7-1,http://www.touohgakkan-jhh.ed.jp/
山形県,和順館高等学校（通信制）,https://school.js88.com/scl_h/34028525/,998-0025,山形県 酒田市南千日町4番50号4号館5階,https://www.wajun-honbu.ac.jp/wajunkan/
山形県,酒田西高等学校（定時制）,https://school.js88.com/scl_h/34031223/,998-0062,山形県 酒田市北新町1-1-57,https://www.sakatanishi-h.ed.jp/
