都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
山梨県,身延山高等学校,https://school.js88.com/scl_h/22025890/,409-2597,山梨県 南巨摩郡身延町身延3567,http://www.min.ac.jp/minhi/
山梨県,Ｎ高等学校・Ｓ高等学校　甲府キャンパス（通信制）,https://school.js88.com/scl_h/34056312/,400-0034,山梨県 甲府市宝1-20-22GCT甲府ビル3F,
山梨県,日本大学明誠高等学校,https://school.js88.com/scl_h/22025940/,409-0195,山梨県 上野原市上野原3200,http://www.meisei.hs.nihon-u.ac.jp/
山梨県,塩山高等学校,https://school.js88.com/scl_h/22025700/,404-0047,山梨県 甲州市塩山三日市場440-1,http://www.enzanh.kai.ed.jp/
山梨県,甲府商業高等学校,https://school.js88.com/scl_h/22025810/,400-0845,山梨県 甲府市上今井町300,http://www.kchs.city.kofu.yamanashi.jp/
山梨県,白根高等学校,https://school.js88.com/scl_h/22025860/,400-0211,山梨県 南アルプス市上今諏訪1180,http://www.shirane-hs.kai.ed.jp/
山梨県,韮崎高等学校,https://school.js88.com/scl_h/22025550/,407-0015,山梨県 韮崎市若宮3-2-1,http://www.niratakah.kai.ed.jp/
山梨県,富士河口湖高等学校,https://school.js88.com/scl_h/22025790/,401-0301,山梨県 南都留郡富士河口湖町船津6663-1,http://www.kai.ed.jp/kawaguch/
山梨県,韮崎工業高等学校,https://school.js88.com/scl_h/22025560/,407-0031,山梨県 韮崎市龍岡町若尾新田50-1,http://www.nirasakith.kai.ed.jp/
山梨県,甲府昭和高等学校,https://school.js88.com/scl_h/22025850/,409-3866,山梨県 中巨摩郡昭和町西条3000,http://www.syowah.kai.ed.jp/
山梨県,都留興譲館高等学校,https://school.js88.com/scl_h/22025720/,402-0053,山梨県 都留市上谷5-7-1,http://www.tsurukojokan.kai.ed.jp/
山梨県,身延高等学校,https://school.js88.com/scl_h/22025650/,409-2531,山梨県 南巨摩郡身延町梅平1201-2,http://www.minobu.kai.ed.jp/
山梨県,巨摩高等学校,https://school.js88.com/scl_h/22025610/,400-0306,山梨県 南アルプス市小笠原1500-2,http://www.ko.kai.ed.jp/
山梨県,笛吹高等学校,https://school.js88.com/scl_h/22025660/,406-0031,山梨県 笛吹市石和町市部3,http://www.fuefukih.kai.ed.jp
山梨県,日川高等学校,https://school.js88.com/scl_h/22025680/,405-0025,山梨県 山梨市一町田中1062,http://www.hikawa.kai.ed.jp/
山梨県,甲府第一高等学校,https://school.js88.com/scl_h/22025570/,400-0007,山梨県 甲府市美咲2-13-44,http://www.first.kai.ed.jp/
山梨県,北杜高等学校,https://school.js88.com/scl_h/22025530/,408-0023,山梨県 北杜市長坂町渋沢1007-19,http://www.hokutoh.kai.ed.jp/
山梨県,甲陵高等学校,https://school.js88.com/scl_h/22025830/,408-0021,山梨県 北杜市長坂町長坂上条2003,http://koryo.main.jp/hs/
山梨県,上野原高等学校,https://school.js88.com/scl_h/22025840/,409-0133,山梨県 上野原市八ッ沢555,http://www.kai.ed.jp/ueko/index.htm
山梨県,農林高等学校,https://school.js88.com/scl_h/22025600/,400-0117,山梨県 甲斐市西八幡4533,http://www.norinh.kai.ed.jp/
山梨県,甲府東高等学校,https://school.js88.com/scl_h/22025780/,400-0805,山梨県 甲府市酒折1-17-1,http://www.kai.ed.jp/higasih/
山梨県,甲府南高等学校,https://school.js88.com/scl_h/22025580/,400-0854,山梨県 甲府市中小河原町222,https://www.kofuminami-h.ed.jp/
山梨県,甲府西高等学校,https://school.js88.com/scl_h/22025770/,400-0064,山梨県 甲府市下飯田4-1-1,http://www.nishi.kai.ed.jp/
山梨県,都留高等学校,https://school.js88.com/scl_h/22025710/,401-0013,山梨県 大月市大月2-11-20,http://www.tsuru-h.ed.jp/
山梨県,青洲高等学校,https://school.js88.com/scl_h/22025630/,409-3601,山梨県 西八代郡市川三郷町市川大門1733-2,http://www.seishu.kai.ed.jp/
山梨県,富士北稜高等学校,https://school.js88.com/scl_h/22025760/,403-0017,山梨県 富士吉田市新西原1-23-1,http://www.hokuryoh.kai.ed.jp/
山梨県,山梨高等学校,https://school.js88.com/scl_h/22025690/,405-0018,山梨県 山梨市上神内川194,http://www.yamah.kai.ed.jp/
山梨県,吉田高等学校,https://school.js88.com/scl_h/22025740/,403-0004,山梨県 富士吉田市下吉田6丁目17-1,http://www.yoshidah.kai.ed.jp/
山梨県,甲府城西高等学校,https://school.js88.com/scl_h/22025800/,400-0064,山梨県 甲府市下飯田1-9-1,https://www.josaih.kai.ed.jp/
山梨県,甲府工業高等学校,https://school.js88.com/scl_h/22025590/,400-0026,山梨県 甲府市塩部2-7-1,https://www.kofu-th.ed.jp/
山梨県,都留高等学校（定時制）,https://school.js88.com/scl_h/22103580/,401-0013,山梨県 大月市大月2-11-20,http://www.tsurutei.kai.ed.jp/?doing_wp_cron=1691372358.8427169322967529296875
山梨県,甲斐清和高等学校,https://school.js88.com/scl_h/22025880/,400-0867,山梨県 甲府市青沼3-10-1,https://seika.ito-gakuen.ed.jp/
山梨県,駿台甲府高等学校　塩部キャンパス,https://school.js88.com/scl_h/22025900/,400-0026,山梨県 甲府市塩部2-8-1,https://www.sundai-kofu.ed.jp/high/index.html
山梨県,日本航空高等学校（通信制）,https://school.js88.com/scl_h/24000231/,400-0108,山梨県 甲斐市宇津谷445,http://www.wing-hs.jp/
山梨県,韮崎高等学校（定時制）,https://school.js88.com/scl_h/22103540/,407-0015,山梨県 韮崎市若宮3-2-1,http://www.niratei.kai.ed.jp/?doing_wp_cron=1691371697.4206221103668212890625
山梨県,富士学苑高等学校,https://school.js88.com/scl_h/22025960/,403-0013,山梨県 富士吉田市緑ケ丘1-1-1,https://gekkouji.ac.jp/
山梨県,甲府工業高等学校（定時制）,https://school.js88.com/scl_h/22103550/,400-0026,山梨県 甲府市塩部2-7-1,http://www.kofutei.kai.ed.jp/
山梨県,巨摩高等学校（定時制）,https://school.js88.com/scl_h/22103560/,400-0306,山梨県 南アルプス市小笠原1500-2,http://www.komat.kai.ed.jp/
山梨県,駿台甲府高等学校　今井キャンパス,https://school.js88.com/scl_h/22025910/,400-0845,山梨県 甲府市上今井町1279-2,https://www.sundai-kofu.ed.jp/art/index.html
山梨県,山梨英和高等学校,https://school.js88.com/scl_h/22025870/,400-8507,山梨県 甲府市愛宕町112,http://www.yamanashi-eiwa.ac.jp/jsh/
山梨県,帝京第三高等学校,https://school.js88.com/scl_h/22025950/,408-0044,山梨県 北杜市小淵沢町2148,https://www.teikyo3.ed.jp/
山梨県,ひばりが丘高等学校（定時制）,https://school.js88.com/scl_h/34028638/,403-0032,山梨県 富士吉田市上吉田東4丁目3-1,https://www.hibarih.kai.ed.jp/
山梨県,山梨学院高等学校,https://school.js88.com/scl_h/22025920/,400-0805,山梨県 甲府市酒折3-3-1,http://www.yghs.ed.jp
山梨県,自然学園高等学校（通信制）,https://school.js88.com/scl_h/34028507/,408-0101,山梨県 北杜市須玉町小尾6900,http://shizengakuen.ed.jp/
山梨県,中央高等学校（定時制）,https://school.js88.com/scl_h/22108590/,400-0035,山梨県 甲府市飯田5-6-23,http://www.kai.ed.jp/chuouh/index.htm
山梨県,日本航空高等学校,https://school.js88.com/scl_h/22025970/,400-0108,山梨県 甲斐市宇津谷445,http://www.jaaw-hs.net
山梨県,駿台甲府高等学校通信制課程,https://school.js88.com/scl_h/34025082/,400-0026,山梨県 甲府市塩部2丁目8-1,https://www.sundai-kofu.ed.jp/corr/index.html
