都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
岐阜県,中京高等学校,https://school.js88.com/scl_h/22008010/,509-6101,岐阜県 瑞浪市土岐町7074-1,https://www.chukyo-ch.ed.jp/zennichi/
岐阜県,麗澤瑞浪高等学校,https://school.js88.com/scl_h/22008000/,509-6102,岐阜県 瑞浪市稲津町萩原1661,https://www.mz.reitaku.jp/
岐阜県,Ｎ高等学校・Ｓ高等学校　岐阜キャンパス（通信制）,https://school.js88.com/scl_h/34056315/,500-8833,岐阜県 岐阜市神田町9-20G-Front 3階,
岐阜県,西濃学園高等学校,https://school.js88.com/scl_h/34052028/,501-0706,岐阜県 揖斐郡揖斐川町西津汲481-3,https://seino-gakuen.ed.jp
岐阜県,揖斐高等学校,https://school.js88.com/scl_h/22007280/,501-0619,岐阜県 揖斐郡揖斐川町三輪1852,https://school.gifu-net.ed.jp/ibi-hs/
岐阜県,郡上北高等学校,https://school.js88.com/scl_h/22007390/,501-5122,岐阜県 郡上市白鳥町為真1265-2,http://school.gifu-net.ed.jp/gujyokita-hs/
岐阜県,岐阜高等学校,https://school.js88.com/scl_h/22007140/,500-8889,岐阜県 岐阜市大縄場3-1,https://school.gifu-net.ed.jp/wordpress/gifu-hs/
岐阜県,大垣桜高等学校,https://school.js88.com/scl_h/22007350/,503-0103,岐阜県 大垣市墨俣町上宿465番地-1,http://school.gifu-net.ed.jp/ogksakura-hs/
岐阜県,岐阜北高等学校,https://school.js88.com/scl_h/22007150/,502-0931,岐阜県 岐阜市則武清水1841-11,https://school.gifu-net.ed.jp/wordpress/gifukita-hs/
岐阜県,関有知高等学校,https://school.js88.com/scl_h/22007420/,501-3217,岐阜県 関市下有知松ケ洞6191-3,https://school.gifu-net.ed.jp/wordpress/sekiuchi-hs/
岐阜県,大垣南高等学校,https://school.js88.com/scl_h/22007300/,503-8522,岐阜県 大垣市浅中2-69,https://school.gifu-net.ed.jp/ogkminami-hs/nanko/index.html
岐阜県,岐阜農林高等学校,https://school.js88.com/scl_h/22007240/,501-0431,岐阜県 本巣郡北方町北方150,https://school.gifu-net.ed.jp/gifu-ahs/
岐阜県,岐南工業高等学校,https://school.js88.com/scl_h/22007210/,500-8389,岐阜県 岐阜市本荘3456-19,https://school.gifu-net.ed.jp/wordpress/ginan-ths/
岐阜県,山県高等学校,https://school.js88.com/scl_h/22007250/,501-2258,岐阜県 山県市中洞44-1,http://school.gifu-net.ed.jp/yamagata-hs/
岐阜県,羽島高等学校,https://school.js88.com/scl_h/22007260/,501-6241,岐阜県 羽島市竹鼻町梅ヶ枝町200-2,https://school.gifu-net.ed.jp/wordpress/hasima-hs/
岐阜県,長良高等学校,https://school.js88.com/scl_h/22007160/,502-0071,岐阜県 岐阜市長良西後町1716-1,http://school.gifu-net.ed.jp/nagara-hs/
岐阜県,各務原高等学校,https://school.js88.com/scl_h/22007130/,504-8585,岐阜県 各務原市蘇原新生町2-63,https://school.gifu-net.ed.jp/wordpress/kaku-hs/
岐阜県,郡上高等学校,https://school.js88.com/scl_h/22007400/,501-4221,岐阜県 郡上市八幡町小野970,https://school.gifu-net.ed.jp/gujyo-hs/
岐阜県,武義高等学校,https://school.js88.com/scl_h/22007410/,501-3729,岐阜県 美濃市泉町2-3,https://school.gifu-net.ed.jp/mugi-hs/
岐阜県,県立岐阜商業高等学校,https://school.js88.com/scl_h/22007200/,502-0931,岐阜県 岐阜市則武新屋敷1816-6,https://school.gifu-net.ed.jp/wordpress/gifu-chs/
岐阜県,大垣工業高等学校,https://school.js88.com/scl_h/22007340/,503-8521,岐阜県 大垣市南若森町301-1,https://school.gifu-net.ed.jp/ogaki-ths/
岐阜県,岐山高等学校,https://school.js88.com/scl_h/22007170/,502-0071,岐阜県 岐阜市長良小山田2587-1,https://school.gifu-net.ed.jp/gizan-hs/
岐阜県,大垣商業高等学校,https://school.js88.com/scl_h/22007330/,503-0002,岐阜県 大垣市開発町4-300,https://school.gifu-net.ed.jp/wordpress/ogaki-chs/
岐阜県,大垣北高等学校,https://school.js88.com/scl_h/22007290/,503-0017,岐阜県 大垣市中川町4-110-1,http://school.gifu-net.ed.jp/ogkkita-hs/
岐阜県,大垣養老高等学校,https://school.js88.com/scl_h/22007320/,503-1305,岐阜県 養老郡養老町祖父江向野1418-4,http://school.gifu-net.ed.jp/oyourou-hs/
岐阜県,岐阜工業高等学校,https://school.js88.com/scl_h/22007270/,501-6083,岐阜県 羽島郡笠松町常盤町1700,https://school.gifu-net.ed.jp/gifu-ths/zennichi/
岐阜県,大垣東高等学校,https://school.js88.com/scl_h/22007310/,503-0857,岐阜県 大垣市美和町1784,https://school.gifu-net.ed.jp/ogkhigasi-hs/
岐阜県,不破高等学校,https://school.js88.com/scl_h/22007360/,503-2124,岐阜県 不破郡垂井町宮代1919-1,https://school.gifu-net.ed.jp/wordpress/fuwa-hs/
岐阜県,加納高等学校,https://school.js88.com/scl_h/22007180/,500-8276,岐阜県 岐阜市加納南陽町3-17,https://school.gifu-net.ed.jp/kano-hs/index.html
岐阜県,羽島北高等学校,https://school.js88.com/scl_h/22007760/,501-6112,岐阜県 岐阜市柳津町北塚3-110,http://school.gifu-net.ed.jp/hasikita-hs/
