都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
岡山県,興譲館高等学校（通信制）,https://school.js88.com/scl_h/34029701/,715-0006,岡山県 井原市西江原町2257-1,http://kojokan.net
岡山県,岡山県共生高等学校,https://school.js88.com/scl_h/22033590/,718-0011,岡山県 新見市新見2032-4,http://www.kyousei.ed.jp/
岡山県,創志学園高等学校,https://school.js88.com/scl_h/22033430/,700-0054,岡山県 岡山市北区下伊福西町7-38,https://www.soshigakuen.ed.jp/
岡山県,金光学園高等学校,https://school.js88.com/scl_h/22033560/,719-0104,岡山県 浅口市金光町占見新田1350,https://www.konkougakuen.net/high/
岡山県,Ｎ高等学校・Ｓ高等学校　岡山キャンパス（通信制）,https://school.js88.com/scl_h/34056342/,700-0907,岡山県 岡山市北区下石井1-1-3日本生命岡山第二ビル・新館３階・４階,
岡山県,倉敷工業高等学校,https://school.js88.com/scl_h/22032820/,710-0826,岡山県 倉敷市老松町4-9-1,https://www.kurako.okayama-c.ed.jp/
岡山県,作陽学園高等学校,https://school.js88.com/scl_h/22033500/,713-8113,岡山県 倉敷市玉島八島1541-1,https://www.sakuyo-h.ed.jp/
岡山県,興譲館高等学校,https://school.js88.com/scl_h/22033530/,715-0006,岡山県 井原市西江原町2257-1,https://www.kojokan-h.ed.jp/
岡山県,玉野商工高等学校,https://school.js88.com/scl_h/22033310/,706-0012,岡山県 玉野市玉6-1-1,http://www.tamanosho.ed.jp/
岡山県,勝山高等学校蒜山校地,https://school.js88.com/scl_h/22033230/,717-0505,岡山県 真庭市蒜山上長田4,https://www.hiruzen.okayama-c.ed.jp/
岡山県,真庭高等学校,https://school.js88.com/scl_h/22033210/,719-3144,岡山県 真庭市落合垂水448-1,https://www.maniwa.okayama-c.ed.jp/
岡山県,Ｎ高等学校・Ｓ高等学校　倉敷キャンパス（通信制）,https://school.js88.com/scl_h/34056341/,710-0057,岡山県 倉敷市昭和2-4-6倉敷アークスクエア1F,
岡山県,笠岡工業高等学校,https://school.js88.com/scl_h/22032950/,714-0043,岡山県 笠岡市横島808,https://www.kasako.okayama-c.ed.jp/
岡山県,岡山商科大学附属高等学校,https://school.js88.com/scl_h/22033440/,700-0807,岡山県 岡山市北区南方5-2-45,https://www.osu-h.ed.jp/
岡山県,倉敷商業高等学校,https://school.js88.com/scl_h/22032840/,710-0824,岡山県 倉敷市白楽町545,https://www.kurasho.okayama-c.ed.jp/
岡山県,岡山操山高等学校,https://school.js88.com/scl_h/22032710/,703-8573,岡山県 岡山市中区浜412,http://www.sozan.okayama-c.ed.jp/
岡山県,岡山芳泉高等学校,https://school.js88.com/scl_h/22032730/,702-8503,岡山県 岡山市南区芳泉3-1-1,https://www.hosen.okayama-c.ed.jp/
岡山県,津山工業高等学校,https://school.js88.com/scl_h/22032860/,708-0004,岡山県 津山市山北411-1,https://www.tsukou.okayama-c.ed.jp/
岡山県,倉敷南高等学校,https://school.js88.com/scl_h/22032800/,710-0842,岡山県 倉敷市吉岡330,https://www.kuramina.okayama-c.ed.jp/
岡山県,岡山県立倉敷青陵高等学校,https://school.js88.com/scl_h/22032780/,710-0043,岡山県 倉敷市羽島1046-2,https://www.seiryo.okayama-c.ed.jp/wp/
岡山県,倉敷中央高等学校,https://school.js88.com/scl_h/22032810/,710-0845,岡山県 倉敷市西富井1384,https://www.kurachuo.okayama-c.ed.jp
岡山県,岡山県立岡山工業高等学校,https://school.js88.com/scl_h/22032740/,700-0013,岡山県 岡山市北区伊福町4-3-92,https://www.okako.okayama-c.ed.jp/
岡山県,岡山朝日高等学校,https://school.js88.com/scl_h/22032700/,703-8278,岡山県 岡山市中区古京町2-2-21,https://www.asahi.okayama-c.ed.jp/
岡山県,岡山南高等学校,https://school.js88.com/scl_h/22032770/,700-0933,岡山県 岡山市北区奥田2-4-7,https://www.okaminam.okayama-c.ed.jp/
岡山県,東岡山工業高等学校,https://school.js88.com/scl_h/22032750/,703-8217,岡山県 岡山市中区土田290-1,https://www.toko.okayama-c.ed.jp/wp/
岡山県,津山高等学校,https://school.js88.com/scl_h/22032850/,708-0051,岡山県 津山市椿高下62,https://www.tuyama.okayama-c.ed.jp/
岡山県,倉敷天城高等学校,https://school.js88.com/scl_h/22032790/,710-0132,岡山県 倉敷市藤戸町天城269,https://www.amaki.okayama-c.ed.jp/wordpress/
岡山県,水島工業高等学校,https://school.js88.com/scl_h/22032830/,710-0807,岡山県 倉敷市西阿知町1230,https://www.mizuko.okayama-c.ed.jp/
岡山県,岡山東商業高等学校,https://school.js88.com/scl_h/22032760/,703-8281,岡山県 岡山市中区東山3-1-6,https://www.higasho.okayama-c.ed.jp/
岡山県,岡山一宮高等学校,https://school.js88.com/scl_h/22033340/,701-1202,岡山県 岡山市北区楢津221,https://www.itinomiy.okayama-c.ed.jp/itiko.htm
岡山県,新見高等学校,https://school.js88.com/scl_h/22033030/,718-0011,岡山県 新見市新見1394,https://www.niimi.okayama-c.ed.jp/wp/
岡山県,高松農業高等学校,https://school.js88.com/scl_h/22033150/,701-1334,岡山県 岡山市北区高松原古才336-2,https://www.takano.okayama-c.ed.jp/
岡山県,倉敷市立倉敷翔南高等学校（定時制・単位制）,https://school.js88.com/scl_h/22033320/,711-0937,岡山県 倉敷市児島稗田町160,https://www.kurashiki-oky.ed.jp/kurashiki-shonan-h/
岡山県,津山東高等学校,https://school.js88.com/scl_h/22032880/,708-0822,岡山県 津山市林田1200,https://www.tuhigasi.okayama-c.ed.jp/wp/
岡山県,鴨方高等学校,https://school.js88.com/scl_h/22033130/,719-0243,岡山県 浅口市鴨方町鴨方819,https://www.kamogata.okayama-c.ed.jp/
岡山県,玉野高等学校,https://school.js88.com/scl_h/22032890/,706-8555,岡山県 玉野市築港3-11-1,https://www.tamano.okayama-c.ed.jp/
岡山県,林野高等学校,https://school.js88.com/scl_h/22033260/,707-0046,岡山県 美作市三倉田58-1,https://www.hayasino.okayama-c.ed.jp/
岡山県,瀬戸高等学校,https://school.js88.com/scl_h/22033060/,709-0876,岡山県 岡山市東区瀬戸町光明谷316-1,https://www.seto.okayama-c.ed.jp/
岡山県,井原高等学校,https://school.js88.com/scl_h/22032980/,715-0019,岡山県 井原市井原町1802,https://www.ibara.okayama-c.ed.jp/
岡山県,玉野光南高等学校,https://school.js88.com/scl_h/22033360/,706-0226,岡山県 玉野市東七区244,https://www.konan.okayama-c.ed.jp/
岡山県,笠岡商業高等学校,https://school.js88.com/scl_h/22032960/,714-0081,岡山県 笠岡市笠岡3203,https://www.kasasho.okayama-c.ed.jp/
岡山県,総社高等学校,https://school.js88.com/scl_h/22033000/,719-1126,岡山県 総社市総社3-9-1,http://www.soja.okayama-c.ed.jp/
岡山県,高梁高等学校,https://school.js88.com/scl_h/22033010/,716-0004,岡山県 高梁市内山下38,https://www.takahasi.okayama-c.ed.jp/wp/
岡山県,倉敷鷲羽高等学校,https://school.js88.com/scl_h/22032900/,711-0915,岡山県 倉敷市児島味野山田町2301,https://www.washu.okayama-c.ed.jp/
岡山県,岡山県立津山商業高等学校,https://school.js88.com/scl_h/22032870/,708-0004,岡山県 津山市山北531,https://www.tusho.okayama-c.ed.jp/
岡山県,勝山高等学校,https://school.js88.com/scl_h/22033200/,717-0013,岡山県 真庭市勝山481,https://www.katuyama.okayama-c.ed.jp/
岡山県,勝間田高等学校,https://school.js88.com/scl_h/22033240/,709-4316,岡山県 勝田郡勝央町勝間田47,https://www.katumada.okayama-c.ed.jp/
岡山県,笠岡高等学校,https://school.js88.com/scl_h/22032940/,714-0081,岡山県 笠岡市笠岡3073-2,https://www.kasaoka.okayama-c.ed.jp/wp/
岡山県,興陽高等学校,https://school.js88.com/scl_h/22033120/,701-0297,岡山県 岡山市南区藤田1500,https://www.koyohigh.okayama-c.ed.jp/
岡山県,県立玉島高等学校,https://school.js88.com/scl_h/22032920/,713-8121,岡山県 倉敷市玉島阿賀崎3-1-1,https://www.tamasima.okayama-c.ed.jp/
岡山県,邑久高等学校,https://school.js88.com/scl_h/22033110/,701-4221,岡山県 瀬戸内市邑久町尾張404,https://www.oku.okayama-c.ed.jp/wp/
岡山県,岡山御津高等学校,https://school.js88.com/scl_h/22033050/,709-2133,岡山県 岡山市北区御津金川940,http://www.mitsu.okayama-c.ed.jp/
