都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
岩手県,花巻東高等学校,https://school.js88.com/scl_h/22028750/,025-0066,岩手県 花巻市松園町55-1,http://www.hanamakihigashi-h.jp/
岩手県,盛岡大学附属高等学校,https://school.js88.com/scl_h/22028680/,020-0124,岩手県 盛岡市厨川5丁目4-1,https://www.morifu.jp/
岩手県,協和学院水沢第一高等学校,https://school.js88.com/scl_h/22028740/,023-0875,岩手県 奥州市水沢区字森下20-1,http://www.mizuichi.ed.jp/
岩手県,盛岡白百合学園高等学校,https://school.js88.com/scl_h/22028640/,020-0004,岩手県 盛岡市山岸4-29-16,https://msgsp.jp/
岩手県,一関学院高等学校,https://school.js88.com/scl_h/22028720/,021-0871,岩手県 一関市八幡町5-24,https://ichinoseki-gakuin.jp/
岩手県,Ｎ高等学校・Ｓ高等学校　岩手盛岡キャンパス（通信制）,https://school.js88.com/scl_h/34056259/,020-0034,岩手県 盛岡市盛岡駅前通16-21盛岡駅前通ビル5階,
岩手県,盛岡スコーレ高等学校,https://school.js88.com/scl_h/22028690/,020-0851,岩手県 盛岡市向中野五丁目5番1号,https://www.schole.jp/highschool/
岩手県,一関修紅高等学校,https://school.js88.com/scl_h/22028710/,021-0807,岩手県 一関市字東花王町6番地の1,https://www.shuko.ed.jp/
岩手県,岩手高等学校,https://school.js88.com/scl_h/22028630/,020-0062,岩手県 盛岡市長田町7-60,https://iwate-jh.ed.jp
岩手県,軽米高等学校,https://school.js88.com/scl_h/22028510/,028-6302,岩手県 九戸郡軽米町軽米9-34-1,http://www2.iwate-ed.jp/kar-h/
岩手県,一関学院高等学校（通信制）,https://school.js88.com/scl_h/34028499/,021-0871,岩手県 一関市八幡町5-24,http://ichinoseki-gakuin.jp/index.html
岩手県,盛岡誠桜高等学校,https://school.js88.com/scl_h/22028660/,020-0114,岩手県 盛岡市高松1-21-14,https://www.morioka-seio.ed.jp/
岩手県,葛巻高等学校,https://school.js88.com/scl_h/22027960/,028-5402,岩手県 岩手郡葛巻町葛巻5-178-1,http://www2.iwate-ed.jp/kuz-h/
岩手県,久慈高等学校,https://school.js88.com/scl_h/22021420/,028-0033,岩手県 久慈市畑田第26地割96番,http://www2.iwate-ed.jp/kuj-h/index.html
岩手県,宮古高等学校（全日制）,https://school.js88.com/scl_h/22021430/,027-0052,岩手県 宮古市宮町2-1-1,http://www2.iwate-ed.jp/myh-h/
岩手県,雫石高等学校,https://school.js88.com/scl_h/22027980/,020-0544,岩手県 岩手郡雫石町柿木36-1,https://www2.iwate-ed.jp/shz-h/
岩手県,盛岡農業高等学校,https://school.js88.com/scl_h/22027920/,020-0605,岩手県 滝沢市砂込1463,https://www2.iwate-ed.jp/moa-h/
岩手県,盛岡第四高等学校,https://school.js88.com/scl_h/22027900/,020-0835,岩手県 盛岡市津志田26-17-1,https://www2.iwate-ed.jp/mo4-h/
岩手県,盛岡工業高等学校,https://school.js88.com/scl_h/22027930/,020-0841,岩手県 盛岡市羽場18-11-1,http://www2.iwate-ed.jp/mot-h/
岩手県,盛岡商業高等学校,https://school.js88.com/scl_h/22027940/,020-0866,岩手県 盛岡市本宮2-35-1,http://www2.iwate-ed.jp/moc-h/
岩手県,遠野高等学校,https://school.js88.com/scl_h/22021440/,028-0525,岩手県 遠野市六日町3-17,"http://www2.iwate-ed.jp/ton-h/index.html,noteton-hs.tote.jp"
岩手県,岩泉高等学校,https://school.js88.com/scl_h/22021410/,027-0501,岩手県 下閉伊郡岩泉町岩泉字松橋4,http://www2.iwate-ed.jp/iwi-h/
岩手県,盛岡第三高等学校,https://school.js88.com/scl_h/22027890/,020-0114,岩手県 盛岡市高松4-17-16,http://www2.iwate-ed.jp/mo3-h/
岩手県,盛岡第一高等学校,https://school.js88.com/scl_h/22027870/,020-8515,岩手県 盛岡市上田3-2-1,https://www2.iwate-ed.jp/mo1-h/
岩手県,平舘高等学校,https://school.js88.com/scl_h/22027970/,028-7405,岩手県 八幡平市平舘25-6,http://www2.iwate-ed.jp/tar-h/
岩手県,盛岡北高等学校,https://school.js88.com/scl_h/22027910/,020-0632,岩手県 滝沢市牧野林298-1,https://www2.iwate-ed.jp/mon-h/
岩手県,花巻北高等学校,https://school.js88.com/scl_h/22028000/,025-0061,岩手県 花巻市本館54,http://www2.iwate-ed.jp/hkn-h/
岩手県,沼宮内高等学校,https://school.js88.com/scl_h/22027950/,028-4398,岩手県 岩手郡岩手町五日市10-4,https://www2.iwate-ed.jp/nkn-h/index.html
