都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
島根県,益田東高等学校,https://school.js88.com/scl_h/22032680/,698-0011,島根県 益田市染羽町1-24,https://masuda-higashi.com/
島根県,松徳学院高等学校,https://school.js88.com/scl_h/22032620/,690-0015,島根県 松江市上乃木1-14-51,https://shotoku-h.ed.jp/
島根県,益田翔陽高等学校,https://school.js88.com/scl_h/22032510/,698-0041,島根県 益田市高津3-21-1,http://masudashoyo.jp/
島根県,平田高等学校,https://school.js88.com/scl_h/22032350/,691-0001,島根県 出雲市平田町1,https://www.hirata-h.ed.jp/
島根県,江津高等学校,https://school.js88.com/scl_h/22032450/,695-0021,島根県 江津市都野津町293,https://www.gohtsu.ed.jp/
島根県,益田高等学校,https://school.js88.com/scl_h/22032490/,698-0017,島根県 益田市七尾町1-17,https://www.masuda.ed.jp/
島根県,大社高等学校,https://school.js88.com/scl_h/22021910/,699-0722,島根県 出雲市大社町北荒木1473,https://www.taisha.ed.jp/
島根県,島根中央高等学校,https://school.js88.com/scl_h/22032420/,696-0001,島根県 邑智郡川本町川本222,https://www.shimane-chuo.ed.jp/
島根県,浜田高等学校,https://school.js88.com/scl_h/22021920/,697-0024,島根県 浜田市黒川町3749,http://www.hamakou.ed.jp/
島根県,島根県立浜田水産高等学校,https://school.js88.com/scl_h/22032480/,697-0051,島根県 浜田市瀬戸ケ島町25-3,http://www.shimanet.ed.jp/hamasui/
島根県,出雲工業高等学校,https://school.js88.com/scl_h/22032370/,693-0022,島根県 出雲市上塩冶町420,http://www.izumo-th.ed.jp
島根県,松江商業高等学校,https://school.js88.com/scl_h/22032310/,690-8525,島根県 松江市浜乃木8-1-1,https://www.matsusho.ed.jp/
島根県,松江農林高等学校,https://school.js88.com/scl_h/22032290/,690-8507,島根県 松江市乃木福富町51,https://www.matsuno.ed.jp/
島根県,横田高等学校,https://school.js88.com/scl_h/22032330/,699-1821,島根県 仁多郡奥出雲町稲原2178-1,https://www.yokota.ed.jp/
島根県,三刀屋高等学校・掛合分校,https://school.js88.com/scl_h/22022750/,690-2701,島根県 雲南市掛合町掛合3601,https://www.kakeko.ed.jp/
島根県,三刀屋高等学校,https://school.js88.com/scl_h/22021900/,690-2404,島根県 雲南市三刀屋町三刀屋912-2,https://www.mitoya-hs.ed.jp/
島根県,江津工業高等学校,https://school.js88.com/scl_h/22032460/,695-0011,島根県 江津市江津町1477,http://www.gotsu-th.ed.jp/
島根県,浜田商業高等学校,https://school.js88.com/scl_h/22032470/,697-0062,島根県 浜田市熱田町675,https://www.shimane-hamasho.ed.jp/
島根県,松江南高等学校,https://school.js88.com/scl_h/22032280/,690-8519,島根県 松江市八雲台1-1-1,https://matsue-minami.ed.jp/
島根県,邇摩高等学校,https://school.js88.com/scl_h/22032410/,699-2301,島根県 大田市仁摩町仁万907,https://www.nima.ed.jp/
島根県,安来高等学校,https://school.js88.com/scl_h/22032260/,692-0031,島根県 安来市佐久保町115,http://www.yasugi-hs.ed.jp/
島根県,大田高等学校,https://school.js88.com/scl_h/22032400/,694-0064,島根県 大田市大田町大田イ568,https://ohda-hs.ed.jp/
島根県,出雲高等学校,https://school.js88.com/scl_h/22032360/,693-0001,島根県 出雲市今市町1800,https://www.izumo-hs.ed.jp/
島根県,松江工業高等学校,https://school.js88.com/scl_h/22032300/,690-8528,島根県 松江市古志原4-1-10,https://www.matsue-th.ed.jp/
島根県,出雲農林高等学校,https://school.js88.com/scl_h/22032390/,693-0046,島根県 出雲市下横町950,https://www.izuno.ed.jp/
島根県,飯南高等学校,https://school.js88.com/scl_h/22032340/,690-3401,島根県 飯石郡飯南町野萱800,http://iinan.ed.jp/
島根県,出雲商業高等学校,https://school.js88.com/scl_h/22032380/,693-0011,島根県 出雲市大津町2525,http://www.shimanet.ed.jp/izusho/
島根県,矢上高等学校,https://school.js88.com/scl_h/22032440/,696-0198,島根県 邑智郡邑南町矢上3921,http://www.yakami.ed.jp
島根県,松江北高等学校,https://school.js88.com/scl_h/22032270/,690-0872,島根県 松江市奥谷町164,http://www.matsuekita.ed.jp/
島根県,石見智翠館高等学校,https://school.js88.com/scl_h/22032660/,695-8502,島根県 江津市渡津町1904-1,https://www.iwamichisuikan.ed.jp/
島根県,津和野高等学校,https://school.js88.com/scl_h/22032530/,699-5605,島根県 鹿足郡津和野町後田ハ12-3,https://www.tsuwano.ed.jp
島根県,隠岐高等学校,https://school.js88.com/scl_h/22032540/,685-8512,島根県 隠岐郡隠岐の島町有木尼寺原1,https://www.oki-hs.ed.jp/
島根県,キリスト教愛真高等学校,https://school.js88.com/scl_h/22032690/,695-0002,島根県 江津市浅利町1826-1,https://aishinhigh.ed.jp/
島根県,立正大学淞南高等学校,https://school.js88.com/scl_h/22032610/,690-8517,島根県 松江市大庭町1794-2,https://www.shonangakuen-h.ed.jp/
島根県,情報科学高等学校,https://school.js88.com/scl_h/22032590/,692-8500,島根県 安来市能義町310,http://www.shimanet.ed.jp/johokoko/
島根県,松江西高等学校,https://school.js88.com/scl_h/22032630/,690-0015,島根県 松江市上乃木3-21-10,https://www.matsuenishi-h.ed.jp/
島根県,出雲北陵高等学校,https://school.js88.com/scl_h/22032640/,693-0073,島根県 出雲市西林木町3,https://izumohokuryo-h.ed.jp/
島根県,隠岐島前高等学校,https://school.js88.com/scl_h/22032550/,684-0404,島根県 隠岐郡海士町福井1403,http://www.dozen.ed.jp/
島根県,吉賀高等学校,https://school.js88.com/scl_h/22032520/,699-5522,島根県 鹿足郡吉賀町七日市937,http://www.yoshika.ed.jp/
島根県,松江東高等学校,https://school.js88.com/scl_h/22032580/,690-0823,島根県 松江市西川津町510,https://www.matsuehigashi.ed.jp/
島根県,隠岐水産高等学校,https://school.js88.com/scl_h/22032560/,685-8555,島根県 隠岐郡隠岐の島町東郷字吉津2,http://www.shimanet.ed.jp/okisui/
島根県,明誠高等学校,https://school.js88.com/scl_h/22032670/,698-0006,島根県 益田市三宅町7-37,https://www.meisei-masuda.ed.jp/
島根県,開星高等学校,https://school.js88.com/scl_h/22032600/,690-0017,島根県 松江市西津田9-11-1,http://kaisei.matsue.shimane.jp/
島根県,宍道高等学校（通信・定時）,https://school.js88.com/scl_h/34025375/,699-0492,島根県 松江市宍道町宍道1586,https://www.shinji-h.ed.jp/
島根県,出雲西高等学校,https://school.js88.com/scl_h/22032650/,693-0032,島根県 出雲市下古志町1163,https://www.izumonishikou.jp/
島根県,浜田高等学校（定時制）,https://school.js88.com/scl_h/22105410/,697-0024,島根県 浜田市黒川町3749,https://teitsu.hamakou.ed.jp/
島根県,松江市立皆美が丘女子高等学校,https://school.js88.com/scl_h/22032570/,690-0835,島根県 松江市西尾町540-1,http://www.shijyo.city.matsue.shimane.jp/
