都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
徳島県,徳島文理高等学校,https://school.js88.com/scl_h/22043210/,770-8054,徳島県 徳島市山城西4-20,http://www.bunri.ed.jp/
徳島県,Ｎ高等学校・Ｓ高等学校　徳島キャンパス（通信制）,https://school.js88.com/scl_h/34056344/,770-0832,徳島県 徳島市寺島本町東3-12-6徳島駅前濱口ビル 9F,
徳島県,生光学園高等学校,https://school.js88.com/scl_h/22043220/,771-1152,徳島県 徳島市応神町中原38,https://www.seikogakuen.ac.jp
徳島県,小松島高等学校,https://school.js88.com/scl_h/22042960/,773-0010,徳島県 小松島市日開野町高須47-1,https://komatsushima-hs.tokushima-ec.ed.jp/
徳島県,徳島県立脇町高等学校,https://school.js88.com/scl_h/22043080/,779-3610,徳島県 美馬市脇町脇町1270-2,https://wakimachi-hs.tokushima-ec.ed.jp/
徳島県,池田高等学校　三好校,https://school.js88.com/scl_h/22043130/,778-0020,徳島県 三好市池田町州津大深田720,https://ikeda-miyoshi.tokushima-ec.ed.jp/
徳島県,那賀高等学校,https://school.js88.com/scl_h/22021950/,771-5209,徳島県 那賀郡那賀町小仁宇大坪179-1,http://naka-hs.tokushima-ec.ed.jp/
徳島県,阿波高等学校,https://school.js88.com/scl_h/22043050/,771-1493,徳島県 阿波市吉野町柿原字ヒロナカ180番地,http://awa-hs.tokushima-ec.ed.jp/
徳島県,富岡東中学・高等学校,https://school.js88.com/scl_h/22021960/,774-0011,徳島県 阿南市領家町走寄102-2,https://tomiokahigashi-hs.tokushima-ec.ed.jp/
徳島県,池田高等学校,https://school.js88.com/scl_h/22043120/,778-8506,徳島県 三好市池田町ウヱノ2834,https://ikeda-hs.tokushima-ec.ed.jp/
徳島県,鳴門高等学校,https://school.js88.com/scl_h/22042990/,772-0002,徳島県 鳴門市撫養町斎田岩崎135-1,https://naruto-hs.tokushima-ec.ed.jp/
徳島県,城南高等学校,https://school.js88.com/scl_h/22042910/,770-8064,徳島県 徳島市城南町2-2-88,http://jonan-hs.tokushima-ec.ed.jp/
徳島県,海部高等学校,https://school.js88.com/scl_h/22042880/,775-0203,徳島県 海部郡海陽町大里古畑58-2,http://kaifu-hs.tokushima-ec.ed.jp/
徳島県,城北高等学校,https://school.js88.com/scl_h/22042920/,770-0003,徳島県 徳島市北田宮4-13-6,http://johoku-hs.tokushima-ec.ed.jp/
徳島県,徳島商業高等学校,https://school.js88.com/scl_h/22042930/,770-0862,徳島県 徳島市城東町1-4-1,http://tokusho.tokushima-ec.ed.jp/
徳島県,城西高等学校・神山校,https://school.js88.com/scl_h/22022770/,771-3311,徳島県 名西郡神山町神領字北399,https://joseikamiyama-hs.tokushima-ec.ed.jp/
徳島県,城西高等学校,https://school.js88.com/scl_h/22021940/,770-0046,徳島県 徳島市鮎喰町2-1,http://josei-hs.tokushima-ec.ed.jp/
