都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
愛媛県,今治精華高等学校,https://school.js88.com/scl_h/34025046/,794-0055,愛媛県 今治市中日吉町2-1-34,https://highschool.imabariseika.ac.jp/
愛媛県,済美高等学校,https://school.js88.com/scl_h/22044310/,790-8560,愛媛県 松山市湊町7-9-1,https://www.saibi.ac.jp
愛媛県,愛光高等学校,https://school.js88.com/scl_h/22044270/,791-8501,愛媛県 松山市衣山5-1610-1,https://www.aiko.ed.jp/
愛媛県,Ｎ高等学校・Ｓ高等学校　松山キャンパス（通信制）,https://school.js88.com/scl_h/34056346/,790-0011,愛媛県 松山市千舟町5-5-3EME松山千舟町ビル4階,
愛媛県,ＦＣ今治高等学校明徳校,https://school.js88.com/scl_h/22021370/,794-0054,愛媛県 今治市北日吉町1-4-47,http://www.meitokuhonko.com/
愛媛県,三崎高等学校,https://school.js88.com/scl_h/22044080/,796-0801,愛媛県 西宇和郡伊方町三崎511,https://ehm-misaki-h.esnet.ed.jp/
愛媛県,野村高等学校,https://school.js88.com/scl_h/22044110/,797-1211,愛媛県 西予市野村町阿下6-2,http://nomura-h.esnet.ed.jp/
愛媛県,新田青雲中等教育学校,https://school.js88.com/scl_h/34025112/,791-8551,愛媛県 松山市山西町600-1,https://www.nitta-seiun.ed.jp
愛媛県,新居浜南高等学校,https://school.js88.com/scl_h/22043760/,792-0836,愛媛県 新居浜市篠場町1-32,https://niihamaminami-h.esnet.ed.jp/
愛媛県,今治北高等学校,https://school.js88.com/scl_h/22043850/,794-0052,愛媛県 今治市宮下町2-2-14,https://imabarikita-h.esnet.ed.jp/
愛媛県,松山南高等学校,https://school.js88.com/scl_h/22021380/,790-8506,愛媛県 松山市末広町11-1,https://matsuyamaminami-h.esnet.ed.jp/
愛媛県,今治西高等学校,https://school.js88.com/scl_h/22043830/,794-0055,愛媛県 今治市中日吉町3-5-47,https://imabarinishi-h.esnet.ed.jp/
愛媛県,松山北高等学校,https://school.js88.com/scl_h/22021390/,790-0826,愛媛県 松山市文京町4-1,http://matsuyamakita-h.esnet.ed.jp/
愛媛県,西条高等学校,https://school.js88.com/scl_h/22043780/,793-8509,愛媛県 西条市明屋敷234,https://saijo-h.esnet.ed.jp/
愛媛県,三島高等学校,https://school.js88.com/scl_h/22043720/,799-0405,愛媛県 四国中央市三島中央5-11-30,http://ehm-mishima-h.esnet.ed.jp/
愛媛県,愛媛大学附属高等学校,https://school.js88.com/scl_h/22043700/,790-8566,愛媛県 松山市樽味3-2-40,https://www.hi.ehime-u.ac.jp/index.php
愛媛県,土居高等学校,https://school.js88.com/scl_h/22043730/,799-0701,愛媛県 四国中央市土居町中村892,https://doi-h.esnet.ed.jp
愛媛県,新居浜東高等学校,https://school.js88.com/scl_h/22043740/,792-0864,愛媛県 新居浜市東雲町2-9-1,http://www.niihamahigashi-h.ed.jp/
愛媛県,帝京第五高等学校,https://school.js88.com/scl_h/22021400/,795-0072,愛媛県 大洲市新谷甲233,https://www.ntu.ac.jp/teikyo5/
愛媛県,松山南高等学校・砥部分校,https://school.js88.com/scl_h/22022210/,791-2141,愛媛県 伊予郡砥部町岩谷口7番地,https://matsuyamaminami-h-b.esnet.ed.jp/
