都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
愛知県,飛鳥未来きずな高等学校　名古屋キャンパス（通信制）,https://school.js88.com/scl_h/34029932/,453-0013,愛知県 名古屋市中村区亀島1丁目5番24号2,
愛知県,愛知工業大学名電高等学校,https://school.js88.com/scl_h/22011380/,464-8540,愛知県 名古屋市千種区若水3-2-12,https://www.meiden.ed.jp/
愛知県,豊田大谷高等学校,https://school.js88.com/scl_h/22011660/,470-0344,愛知県 豊田市保見町南山1,https://toyotaotani.owari.ac.jp/
愛知県,北海道芸術高等学校　名古屋キャンパス（通信制）,https://school.js88.com/scl_h/34029342/,453-0015,愛知県 名古屋市中村区椿町11-2,http://www.hokugei.jp/
愛知県,古知野高等学校,https://school.js88.com/scl_h/22009800/,483-8331,愛知県 江南市古知野町高瀬1,https://kochino-h.com/
愛知県,誉高等学校,https://school.js88.com/scl_h/22011640/,485-0821,愛知県 小牧市本庄郷浦2613-2,https://homare.ac.jp/index.html
愛知県,半田商業高等学校,https://school.js88.com/scl_h/22010100/,475-0912,愛知県 半田市白山町2-30,https://handa-ch.aichi-c.ed.jp/cms/
愛知県,飛鳥未来高等学校　名古屋キャンパス（通信制）,https://school.js88.com/scl_h/34029150/,451-0045,愛知県 名古屋市西区名駅2-20-18,
愛知県,星城高等学校,https://school.js88.com/scl_h/22011470/,470-1161,愛知県 豊明市栄町新左山20,https://www.seijoh.ed.jp/
愛知県,同朋高等学校,https://school.js88.com/scl_h/22011310/,453-8540,愛知県 名古屋市中村区稲葉地町7-1,https://www.doho-h.ed.jp/
愛知県,飛鳥未来きぼう高等学校　名駅伏見キャンパス（通信制）,https://school.js88.com/scl_h/34056210/,450-0002,愛知県 名古屋市中村区名駅5-38-5名駅D-1ビル 3階,
愛知県,享栄高等学校,https://school.js88.com/scl_h/22011210/,467-8626,愛知県 名古屋市瑞穂区汐路町1-26,https://www.kyoei-h.ed.jp/
愛知県,名古屋高等学校,https://school.js88.com/scl_h/22011320/,461-8676,愛知県 名古屋市東区砂田橋2-1-58,https://www.meigaku.ac.jp/
愛知県,名古屋葵大学高等学校,https://school.js88.com/scl_h/22011350/,467-8611,愛知県 名古屋市瑞穂区汐路町4-21,https://www.nagoya-aoi.ed.jp/
愛知県,愛知高等学校,https://school.js88.com/scl_h/22011140/,464-8520,愛知県 名古屋市千種区光が丘2-11-41,https://www.aichi-h.ed.jp
愛知県,愛知商業高等学校,https://school.js88.com/scl_h/22009660/,461-0025,愛知県 名古屋市東区徳川1-12-1,https://aichi-ch.aichi-c.ed.jp/
愛知県,黄柳野高等学校,https://school.js88.com/scl_h/22011690/,441-1623,愛知県 新城市黄柳野池田663-1,http://tsugeno.ac.jp/
愛知県,大同大学大同高等学校,https://school.js88.com/scl_h/22021340/,457-0811,愛知県 名古屋市南区大同町2-21,https://www.daido-h.ed.jp/
愛知県,名古屋経済大学高蔵高等学校,https://school.js88.com/scl_h/22011190/,467-8558,愛知県 名古屋市瑞穂区高田町3丁目28-1,https://www.takakura-hj.info/
愛知県,豊橋中央高等学校,https://school.js88.com/scl_h/22011600/,440-0856,愛知県 豊橋市鍵田町106番地,https://toyohashi-chuo.ed.jp/
愛知県,啓明学館高等学校,https://school.js88.com/scl_h/22011160/,451-0043,愛知県 名古屋市西区新道1-23-15,http://keimeigakkan-h.ed.jp/
愛知県,豊川高等学校,https://school.js88.com/scl_h/22011590/,442-0029,愛知県 豊川市末広通1-37,https://toyokawa.ed.jp/
愛知県,愛知みずほ大学瑞穂高等学校,https://school.js88.com/scl_h/22011410/,467-8521,愛知県 名古屋市瑞穂区春敲町2-13,https://www.aichi-mizuho.ac.jp/mhs/
愛知県,至学館高等学校,https://school.js88.com/scl_h/22011260/,461-0047,愛知県 名古屋市東区大幸南2-1-10,https://www.shigakukan-h.ed.jp
愛知県,杜若高等学校,https://school.js88.com/scl_h/22011580/,470-0331,愛知県 豊田市平戸橋町波岩87-1,http://www.tojaku-h.ed.jp/
愛知県,桜花学園高等学校,https://school.js88.com/scl_h/22011370/,466-0013,愛知県 名古屋市昭和区緑町1-7,https://ohka-hs.com/
愛知県,飛鳥未来きぼう高等学校　名古屋キャンパス（通信制）,https://school.js88.com/scl_h/34056033/,451-0051,愛知県 名古屋市西区則武新町3-1-17BIZrium 名古屋5階,
愛知県,誠信高等学校,https://school.js88.com/scl_h/22011530/,480-0104,愛知県 丹羽郡扶桑町斉藤本新須1,http://www.a-seishin.ed.jp/
愛知県,栄徳高等学校,https://school.js88.com/scl_h/22011650/,480-1103,愛知県 長久手市岩作三ケ峯1-32,https://www.eitoku-h.ed.jp/
愛知県,名古屋経済大学市邨高等学校,https://school.js88.com/scl_h/22011170/,464-8533,愛知県 名古屋市千種区北千種3-1-37,https://www.ichimura.ed.jp/
愛知県,Ｎ高等学校・Ｓ高等学校　東岡崎キャンパス（通信制）,https://school.js88.com/scl_h/34056320/,444-0864,愛知県 岡崎市明大寺町川端19-14山七ビルＡＮＮＥＸ１階,
愛知県,Ｎ高等学校・Ｓ高等学校　名駅キャンパス（通信制）,https://school.js88.com/scl_h/34056319/,451-0042,愛知県 名古屋市西区那古野2-11-23新名古屋ビル7階,
愛知県,Ｎ高等学校・Ｓ高等学校　豊田キャンパス（通信制）,https://school.js88.com/scl_h/34056322/,471-0027,愛知県 豊田市喜多町2-170KiTARAブルー棟4階,
愛知県,Ｎ高等学校・Ｓ高等学校　名古屋栄キャンパス（通信制）,https://school.js88.com/scl_h/34056321/,460-0004,愛知県 名古屋市中区新栄町2-3YWCAビル6階,
愛知県,鳴海高等学校,https://school.js88.com/scl_h/22009610/,458-0825,愛知県 名古屋市緑区左京山801,https://narumi-h.aichi-c.ed.jp/cms/
愛知県,長久手高等学校,https://school.js88.com/scl_h/22009730/,480-1103,愛知県 長久手市岩作高山38,http://www.nagakute-h.aichi-c.ed.jp/
愛知県,愛知教育大学附属高等学校,https://school.js88.com/scl_h/22009490/,448-8545,愛知県 刈谷市井ケ谷町広沢1,https://www.auehs.aichi-edu.ac.jp/
愛知県,春日井泉高等学校,https://school.js88.com/scl_h/22009710/,486-0812,愛知県 春日井市大泉寺町1059-1,https://kasugaiizumi-h.jp/
愛知県,旭丘高等学校,https://school.js88.com/scl_h/22009500/,461-0032,愛知県 名古屋市東区出来町3-6-15,https://aichi-asahigaoka.ed.jp/
愛知県,瀬戸工科高等学校,https://school.js88.com/scl_h/22009760/,489-0883,愛知県 瀬戸市東権現町22-1,https://seto-te.aichi-c.ed.jp/
愛知県,名古屋工科高等学校,https://school.js88.com/scl_h/22009650/,457-0063,愛知県 名古屋市南区阿原町1,https://nagoya-te.aichi-c.ed.jp/cms/
愛知県,名古屋西高等学校,https://school.js88.com/scl_h/22009570/,451-8561,愛知県 名古屋市西区天神山町4-7,https://nagoyanishi-h.aichi-c.ed.jp/cms/
愛知県,松蔭高等学校,https://school.js88.com/scl_h/22009550/,453-0855,愛知県 名古屋市中村区烏森町2-2,https://aichi-shoin.jp/
愛知県,熱田高等学校,https://school.js88.com/scl_h/22009580/,456-0054,愛知県 名古屋市熱田区千年1-17-71,https://atsuta-h.aichi-c.ed.jp/cms/
愛知県,愛知県立中村高等学校,https://school.js88.com/scl_h/22009590/,453-0068,愛知県 名古屋市中村区菊水町1-2-18,https://aichi-nakamura.jp/
愛知県,愛知県立明和高等学校,https://school.js88.com/scl_h/22009510/,461-0011,愛知県 名古屋市東区白壁2-32-6,https://meiwa-h.aichi-c.ed.jp/
愛知県,名古屋大学教育学部附属高等学校,https://school.js88.com/scl_h/22009480/,464-8601,愛知県 名古屋市千種区不老町,https://highschl.educa.nagoya-u.ac.jp/
愛知県,東郷高等学校,https://school.js88.com/scl_h/22009740/,470-0162,愛知県 愛知郡東郷町春木狐塚3801-2,https://togo-h.aichi-c.ed.jp/cms/
愛知県,瀬戸高等学校,https://school.js88.com/scl_h/22009750/,489-0988,愛知県 瀬戸市東山町1-5,https://seto-h.aichi-c.ed.jp/
愛知県,惟信高等学校,https://school.js88.com/scl_h/22009540/,455-0823,愛知県 名古屋市港区惟信町2-262,https://ishin-hs.jp/
愛知県,春日井西高等学校,https://school.js88.com/scl_h/22009700/,486-0808,愛知県 春日井市田楽町1320,https://kasugainishi-h.aichi-c.ed.jp/
愛知県,千種高等学校,https://school.js88.com/scl_h/22009520/,465-8507,愛知県 名古屋市名東区社台2-206,https://chigusa-h.com/
愛知県,春日井高等学校,https://school.js88.com/scl_h/22009690/,486-0844,愛知県 春日井市鳥居松町1-55,https://kasugai-hs.jp/
愛知県,守山高等学校,https://school.js88.com/scl_h/22009620/,463-8503,愛知県 名古屋市守山区中志段味元屋敷1267,https://moriyama-h.aichi-c.ed.jp/cms/
愛知県,昭和高等学校,https://school.js88.com/scl_h/22009560/,467-8639,愛知県 名古屋市瑞穂区玉水町1-18,https://showa-h.com/
愛知県,緑丘高等学校,https://school.js88.com/scl_h/22009680/,463-8511,愛知県 名古屋市守山区緑ヶ丘1008,https://midorigaoka-h.aichi-c.ed.jp/cms/
愛知県,南陽高等学校,https://school.js88.com/scl_h/22009600/,455-0861,愛知県 名古屋市港区大西2-99,https://nanyo-h.aichi-c.ed.jp/
愛知県,中川青和高等学校,https://school.js88.com/scl_h/22009670/,454-0912,愛知県 名古屋市中川区野田3-280,https://nakagawaseiwa-h.aichi-c.ed.jp/
愛知県,旭野高等学校,https://school.js88.com/scl_h/22009720/,488-0830,愛知県 尾張旭市東印場町3-4-1,https://asahino-h.aichi-c.ed.jp/cms/
愛知県,瑞陵高等学校,https://school.js88.com/scl_h/22009530/,467-0811,愛知県 名古屋市瑞穂区北原町2-1,http://www.zuiryo-h.aichi-c.ed.jp/index.html
愛知県,半田農業高等学校,https://school.js88.com/scl_h/22010080/,475-0916,愛知県 半田市柊町1-1,https://handa-agri.jp/
愛知県,一宮起工科高等学校（全日制・昼間定時制）,https://school.js88.com/scl_h/22009910/,494-0007,愛知県 一宮市小信中島字郷南2番地,https://ichinomiyaokoshi-te.aichi-c.ed.jp/cms/
愛知県,桃陵高等学校,https://school.js88.com/scl_h/22010020/,474-0025,愛知県 大府市中央町5-15,https://toryo-h.com/
愛知県,半田高等学校,https://school.js88.com/scl_h/22010070/,475-0903,愛知県 半田市出口町1-30,https://handa-h.jp/
愛知県,犬山高等学校,https://school.js88.com/scl_h/22009780/,484-0081,愛知県 犬山市大字犬山字北首塚2番地,https://inuyama-h.aichi-c.ed.jp/
愛知県,愛西工科高等学校,https://school.js88.com/scl_h/22010000/,496-8018,愛知県 愛西市渕高町蔭島1,https://aisai-te.aichi-c.ed.jp/cms/
愛知県,尾北高等学校,https://school.js88.com/scl_h/22009790/,483-8157,愛知県 江南市北山町西4,https://bihoku-h.aichi-c.ed.jp/
愛知県,常滑高等学校,https://school.js88.com/scl_h/22010060/,479-0003,愛知県 常滑市金山四井池10,https://tokoname-h.aichi-c.ed.jp/cms/
愛知県,杏和高等学校,https://school.js88.com/scl_h/22009940/,495-8505,愛知県 稲沢市祖父江町二俣宮西1-1,https://kyowa-h.aichi-c.ed.jp/
愛知県,一宮北高等学校,https://school.js88.com/scl_h/22009870/,491-0131,愛知県 一宮市笹野氏神東1,https://ichinomiyakita-h.jp/
愛知県,東浦高等学校,https://school.js88.com/scl_h/22010110/,470-2104,愛知県 知多郡東浦町生路冨士塚20,https://higashiura-h.aichi-c.ed.jp/cms/
愛知県,一宮高等学校,https://school.js88.com/scl_h/22009850/,491-8533,愛知県 一宮市北園通6-9,https://ichinomiya-h.jp/
愛知県,一宮工科高等学校,https://school.js88.com/scl_h/22009880/,491-0804,愛知県 一宮市千秋町佐野辻田2112,https://ichinomiya-te.aichi-c.ed.jp/cms/
愛知県,一宮商業高等学校,https://school.js88.com/scl_h/22009890/,491-0041,愛知県 一宮市文京2-1-7,https://ichinomiya-ch.aichi-c.ed.jp/
愛知県,小牧高等学校,https://school.js88.com/scl_h/22009810/,485-0041,愛知県 小牧市小牧1-321,https://komaki-hs.jp/
愛知県,横須賀高等学校,https://school.js88.com/scl_h/22010030/,477-0037,愛知県 東海市高横須賀町広脇1,https://yokosuka-h.aichi-c.ed.jp/
