都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
新潟県,開志創造高等学校（通信制）,https://school.js88.com/scl_h/34055752/,950-0914,新潟県 新潟市中央区紫竹山6-3-5開志専門職大学紫竹山キャンパス内 4F,https://kaishi-souzou.ed.jp/
新潟県,新潟産業大学附属高等学校,https://school.js88.com/scl_h/22023980/,945-1397,新潟県 柏崎市大字安田2510番地2,https://www.nsf-h.ed.jp
新潟県,精華学園高等学校　新潟中央校（通信制）,https://school.js88.com/scl_h/34052033/,951-8068,新潟県 新潟市中央区上大川前通7番町1239-1,https://s-niigatachuo.jp/
新潟県,新潟産業大学附属高等学校　通信制課程,https://school.js88.com/scl_h/34052046/,945-1397,新潟県 柏崎市安田2510-2,https://managara.nsf-h.ed.jp/
新潟県,つくば開成学園高等学校　上越学習センター（通信制）,https://school.js88.com/scl_h/34052019/,943-0832,新潟県 上越市本町5丁目2-1クリタビル1・2F,https://www.t-kaisei.com/jouetsu-c/
新潟県,松陰高等学校　新潟中央校（通信制）,https://school.js88.com/scl_h/34052041/,950-0087,新潟県 新潟市中央区東大通2丁目3－28パーク新潟東大通ビル2階（2024年4月より住所変更）,https://www.sho-in.ed.jp
新潟県,敬和学園高等学校,https://school.js88.com/scl_h/22024000/,950-3112,新潟県 新潟市北区太夫浜325,https://www.keiwa-h.jp/
新潟県,新潟青陵高等学校,https://school.js88.com/scl_h/22023910/,951-8121,新潟県 新潟市中央区水道町1-5932,https://www.seiryo-high.ed.jp/
新潟県,Ｎ高等学校・Ｓ高等学校　新潟長岡キャンパス（通信制）,https://school.js88.com/scl_h/34056309/,940-0071,新潟県 長岡市表町1-11-1長岡フロントビル3F,
新潟県,新潟県立阿賀黎明高等学校,https://school.js88.com/scl_h/22023260/,959-4402,新潟県 東蒲原郡阿賀町津川361-1,http://www.agareimei-h.nein.ed.jp/
新潟県,帝京長岡高等学校,https://school.js88.com/scl_h/22023940/,940-0044,新潟県 長岡市住吉3-9-1,https://www.teikyo-nagaoka.ed.jp/
新潟県,上越高等学校,https://school.js88.com/scl_h/22023950/,943-0892,新潟県 上越市寺町3-4-34,https://www.joetsu-hs.com/
新潟県,精華学園高等学校　新潟校（通信制）,https://school.js88.com/scl_h/34052034/,950-0911,新潟県 新潟市中央区笹口1-12-13セイブ笹口2F,https://seikagakuen-niigata.jp/
新潟県,松陰高等学校　燕三条校（通信制）,https://school.js88.com/scl_h/34052040/,955-0046,新潟県 三条市興野2-2-58りとるたうんA2-1,https://shoin-ts.jp/
新潟県,開志国際高等学校,https://school.js88.com/scl_h/34031229/,959-2637,新潟県 胎内市長橋上439-1,https://kaishi-kokusai.ed.jp/
新潟県,長岡英智高等学校（通信制）,https://school.js88.com/scl_h/34028502/,940-1154,新潟県 長岡市宮栄3-16-14,https://eichi.ed.jp/
新潟県,新潟清心女子高等学校,https://school.js88.com/scl_h/22023990/,950-2101,新潟県 新潟市西区五十嵐1の町6370,https://www.seishin.ed.jp/
新潟県,海洋高等学校,https://school.js88.com/scl_h/22023690/,949-1352,新潟県 糸魚川市大字能生3040,http://www.kaiyou-h.nein.ed.jp/
新潟県,開志学園高等学校,https://school.js88.com/scl_h/34024908/,950-0931,新潟県 新潟市中央区南長潟21-1,https://www.kaishi.ed.jp/
新潟県,加茂暁星高等学校,https://school.js88.com/scl_h/22023960/,959-1322,新潟県 加茂市学校町16-18,http://www.gyosei.ac.jp/
新潟県,Ｎ高等学校・Ｓ高等学校　新潟キャンパス（通信制）,https://school.js88.com/scl_h/34056308/,950-0087,新潟県 新潟市中央区東大通2-1-20ステーションプラザ新潟1階,
