都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
東京都,岩倉高等学校,https://school.js88.com/scl_h/22038650/,110-0005,東京都 台東区上野7-8-8,http://www.tky-iwakura-h.ed.jp/
東京都,成女高等学校,https://school.js88.com/scl_h/22038270/,162-0067,東京都 新宿区富久町7-30,http://www.seijo-gk.ac.jp/
東京都,京華女子高等学校,https://school.js88.com/scl_h/22038510/,112-8612,東京都 文京区白山5-6-6,https://www.keika-g.ed.jp
東京都,文京学院大学女子高等学校,https://school.js88.com/scl_h/22038630/,113-8667,東京都 文京区本駒込6-18-3,https://www.hs.bgu.ac.jp/
東京都,清瀬高等学校,https://school.js88.com/scl_h/22036260/,204-0022,東京都 清瀬市松山3-1-56,https://www.metro.ed.jp/kiyose-h/
東京都,京華高等学校,https://school.js88.com/scl_h/22038490/,112-8612,東京都 文京区白山5-6-6,https://www.keika.ed.jp/
東京都,芝商業高等学校,https://school.js88.com/scl_h/22036520/,105-0022,東京都 港区海岸1-8-25,http://www.shibashogyo-h.metro.tokyo.jp/
東京都,東京電機大学高等学校,https://school.js88.com/scl_h/22038580/,184-8555,東京都 小金井市梶野町4-8-1,https://www.dendai.ed.jp/
東京都,目白研心高等学校,https://school.js88.com/scl_h/22038300/,161-8522,東京都 新宿区中落合4-31-1,http://mk.mejiro.ac.jp
東京都,和洋九段女子高等学校,https://school.js88.com/scl_h/22038070/,102-0073,東京都 千代田区九段北1-12-12,https://www.wayokudan.ed.jp/
東京都,桜丘高等学校,https://school.js88.com/scl_h/22038680/,114-8554,東京都 北区滝野川1-51-12,https://sakuragaoka.ac.jp/
東京都,東洋高等学校,https://school.js88.com/scl_h/22038020/,101-0061,東京都 千代田区神田三崎町1-4-16,https://www.toyo.ed.jp/
東京都,中央学院大学中央高等学校,https://school.js88.com/scl_h/22038080/,136-0071,東京都 江東区亀戸7-65-12,http://www.cguch.ed.jp/
東京都,聖心女子学院高等科,https://school.js88.com/scl_h/22038150/,108-0072,東京都 港区白金4-11-1,https://www.tky-sacred-heart.ed.jp/02_syokai.html
東京都,墨田工科高等学校,https://school.js88.com/scl_h/22036620/,135-0004,東京都 江東区森下5-1-7,https://www.metro.ed.jp/sumidakoka-h/
東京都,東京藝術大学音楽学部附属音楽高等学校,https://school.js88.com/scl_h/22035780/,110-8714,東京都 台東区上野公園12-8,https://geiko.geidai.ac.jp/
東京都,昭和第一高等学校,https://school.js88.com/scl_h/22038560/,113-0033,東京都 文京区本郷1-2-15,https://www.sdh.ed.jp/
東京都,貞静学園高等学校,https://school.js88.com/scl_h/22038570/,112-8625,東京都 文京区大塚1-2-10,http://www.teiseigakuen.ac.jp/
東京都,麹町学園女子高等学校,https://school.js88.com/scl_h/22037960/,102-0083,東京都 千代田区麹町3-8,https://www.kojimachi.ed.jp/
東京都,桐朋女子高等学校,https://school.js88.com/scl_h/22038420/,182-8510,東京都 調布市若葉町1-41-1,https://chuko.toho.ac.jp
東京都,第五商業高等学校,https://school.js88.com/scl_h/22036650/,186-0004,東京都 国立市中3-4,http://www.daigoshogyo-h.metro.tokyo.jp/
東京都,富士見丘高等学校,https://school.js88.com/scl_h/22038400/,151-0073,東京都 渋谷区笹塚3-19-9,https://www.fujimigaoka.ac.jp/
東京都,保善高等学校,https://school.js88.com/scl_h/22038290/,169-0072,東京都 新宿区大久保3-6-2,https://www.hozen.ed.jp
東京都,二松学舎大学附属高等学校,https://school.js88.com/scl_h/22038030/,102-0074,東京都 千代田区九段南2-1-32,https://www.nishogakusha-highschool.ac.jp/
東京都,帝京八王子高等学校,https://school.js88.com/scl_h/22038380/,192-0151,東京都 八王子市上川町3766,https://teihachi.ed.jp/
東京都,正則高等学校,https://school.js88.com/scl_h/22038160/,105-0011,東京都 港区芝公園3-1-36,https://www.seisoku.ed.jp
東京都,安部学院高等学校,https://school.js88.com/scl_h/22038670/,114-0005,東京都 北区栄町35-4,https://www.abe-gakuin.ed.jp/
東京都,関東国際高等学校,https://school.js88.com/scl_h/22038340/,151-0071,東京都 渋谷区本町3-2-2,https://www.kantokokusai.ac.jp
東京都,京華商業高等学校,https://school.js88.com/scl_h/22038500/,112-8612,東京都 文京区白山5-6-6,https://www.keika-c.ed.jp/
東京都,かえつ有明高等学校,https://school.js88.com/scl_h/22037910/,135-8711,東京都 江東区東雲2-16-1,https://www.ariake.kaetsu.ac.jp/
東京都,大東学園高等学校,https://school.js88.com/scl_h/22039290/,156-0055,東京都 世田谷区船橋7-22-1,https://ikou.daitogakuen.ed.jp
東京都,文教大学付属高等学校,https://school.js88.com/scl_h/22038990/,142-0064,東京都 品川区旗の台3-2-17,https://www.bunkyo.ac.jp/jsh/
東京都,佼成学園女子高等学校,https://school.js88.com/scl_h/22039170/,157-0064,東京都 世田谷区給田2-1-1,https://www.girls.kosei.ac.jp/
東京都,下北沢成徳高等学校,https://school.js88.com/scl_h/22039260/,155-8668,東京都 世田谷区代田6-12-39,https://www.shimokitazawa-seitoku.ed.jp/
東京都,聖学院高等学校,https://school.js88.com/scl_h/22038720/,114-8502,東京都 北区中里3-12-1,https://www.seigakuin.ed.jp/
東京都,東京実業高等学校,https://school.js88.com/scl_h/22039110/,144-0051,東京都 大田区西蒲田8-18-1,https://www.tojitsu.ed.jp
東京都,瀧野川女子学園高等学校,https://school.js88.com/scl_h/22038750/,114-0016,東京都 北区上中里1-27-7,https://www.takinogawa.ed.jp/
東京都,松蔭大学附属松蔭高等学校,https://school.js88.com/scl_h/22039230/,155-8611,東京都 世田谷区北沢1-16-10,http://www.shoin.ed.jp
東京都,目黒日本大学高等学校,https://school.js88.com/scl_h/22039040/,153-0063,東京都 目黒区目黒1-6-15,https://www.meguro-nichidai.ed.jp
東京都,愛国高等学校,https://school.js88.com/scl_h/22038870/,133-8585,東京都 江戸川区西小岩5-7-1,https://www.aikokugakuen.ac.jp/senior-high/
東京都,東京農業大学第一高等学校,https://school.js88.com/scl_h/22039320/,156-0053,東京都 世田谷区桜3-33-1,http://www.nodai-1-h.ed.jp/
東京都,共栄学園高等学校,https://school.js88.com/scl_h/22038850/,124-0003,東京都 葛飾区お花茶屋2-6-1,https://kyoei-g.ed.jp/
東京都,品川翔英高等学校,https://school.js88.com/scl_h/22038900/,140-0015,東京都 品川区西大井1-6-13,https://www.shinagawa-shouei.ac.jp/jhhs/
東京都,品川学藝高等学校,https://school.js88.com/scl_h/22038960/,142-0042,東京都 品川区豊町2-16-12,https://shinagawa.ed.jp/
東京都,東京成徳大学高等学校（高等部）,https://school.js88.com/scl_h/22038760/,114-0002,東京都 北区王子6-7-14,https://www.tokyoseitoku.jp/hs/
東京都,駿台学園高等学校,https://school.js88.com/scl_h/22038710/,114-0002,東京都 北区王子6-1-10,https://www.sundaigakuen.ac.jp/
東京都,駒沢学園女子高等学校,https://school.js88.com/scl_h/22039190/,206-8511,東京都 稲城市坂浜238番地,https://www.komajo.ac.jp/jsh/
東京都,駒場学園高等学校,https://school.js88.com/scl_h/22039210/,155-0032,東京都 世田谷区代沢1-23-8,https://www.komabagakuen.ac.jp/
東京都,中村高等学校,https://school.js88.com/scl_h/22038820/,135-8404,東京都 江東区清澄2-3-15,https://www.nakamura.ed.jp
東京都,東京高等学校,https://school.js88.com/scl_h/22039100/,146-0091,東京都 大田区鵜の木2-39-1,https://tokyo-hs.jp/
東京都,北豊島高等学校,https://school.js88.com/scl_h/22038790/,116-8555,東京都 荒川区東尾久6-34-24,http://www.kitatoshima.ed.jp/
東京都,羽田国際高等学校,https://school.js88.com/scl_h/22039090/,144-8544,東京都 大田区本羽田1-4-1,http://www.kanno.ac.jp/
東京都,修徳高等学校,https://school.js88.com/scl_h/22038860/,125-8507,東京都 葛飾区青戸8-10-1,http://www.shutoku.ac.jp/
東京都,品川エトワール女子高等学校,https://school.js88.com/scl_h/22038970/,140-0004,東京都 品川区南品川5-12-4,https://www.etoile.ed.jp/
東京都,玉川聖学院高等部,https://school.js88.com/scl_h/22039300/,158-0083,東京都 世田谷区奥沢7-11-22,http://www.tamasei.ed.jp/
東京都,多摩大学目黒高等学校,https://school.js88.com/scl_h/22039060/,153-0064,東京都 目黒区下目黒4-10-24,http://www.tmh.ac.jp/
