都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
栃木県,飛鳥未来きずな高等学校　宇都宮キャンパス（通信制）,https://school.js88.com/scl_h/34041734/,320-0035,栃木県 宇都宮市伝馬町1-9宇都宮KSビル7階,
栃木県,作新学院高等学校,https://school.js88.com/scl_h/22002010/,320-8525,栃木県 宇都宮市一の沢1-1-41,https://www.sakushin.ac.jp/highschool/
栃木県,幸福の科学学園高等学校,https://school.js88.com/scl_h/34025366/,329-3434,栃木県 那須郡那須町梁瀬487-1,http://www.happy-science.ac.jp/
栃木県,矢板中央高等学校,https://school.js88.com/scl_h/22002120/,329-2161,栃木県 矢板市扇町2-1519,https://ychyama.sakura.ne.jp/ycsisei/
栃木県,Ｎ高等学校・Ｓ高等学校　東武宇都宮キャンパス（通信制）,https://school.js88.com/scl_h/34056270/,320-0035,栃木県 宇都宮市伝馬町1-9 宇都宮KSビル5階,
栃木県,國學院大學栃木高等学校,https://school.js88.com/scl_h/22002060/,328-8588,栃木県 栃木市平井町608,https://kokugakuintochigi.jp/
栃木県,佐野日本大学高等学校,https://school.js88.com/scl_h/22002080/,327-0192,栃木県 佐野市石塚町2555,https://high.sano-nichidai.jp/
栃木県,Ｎ高等学校・Ｓ高等学校　ＪＲ宇都宮キャンパス（通信制）,https://school.js88.com/scl_h/34056269/,320-0811,栃木県 宇都宮市大通り2-1-5明治安田生命宇都宮大通りビル1階,
栃木県,黒磯南高等学校,https://school.js88.com/scl_h/22001850/,325-0026,栃木県 那須塩原市上厚崎747-2,https://www.tochigi-edu.ed.jp/kuroisominami/nc3/
栃木県,日光明峰高等学校,https://school.js88.com/scl_h/22001460/,321-1436,栃木県 日光市久次良町104,http://www.tochigi-edu.ed.jp/nikkomeiho/nc3/
栃木県,宇都宮東高等学校,https://school.js88.com/scl_h/22001330/,321-0912,栃木県 宇都宮市石井町3360-1,http://www.tochigi-edu.ed.jp/utsunomiyahigashi/nc2/
栃木県,栃木農業高等学校,https://school.js88.com/scl_h/22001540/,328-0054,栃木県 栃木市平井町911,https://www.tochigi-edu.ed.jp/tochiginogyo/nc3/
栃木県,宇都宮南高等学校,https://school.js88.com/scl_h/22001340/,321-0123,栃木県 宇都宮市東谷町660-1,http://www.tochigi-edu.ed.jp/utsunomiyaminami/nc3/
栃木県,小山高等学校,https://school.js88.com/scl_h/22001490/,323-0028,栃木県 小山市若木町2-8-51,http://www.tochigi-edu.ed.jp/oyama/nc3/
