都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
沖縄県,Ｎ高等学校（通信制）,https://school.js88.com/scl_h/34031249/,904-2421,沖縄県 うるま市与那城伊計224,
沖縄県,飛鳥未来きずな高等学校　沖縄キャンパス（通信制）,https://school.js88.com/scl_h/34029934/,900-0012,沖縄県 那覇市泊1-18-6,
沖縄県,仙台育英学園高等学校　ＩＬＣ沖縄（通信制）,https://school.js88.com/scl_h/34029586/,904-0031,沖縄県 沖縄市上地1-1-1コザミュージックタウン1F,http://sendaiikuei-tsushin.jp/t_o_top.html
沖縄県,Ｎ高等学校・Ｓ高等学校　那覇キャンパス（通信制）,https://school.js88.com/scl_h/34056357/,900-0012,沖縄県 那覇市泊2-15-9住太郎那覇ビル9階,
沖縄県,沖縄カトリック高等学校,https://school.js88.com/scl_h/34028395/,901-2215,沖縄県 宜野湾市真栄原3-16-1,https://ocjs.catholic-okinawa.ed.jp/
沖縄県,仙台育英学園沖縄高等学校,https://school.js88.com/scl_h/34052151/,904-0021,沖縄県 沖縄市胡屋2丁目6番17号,https://www.sendaiikuei.ed.jp/okinawa/
沖縄県,宜野座高等学校,https://school.js88.com/scl_h/22020810/,904-1302,沖縄県 国頭郡宜野座村宜野座1,http://www.ginoza-h.open.ed.jp/
沖縄県,中部商業高等学校,https://school.js88.com/scl_h/22020900/,901-2214,沖縄県 宜野湾市我如古2-2-1,http://www.chubu-ch.open.ed.jp/
沖縄県,知念高等学校,https://school.js88.com/scl_h/22020690/,901-1303,沖縄県 島尻郡与那原町与那原11,http://www.chinen-h.open.ed.jp/
沖縄県,八重山高等学校,https://school.js88.com/scl_h/22020880/,907-0004,沖縄県 石垣市登野城275,http://www.yaeyama-h.open.ed.jp/
沖縄県,那覇高等学校,https://school.js88.com/scl_h/22020700/,900-0014,沖縄県 那覇市松尾1-21-44,http://www.naha-h.open.ed.jp/
沖縄県,本部高等学校,https://school.js88.com/scl_h/22020830/,905-0214,沖縄県 国頭郡本部町渡久地377,http://www.motobu-h.open.ed.jp/
沖縄県,コザ高等学校,https://school.js88.com/scl_h/22020770/,904-0011,沖縄県 沖縄市照屋5-5-1,http://www.koza-h.open.ed.jp/
沖縄県,豊見城高等学校,https://school.js88.com/scl_h/22020750/,901-0201,沖縄県 豊見城市真玉橋217,http://www.tomishiro-h.open.ed.jp/
沖縄県,読谷高等学校,https://school.js88.com/scl_h/22020780/,904-0303,沖縄県 中頭郡読谷村伊良皆198,http://www.yomitan-h.open.ed.jp/
沖縄県,前原高等学校,https://school.js88.com/scl_h/22020790/,904-2213,沖縄県 うるま市田場1827,http://www.maehara-h.open.ed.jp/
沖縄県,首里高等学校,https://school.js88.com/scl_h/22020710/,903-0816,沖縄県 那覇市首里真和志町2-43,http://www.shuri-h.open.ed.jp/
沖縄県,糸満高等学校,https://school.js88.com/scl_h/22020680/,901-0361,沖縄県 糸満市字糸満1696-1,http://www.itoman-h.open.ed.jp/
沖縄県,沖縄工業高等学校,https://school.js88.com/scl_h/22020910/,902-0062,沖縄県 那覇市松川3丁目20番地1号,http://www.okinawa-th.open.ed.jp/
沖縄県,真和志高等学校,https://school.js88.com/scl_h/22020740/,902-0072,沖縄県 那覇市真地248,http://www.mawashi-h.open.ed.jp/
沖縄県,宮古高等学校,https://school.js88.com/scl_h/22020870/,906-0012,沖縄県 宮古島市平良西里718-1,http://www.miyako-h.open.ed.jp/
沖縄県,小禄高等学校,https://school.js88.com/scl_h/22020720/,901-0151,沖縄県 那覇市鏡原町22-1,http://www.oroku-h.open.ed.jp/
沖縄県,久米島高等学校,https://school.js88.com/scl_h/22020860/,901-3121,沖縄県 島尻郡久米島町嘉手苅727,http://www.kumejima-h.open.ed.jp/
沖縄県,名護高等学校,https://school.js88.com/scl_h/22020820/,905-0018,沖縄県 名護市大西5-17-1,https://www.nago-h.open.ed.jp/
沖縄県,普天間高等学校,https://school.js88.com/scl_h/22020760/,901-2202,沖縄県 宜野湾市普天間1-24-1,http://www.futenma-h.open.ed.jp/
沖縄県,辺土名高等学校,https://school.js88.com/scl_h/22020850/,905-1304,沖縄県 国頭郡大宜味村饒波2015,http://www.hentona-h.open.ed.jp/
沖縄県,石川高等学校,https://school.js88.com/scl_h/22020800/,904-1115,沖縄県 うるま市石川伊波861,http://www.ishikawa-h.open.ed.jp/
沖縄県,北山高等学校,https://school.js88.com/scl_h/22020840/,905-0424,沖縄県 国頭郡今帰仁村仲尾次540-1,http://www.hokuzan-h.open.ed.jp/
沖縄県,那覇商業高等学校,https://school.js88.com/scl_h/22020890/,900-0032,沖縄県 那覇市松山1-16-1,http://www.naha-ch.open.ed.jp/
沖縄県,浦添高等学校,https://school.js88.com/scl_h/22020730/,901-2121,沖縄県 浦添市内間3-26-1,http://www.urasoe-h.open.ed.jp/
沖縄県,首里東高等学校,https://school.js88.com/scl_h/22021210/,903-0804,沖縄県 那覇市首里石嶺町3-178,http://www.shurihigashi-h.open.ed.jp/
沖縄県,南部商業高等学校,https://school.js88.com/scl_h/22021060/,901-0411,沖縄県 島尻郡八重瀬町友寄850,http://www.nanbu-ch.open.ed.jp/
沖縄県,宜野湾高等学校,https://school.js88.com/scl_h/22021150/,901-2224,沖縄県 宜野湾市真志喜2-25-1,https://www.ginowan-h.open.ed.jp/
沖縄県,浦添工業高等学校,https://school.js88.com/scl_h/22021200/,901-2111,沖縄県 浦添市経塚1丁目1番地1号,http://www.urasoe-th.open.ed.jp/
沖縄県,名護商工高等学校,https://school.js88.com/scl_h/22020930/,905-0019,沖縄県 名護市大北4-1-23,http://www.nago-th.open.ed.jp/
沖縄県,陽明高等学校,https://school.js88.com/scl_h/22021130/,901-2113,沖縄県 浦添市大平488,http://www.yomei-h.open.ed.jp/
沖縄県,那覇工業高等学校,https://school.js88.com/scl_h/22020940/,901-2122,沖縄県 浦添市勢理客４丁目２２番１号,http://www.naha-th.open.ed.jp/
沖縄県,北中城高等学校,https://school.js88.com/scl_h/22021190/,901-2302,沖縄県 中頭郡北中城村渡口1997-13,http://www.kitanaka-h.open.ed.jp/
沖縄県,西原高等学校,https://school.js88.com/scl_h/22021080/,903-0117,沖縄県 中頭郡西原町字翁長610,http://www.nishihara-h.open.ed.jp/
沖縄県,北部農林高等学校,https://school.js88.com/scl_h/22021020/,905-0006,沖縄県 名護市宇茂佐13,http://www.hokubu-ah.open.ed.jp/
沖縄県,開邦高等学校,https://school.js88.com/scl_h/22021230/,901-1105,沖縄県 島尻郡南風原町新川646,http://www.kaiho-h.open.ed.jp/
沖縄県,南部農林高等学校,https://school.js88.com/scl_h/22021000/,901-0203,沖縄県 豊見城市長堂182,http://www.nanbu-ah.open.ed.jp/
沖縄県,宮古総合実業高等学校,https://school.js88.com/scl_h/22021030/,906-0013,沖縄県 宮古島市平良下里280,http://www.miyasou-h.open.ed.jp/
沖縄県,八重山農林高等学校,https://school.js88.com/scl_h/22021040/,907-0022,沖縄県 石垣市大川477-1,http://www.yaeyama-ah.open.ed.jp/
沖縄県,南部工業高等学校,https://school.js88.com/scl_h/22020950/,901-0402,沖縄県 島尻郡八重瀬町富盛1338,http://www.nanbu-th.open.ed.jp/
沖縄県,美来工科高等学校,https://school.js88.com/scl_h/22020920/,904-0001,沖縄県 沖縄市越来3-17-1,http://www.mirai-th.open.ed.jp
沖縄県,豊見城南高等学校,https://school.js88.com/scl_h/22021160/,901-0223,沖縄県 豊見城市翁長520,http://www.tominan-h.open.ed.jp/
沖縄県,具志川高等学校,https://school.js88.com/scl_h/22021180/,904-2236,沖縄県 うるま市喜仲3-28-1,http://www.gushikawa-h.open.ed.jp/
沖縄県,沖縄水産高等学校,https://school.js88.com/scl_h/22020980/,901-0305,沖縄県 糸満市西崎一丁目１番１号,http://www.okisui-h.open.ed.jp/
沖縄県,美里高等学校,https://school.js88.com/scl_h/22021120/,904-2151,沖縄県 沖縄市松本2-5-1,http://www.misato-h.open.ed.jp/
沖縄県,美里工業高等学校,https://school.js88.com/scl_h/22020960/,904-2172,沖縄県 沖縄市泡瀬5-42-2,http://www.misato-th.open.ed.jp/
沖縄県,具志川商業高等学校,https://school.js88.com/scl_h/22021110/,904-2215,沖縄県 うるま市みどり町6-10-1,http://www.gushikawa-ch.open.ed.jp/
沖縄県,浦添商業高等学校,https://school.js88.com/scl_h/22021070/,901-2132,沖縄県 浦添市伊祖3-11-1,http://www.urasoe-ch.open.ed.jp/
沖縄県,中部農林高等学校,https://school.js88.com/scl_h/22021010/,904-2213,沖縄県 うるま市田場1570,http://www.chubu-ah.open.ed.jp/
