都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
滋賀県,近江兄弟社高等学校,https://school.js88.com/scl_h/22012930/,523-0851,滋賀県 近江八幡市市井町177,https://www.vories.ac.jp/omibh-shs
滋賀県,比叡山高等学校,https://school.js88.com/scl_h/22012910/,520-0113,滋賀県 大津市坂本4-3-1,https://www.hieizan.ed.jp/
滋賀県,滋賀短期大学附属高等学校,https://school.js88.com/scl_h/22012900/,520-0052,滋賀県 大津市朝日が丘1-18-1,https://www.sumire.ac.jp/highschool/
滋賀県,Ｎ高等学校・Ｓ高等学校　滋賀草津キャンパス（通信制）,https://school.js88.com/scl_h/34056324/,520-3024,滋賀県 栗東市小柿7丁目9-11滋賀中央ビル3F,
滋賀県,幸福の科学学園関西高等学校,https://school.js88.com/scl_h/34031230/,520-0248,滋賀県 大津市仰木の里東2-16-1,https://kansai.happy-science.ac.jp/
滋賀県,八幡工業高等学校,https://school.js88.com/scl_h/22012590/,523-0816,滋賀県 近江八幡市西庄町5,http://www.hachikou-h.shiga-ec.ed.jp/
滋賀県,水口東高等学校,https://school.js88.com/scl_h/22012680/,528-0073,滋賀県 甲賀市水口町古城が丘7-1,http://www.e-minakuchi-h.shiga-ec.ed.jp/
滋賀県,彦根翔西館高等学校,https://school.js88.com/scl_h/22012450/,522-0033,滋賀県 彦根市芹川町580,http://www.shoseikan-h.shiga-ec.ed.jp/
滋賀県,野洲高等学校,https://school.js88.com/scl_h/22012660/,520-2341,滋賀県 野洲市行畑2-9-1,http://www.yasu-h.shiga-ec.ed.jp
滋賀県,長浜農業高等学校,https://school.js88.com/scl_h/22012480/,526-0824,滋賀県 長浜市名越町600,http://www.naganou-h.shiga-ec.ed.jp/
滋賀県,八日市高等学校,https://school.js88.com/scl_h/22012610/,527-0022,滋賀県 東近江市八日市上之町1-25,http://www.youkaichi-h.shiga-ec.ed.jp/
滋賀県,瀬田工業高等学校,https://school.js88.com/scl_h/22012550/,520-2132,滋賀県 大津市神領3-18-1,http://www.setatech-h.shiga-ec.ed.jp/
滋賀県,大津高等学校,https://school.js88.com/scl_h/22012530/,520-0802,滋賀県 大津市馬場1-1-1,http://www.ohtsu-h.shiga-ec.ed.jp/
滋賀県,大津商業高等学校,https://school.js88.com/scl_h/22012560/,520-0037,滋賀県 大津市御陵町2-1,http://www.daisho-h.shiga-ec.ed.jp/
滋賀県,彦根東高等学校,https://school.js88.com/scl_h/22012570/,522-0061,滋賀県 彦根市金亀町4-7,http://www.hikonehg-h.shiga-ec.ed.jp/
滋賀県,長浜北星高等学校,https://school.js88.com/scl_h/22012490/,526-0036,滋賀県 長浜市地福寺町3-72,http://www.hokusei-h.shiga-ec.ed.jp/
滋賀県,彦根工業高等学校,https://school.js88.com/scl_h/22012440/,522-0222,滋賀県 彦根市南川瀬町1310,http://www.genkou-h.shiga-ec.ed.jp/
