都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
熊本県,専修大学熊本玉名高等学校,https://school.js88.com/scl_h/22048570/,869-0293,熊本県 玉名市岱明町野口1046,http://www.senshu.ac.jp/
熊本県,玉名高等学校,https://school.js88.com/scl_h/22047880/,865-0064,熊本県 玉名市中1853,https://sh.higo.ed.jp/tamana/
熊本県,天草拓心高等学校（マリン校舎）,https://school.js88.com/scl_h/22048310/,863-2507,熊本県 天草郡苓北町富岡3757番地,https://sh.higo.ed.jp/amakusatakushin/
熊本県,玉名女子高等学校,https://school.js88.com/scl_h/22048460/,865-0016,熊本県 玉名市岩崎1061,https://www.tamanajoshi-h.ed.jp/
熊本県,慶誠高等学校,https://school.js88.com/scl_h/22048450/,862-0971,熊本県 熊本市中央区大江4-9-58,https://www.keisei-h.ed.jp/
熊本県,Ｎ高等学校・Ｓ高等学校　熊本キャンパス（通信制）,https://school.js88.com/scl_h/34056354/,860-0806,熊本県 熊本市中央区花畑町10-34熊本花畑ビル4F,
熊本県,八代農業高等学校　泉分校,https://school.js88.com/scl_h/22022340/,869-4401,熊本県 八代市泉町柿迫3636,https://sh.higo.ed.jp/yatuizu/
熊本県,尚絅高等学校,https://school.js88.com/scl_h/22048380/,862-8678,熊本県 熊本市中央区九品寺2-6-78,https://www.shokei-gakuen.ac.jp/jh-hs/
熊本県,八代白百合学園高等学校,https://school.js88.com/scl_h/22048430/,866-0825,熊本県 八代市井上町727-1,https://www.yatsushiro-shirayuri.ed.jp/
熊本県,飛鳥未来きずな高等学校　熊本キャンパス（通信制）,https://school.js88.com/scl_h/34041737/,860-0845,熊本県 熊本市中央区上通町1-1NK第1ビル2階,
熊本県,八代農業高等学校,https://school.js88.com/scl_h/22021530/,869-4201,熊本県 八代市鏡町鏡村129,http://sh.higo.ed.jp/yatsuno/
熊本県,菊池農業高等学校,https://school.js88.com/scl_h/22047960/,861-1201,熊本県 菊池市泗水町吉富250,http://www.higo.ed.jp/sh/kikuno/
熊本県,人吉高等学校・五木分校,https://school.js88.com/scl_h/22022330/,868-0201,熊本県 球磨郡五木村甲2672-61,https://sh.higo.ed.jp/itsukish/
熊本県,玉名工業高等学校,https://school.js88.com/scl_h/22047900/,869-0295,熊本県 玉名市岱明町下前原368,https://sh.higo.ed.jp/tamanath/
熊本県,熊本工業高等学校,https://school.js88.com/scl_h/22047840/,862-0953,熊本県 熊本市中央区上京塚町5-1,https://sh.higo.ed.jp/kumakoths/
熊本県,第二高等学校,https://school.js88.com/scl_h/22047820/,862-0901,熊本県 熊本市東区東町3-13-1,https://kumamoto-d2hs.ed.jp/
熊本県,熊本商業高等学校,https://school.js88.com/scl_h/22047850/,862-0954,熊本県 熊本市中央区神水1-1-2,https://sh.higo.ed.jp/kumamoto-ch/
熊本県,熊本農業高等学校,https://school.js88.com/scl_h/22047860/,861-4105,熊本県 熊本市南区元三町5-1-1,http://sh.higo.ed.jp/kumanou/
熊本県,人吉高等学校,https://school.js88.com/scl_h/22021520/,868-8511,熊本県 人吉市北泉田町350,https://sh.higo.ed.jp/hitoyoshi-z/
熊本県,第一高等学校,https://school.js88.com/scl_h/22047810/,860-0003,熊本県 熊本市中央区古城町3-1,https://sh.higo.ed.jp/dai1sh/
熊本県,菊池高等学校,https://school.js88.com/scl_h/22047950/,861-1331,熊本県 菊池市隈府1332-1,https://sh.higo.ed.jp/kikuchih/
熊本県,済々黌高等学校,https://school.js88.com/scl_h/22047790/,860-0862,熊本県 熊本市中央区黒髪2-22-1,https://seiseiko-hs.ed.jp/
熊本県,鹿本農業高等学校,https://school.js88.com/scl_h/22047940/,861-0331,熊本県 山鹿市鹿本町来民2055,https://sh.higo.ed.jp/kamotono/
熊本県,北稜高等学校,https://school.js88.com/scl_h/22047890/,865-0061,熊本県 玉名市立願寺247,https://sh.higo.ed.jp/hokuryo/
熊本県,熊本西高等学校,https://school.js88.com/scl_h/22047830/,860-0067,熊本県 熊本市城山大塘5丁目5-15,https://sh.higo.ed.jp/kumanishi/
熊本県,鹿本商工高等学校,https://school.js88.com/scl_h/22047930/,861-0304,熊本県 山鹿市鹿本町御宇田312番地,https://sh.higo.ed.jp/kasyoko/
熊本県,岱志高等学校,https://school.js88.com/scl_h/22047870/,864-0041,熊本県 荒尾市荒尾2620-1,https://sh.higo.ed.jp/taishi/
熊本県,鹿本高等学校,https://school.js88.com/scl_h/22047920/,861-0532,熊本県 山鹿市鹿校通3-5-1,http://sh.higo.ed.jp/kamoto/
熊本県,大津高等学校,https://school.js88.com/scl_h/22047970/,869-1233,熊本県 菊池郡大津町大津1340,https://sh.higo.ed.jp/oozu/
熊本県,熊本高等学校,https://school.js88.com/scl_h/22047800/,862-0972,熊本県 熊本市中央区新大江1-8,https://sh.higo.ed.jp/kumamoto/
熊本県,熊本信愛女学院高等学校,https://school.js88.com/scl_h/22048390/,860-8557,熊本県 熊本市中央区上林町3-18,http://www.kumamoto-shin-ai.ed.jp/
熊本県,水俣高等学校,https://school.js88.com/scl_h/22048160/,867-0063,熊本県 水俣市洗切町11-1,https://sh.higo.ed.jp/mina/
熊本県,熊本市立必由館高等学校,https://school.js88.com/scl_h/22048320/,860-0863,熊本県 熊本市中央区坪井4-15-1,https://sites.google.com/su.kumamoto-kmm.ed.jp/hitsuyukan2021/
熊本県,東稜高等学校,https://school.js88.com/scl_h/22048360/,862-0933,熊本県 熊本市東区小峯4-5-10,https://sh.higo.ed.jp/touryo/
熊本県,小国高等学校,https://school.js88.com/scl_h/22048010/,869-2593,熊本県 阿蘇郡小国町宮原1887-1,http://www.higo.ed.jp/sh/ogunish/
熊本県,天草拓心高等学校（本渡校舎）,https://school.js88.com/scl_h/22048280/,863-0002,熊本県 天草市本渡町本戸馬場495,https://sh.higo.ed.jp/amakusatakushin/
熊本県,高森高等学校,https://school.js88.com/scl_h/22048020/,869-1602,熊本県 阿蘇郡高森町高森1557,http://sh.higo.ed.jp/takamorish/
熊本県,熊本北高等学校,https://school.js88.com/scl_h/22048350/,861-8082,熊本県 熊本市北区兎谷3-5-1,https://kumamoto-kitako.ed.jp/
熊本県,球磨工業高等学校,https://school.js88.com/scl_h/22048190/,868-8515,熊本県 人吉市城本町800,https://sh.higo.ed.jp/kuma-ths/
熊本県,八代高等学校,https://school.js88.com/scl_h/22048100/,866-0885,熊本県 八代市永碇町856,https://yatsushirohighschool.com/
熊本県,開新高等学校,https://school.js88.com/scl_h/22048410/,862-8677,熊本県 熊本市中央区大江6-1-33,https://www.kaishin.ed.jp/
熊本県,松橋高等学校,https://school.js88.com/scl_h/22048080/,869-0532,熊本県 宇城市松橋町久具300,http://sh.higo.ed.jp/matsubasesh/
熊本県,八代東高等学校,https://school.js88.com/scl_h/22048110/,866-0866,熊本県 八代市鷹辻町4番2号,https://sh.higo.ed.jp/yatsue/
熊本県,八代工業高等学校,https://school.js88.com/scl_h/22048130/,866-0082,熊本県 八代市大福寺町473,https://sh.higo.ed.jp/yatuths/
熊本県,御船高等学校,https://school.js88.com/scl_h/22048040/,861-3204,熊本県 上益城郡御船町木倉1253,https://sh.higo.ed.jp/mifunesh/
熊本県,翔陽高等学校,https://school.js88.com/scl_h/22047980/,869-1235,熊本県 菊池郡大津町室1782,https://sh.higo.ed.jp/shoyo/
熊本県,熊本市立千原台高等学校,https://school.js88.com/scl_h/22048330/,860-0073,熊本県 熊本市西区島崎2-37-1,https://www.kumamoto-kmm.ed.jp/school/h/chiharadai/index.htm
熊本県,八代清流高等学校,https://school.js88.com/scl_h/22048340/,866-0061,熊本県 八代市渡町松上1576,https://sites.google.com/g.bears.ed.jp/yatsusei
熊本県,宇土高等学校,https://school.js88.com/scl_h/22048070/,869-0454,熊本県 宇土市古城町63,https://uto-sh.com/
熊本県,熊本県立天草高等学校倉岳校,https://school.js88.com/scl_h/22048260/,861-6402,熊本県 天草市倉岳町棚底2680-2,https://sh.higo.ed.jp/kuratakesh/
熊本県,甲佐高等学校,https://school.js88.com/scl_h/22048050/,861-4606,熊本県 上益城郡甲佐町横田327,https://sh.higo.ed.jp/kousa/
熊本県,牛深高等学校,https://school.js88.com/scl_h/22048240/,863-1902,熊本県 天草市久玉町1216-5,http://sh.higo.ed.jp/ushikou/
