都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
神奈川県,陸上自衛隊高等工科学校,https://school.js88.com/scl_h/34052018/,238-0317,神奈川県 横須賀市御幸浜２丁目１番地,https://www.mod.go.jp/gsdf/yt_sch/
神奈川県,日本女子大学附属高等学校,https://school.js88.com/scl_h/22042480/,214-8565,神奈川県 川崎市多摩区西生田1-1-1,https://www.jwu.ac.jp/hsc/
神奈川県,厚木中央高等学校,https://school.js88.com/scl_h/34025180/,243-0032,神奈川県 厚木市恩名1-17-18,https://www.suzukigakuen.ac.jp/chuo/
神奈川県,飛鳥未来きずな高等学校　小田原キャンパス（通信制）,https://school.js88.com/scl_h/34029929/,250-0045,神奈川県 小田原市城山4-5-1小田原短期大学内 南館2階,
神奈川県,川崎市立川崎高等学校,https://school.js88.com/scl_h/22041320/,210-0806,神奈川県 川崎市川崎区中島3-3-1,https://www.kaw-s.ed.jp/kawasaki-hs/
神奈川県,横浜隼人高等学校,https://school.js88.com/scl_h/22042780/,246-0026,神奈川県 横浜市瀬谷区阿久和南1-3-1,http://www.hayato.ed.jp/
神奈川県,関東学院高等学校,https://school.js88.com/scl_h/22042140/,232-0002,神奈川県 横浜市南区三春台4,https://www.kantogakuin.ed.jp/
神奈川県,北海道芸術高等学校　横浜キャンパス（通信制）,https://school.js88.com/scl_h/34029520/,222-0032,神奈川県 横浜市港北区大豆戸町608番地3,https://www.kyokei.ac.jp/
神奈川県,藤嶺学園藤沢高等学校,https://school.js88.com/scl_h/22042610/,251-0001,神奈川県 藤沢市西富1-7-1,http://www.tohrei-fujisawa.ed.jp/
神奈川県,横浜創学館高等学校,https://school.js88.com/scl_h/22042360/,236-0037,神奈川県 横浜市金沢区六浦東1-43-1,https://so-gakukan.ed.jp
神奈川県,飛鳥未来きぼう高等学校　横浜みなとみらいキャンパス（通信制）,https://school.js88.com/scl_h/34056032/,231-0021,神奈川県 横浜市中区日本大通7合人社横浜日本大通7 1階,
