都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
福井県,啓新高等学校,https://school.js88.com/scl_h/22025490/,910-0017,福井県 福井市文京4-15-1,https://www.keishin.ed.jp/
福井県,北陸高等学校,https://school.js88.com/scl_h/22025460/,910-0017,福井県 福井市文京1-8-1,https://www.hokuriku.ed.jp
福井県,鯖江高等学校,https://school.js88.com/scl_h/22025320/,916-8510,福井県 鯖江市舟津町2-5-42,https://www.sabae-h.ed.jp/
福井県,金津高等学校,https://school.js88.com/scl_h/22025440/,919-0621,福井県 あわら市市姫4-5-1,http://www.kanazu-h.ed.jp/
福井県,福井工業大学附属福井高等学校,https://school.js88.com/scl_h/22025480/,910-8505,福井県 福井市学園3-6-1,https://www.fukui-ut-fukui-h.ed.jp/
福井県,藤島高等学校,https://school.js88.com/scl_h/22025180/,910-0017,福井県 福井市文京2-8-30,https://www.fujishima-h.ed.jp/
福井県,若狭東高等学校,https://school.js88.com/scl_h/22025410/,917-0293,福井県 小浜市金屋48-2,http://www.wakasahigashi-h.ed.jp/
福井県,高志高等学校,https://school.js88.com/scl_h/22025190/,910-0854,福井県 福井市御幸2-25-8,https://www.koshi-h.ed.jp/
福井県,仁愛女子高等学校,https://school.js88.com/scl_h/22025470/,910-0004,福井県 福井市宝永4-9-24,https://www.jin-ai-h.ed.jp
福井県,武生商工高等学校,https://school.js88.com/scl_h/22025350/,915-0841,福井県 越前市文京1-14-16工業キャンパス,https://www.takefu-sk.ed.jp/
福井県,坂井高等学校,https://school.js88.com/scl_h/22025260/,919-0512,福井県 坂井市坂井町宮領57-5,https://www.sakai-h.ed.jp/
福井県,敦賀気比高等学校,https://school.js88.com/scl_h/22025510/,914-8558,福井県 敦賀市沓見164-1,https://tsurugakehi.ed.jp/
福井県,科学技術高等学校,https://school.js88.com/scl_h/22025240/,918-8037,福井県 福井市下江守町28,http://www2.kagakugijutsu-h.ed.jp/index.html
福井県,大野高等学校,https://school.js88.com/scl_h/22025280/,912-0085,福井県 大野市新庄10-28,http://www.daiko.ed.jp/
福井県,奥越明成高等学校,https://school.js88.com/scl_h/22025290/,912-0016,福井県 大野市友江9-10,http://www.okuetsumeisei-h.ed.jp/
福井県,羽水高等学校,https://school.js88.com/scl_h/22025200/,918-8114,福井県 福井市羽水1-302,http://www.usui-h.ed.jp/
福井県,武生高等学校,https://school.js88.com/scl_h/22021970/,915-0085,福井県 越前市八幡1-25-15,https://www.takefu-h.ed.jp/
福井県,武生東高等学校,https://school.js88.com/scl_h/22025450/,915-0004,福井県 越前市北町89-10,http://www.takefuhigashi-h.ed.jp/
福井県,福井農林高等学校,https://school.js88.com/scl_h/22025230/,910-0832,福井県 福井市新保町49-1,https://www.fukuinorin-h.ed.jp/
福井県,若狭高等学校,https://school.js88.com/scl_h/22025390/,917-8507,福井県 小浜市千種1-6-13,http://www.wakasa-h.ed.jp/
福井県,足羽高等学校,https://school.js88.com/scl_h/22025210/,918-8155,福井県 福井市杉谷町44,http://www.asuwa-h.ed.jp/
福井県,美方高等学校,https://school.js88.com/scl_h/22025380/,919-1395,福井県 三方上中郡若狭町気山114-1-1,https://www.mikata-h.ed.jp/
福井県,丹生高等学校,https://school.js88.com/scl_h/22025330/,916-0147,福井県 丹生郡越前町内郡41-18-1,http://www.nyu-h.ed.jp/
福井県,三国高等学校,https://school.js88.com/scl_h/22025250/,913-8555,福井県 坂井市三国町緑ケ丘2-1-3,http://www.mikuni-h.ed.jp/
福井県,敦賀工業高等学校,https://school.js88.com/scl_h/22025370/,914-0035,福井県 敦賀市山泉13-1,http://www.tsuruga-th.ed.jp/
福井県,勝山高等学校,https://school.js88.com/scl_h/22025300/,911-8540,福井県 勝山市昭和町2-3-1,http://www.fki-katsuyama-h.ed.jp/
福井県,敦賀国際令和高等学校,https://school.js88.com/scl_h/22025500/,914-0135,福井県 敦賀市長谷65-98,https://www.hsp.ac.jp/
福井県,敦賀高等学校,https://school.js88.com/scl_h/22025360/,914-0807,福井県 敦賀市松葉町2-1,http://www.tonkou.ed.jp/
福井県,丸岡高等学校,https://school.js88.com/scl_h/22025420/,910-0293,福井県 坂井市丸岡町篠岡23-11-1,http://maruoka-h.sakura.ne.jp/
福井県,鯖江高等学校（定時制）,https://school.js88.com/scl_h/22103520/,916-8510,福井県 鯖江市舟津町2-5-42,http://www.sabae-h.ed.jp/
福井県,丸岡高等学校（定時制）,https://school.js88.com/scl_h/22103530/,910-0313,福井県 坂井市丸岡町内田13-6,http://www.maruoka-h-b.ed.jp/
福井県,ＡＯＩＫＥ高等学校　本校（通信制）,https://school.js88.com/scl_h/34055770/,917-0084,福井県 小浜市小浜広峰108,https://aoike-highschool.jp/
福井県,若狭高等学校（定時制）,https://school.js88.com/scl_h/22108290/,917-8507,福井県 小浜市千種1-6-13,http://www.wakasa-h.ed.jp/
福井県,大野高等学校（定時制）,https://school.js88.com/scl_h/22103500/,912-0085,福井県 大野市新庄10-28,http://www.daiko.ed.jp/parttime/post.html
福井県,道守高等学校（定時制）,https://school.js88.com/scl_h/22108320/,918-8575,福井県 福井市若杉町35-21,http://www.michimori-h.ed.jp/
福井県,敦賀高等学校（定時制）,https://school.js88.com/scl_h/22108300/,914-0807,福井県 敦賀市松葉町2-1,http://www.tonkou.ed.jp/_new/teijiseihp/
福井県,道守高等学校（通信制）,https://school.js88.com/scl_h/24000651/,918-8575,福井県 福井市若杉町35-21,http://www.michimori-h.ed.jp/
