都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
福岡県,Ｎ高等学校・Ｓ高等学校　久留米キャンパス（通信制）,https://school.js88.com/scl_h/34056347/,830-0033,福岡県 久留米市天神町1-8千歳プラザ（リベール）6階,
福岡県,博多女子高等学校,https://school.js88.com/scl_h/22046260/,812-0054,福岡県 福岡市東区馬出1-14-18,https://www.ghakata.ac.jp/sh/
福岡県,福岡芸術高等学校（通信制）,https://school.js88.com/scl_h/34029444/,812-0036,福岡県 福岡市博多区上呉服町1-16,https://fukugei.kyokei.ac.jp/
福岡県,飛鳥未来きぼう高等学校　小倉キャンパス（通信制）,https://school.js88.com/scl_h/34056223/,802-0003,福岡県 北九州市小倉北区米町二丁目1番2号小倉第一生命ビルディング1階・2階,
福岡県,嘉穂東高等学校,https://school.js88.com/scl_h/22045580/,820-0003,福岡県 飯塚市立岩1730-5,https://kahohigashi.fku.ed.jp/
福岡県,希望が丘高等学校,https://school.js88.com/scl_h/22046490/,809-0033,福岡県 中間市土手ノ内3-19-1,http://www.kibou.ed.jp/
福岡県,敬愛高等学校,https://school.js88.com/scl_h/22045980/,800-0035,福岡県 北九州市門司区別院6-1,https://www.keiai.net/high/
福岡県,飛鳥未来きぼう高等学校　福岡博多キャンパス（通信制）,https://school.js88.com/scl_h/34056037/,812-0013,福岡県 福岡市博多区博多駅東1-16-22,
福岡県,東福岡高等学校,https://school.js88.com/scl_h/22046280/,812-0007,福岡県 福岡市博多区東比恵2-24-1,https://www.higashifukuoka.ed.jp/
福岡県,純真高等学校,https://school.js88.com/scl_h/22046160/,815-8510,福岡県 福岡市南区筑紫丘1-1-1,https://junshin-hs.ed.jp/
福岡県,Ｎ高等学校・Ｓ高等学校　博多駅南キャンパス（通信制）,https://school.js88.com/scl_h/34056349/,812-0016,福岡県 福岡市博多区博多駅南2-14-8博多駅サウスビル3階,
福岡県,大和青藍高等学校,https://school.js88.com/scl_h/22046120/,822-0025,福岡県 直方市日吉町10-12,http://yamato-gakuen.ac.jp/
福岡県,筑陽学園高等学校,https://school.js88.com/scl_h/22046220/,818-0103,福岡県 太宰府市朱雀5-6-1,http://www.chikuyogakuen.ed.jp/high/
福岡県,中村学園女子高等学校,https://school.js88.com/scl_h/22046230/,814-0103,福岡県 福岡市城南区鳥飼7-10-38,https://www.nakamura-njh.ed.jp
福岡県,美萩野女子高等学校,https://school.js88.com/scl_h/22046020/,802-0062,福岡県 北九州市小倉北区片野新町1-3-1,https://mihagino.ac.jp/
