都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
福島県,東日本国際大学附属昌平高等学校　福島学習センター（通信制）,https://school.js88.com/scl_h/34041235/,960-8032,福島県 福島市陣場町1-27阿部ビル4F,https://shohei.school
福島県,桜の聖母学院高等学校,https://school.js88.com/scl_h/22031780/,960-8055,福島県 福島市野田町7-11-1,https://www.ssg.ac.jp/ckfiles/
福島県,仁愛高等学校,https://school.js88.com/scl_h/34028620/,965-0011,福島県 会津若松市鶴賀町1-5,http://www.jinai.ac.jp
福島県,東日本国際大学附属昌平高等学校　会津学習支援センター　会津若松校（通信制）,https://school.js88.com/scl_h/34041223/,965-0853,福島県 会津若松市材木町1-8-15,https://shohei.school
福島県,磐城緑蔭高等学校,https://school.js88.com/scl_h/22031900/,970-8025,福島県 いわき市平南白土字勝負田11,https://www.ryokuin.ed.jp
福島県,東日本国際大学附属昌平高等学校　白河学習センター（通信制）,https://school.js88.com/scl_h/34041222/,961-0074,福島県 福島市郭内58-10第2瀬谷ビル2・3階,https://shohei.school
福島県,郡山女子大学附属高等学校,https://school.js88.com/scl_h/22031810/,963-8503,福島県 郡山市開成3-25-2,https://fuzoku.koriyama-kgc.ac.jp/
福島県,Ｎ高等学校・Ｓ高等学校　福島郡山キャンパス（通信制）,https://school.js88.com/scl_h/34056265/,963-8002,福島県 郡山市駅前2-3-7エリート30 4階,
福島県,学校法人松韻学園福島高等学校,https://school.js88.com/scl_h/22031760/,960-8012,福島県 福島市御山町9-1,http://www.gakufuku-h.ed.jp/
福島県,東日本国際大学附属昌平高等学校　いわき学習センター（通信制）,https://school.js88.com/scl_h/34029433/,970-8023,福島県 いわき市平鎌田字寿金沢22-1,https://shohei.school
福島県,東日本国際大学附属昌平高等学校　原町学習センター（通信制）,https://school.js88.com/scl_h/34041221/,975-0004,福島県 南相馬市原町区旭町1-8,https://shohei.school
福島県,会津北嶺高等学校,https://school.js88.com/scl_h/22031860/,965-0031,福島県 会津若松市相生町3-2,http://www.wakaichi-h.jp/
福島県,学校法人石川高等学校,https://school.js88.com/scl_h/22031850/,963-7853,福島県 石川郡石川町大室502,http://ishikawa-gijuku.ac.jp/
福島県,福島東稜高等学校,https://school.js88.com/scl_h/22031790/,960-8124,福島県 福島市山居上3番地,http://www.toryo.ac.jp/
福島県,尚志高等学校,https://school.js88.com/scl_h/22031830/,963-0201,福島県 郡山市大槻町坦ノ腰2番地,http://www.shoshi.ed.jp/highschool/
福島県,福島成蹊高等学校,https://school.js88.com/scl_h/22031770/,960-8134,福島県 福島市上浜町5-10,https://www.f-seikei.ed.jp/
福島県,Ｎ高等学校・Ｓ高等学校　福島キャンパス（通信制）,https://school.js88.com/scl_h/34056264/,960-8103,福島県 福島市舟場町1-20リアライズ福島駅前通ビル7F,
福島県,帝京安積高等学校,https://school.js88.com/scl_h/22031820/,963-0101,福島県 郡山市安積町日出山字神明下43番地,http://www.teikyoasaka.ed.jp
福島県,東日本国際大学附属昌平高等学校,https://school.js88.com/scl_h/34025090/,970-8011,福島県 いわき市平上片寄字上ノ内152番地,https://shohei-chukou.ac.jp
福島県,小野高等学校,https://school.js88.com/scl_h/22021990/,963-3401,福島県 田村郡小野町小野新町宿ノ後63,https://ono-h.fcs.ed.jp/
福島県,相馬農業高等学校,https://school.js88.com/scl_h/22022000/,975-0012,福島県 南相馬市原町区三島町1-65,https://soma-ah.fcs.ed.jp/
福島県,福島工業高等学校,https://school.js88.com/scl_h/22031020/,960-8003,福島県 福島市森合字小松原1番地,https://fukushima-th.fcs.ed.jp/
福島県,福島北高等学校,https://school.js88.com/scl_h/22031030/,960-0201,福島県 福島市飯坂町字後畑1,https://fukushimakita-h.fcs.ed.jp/
福島県,安積高等学校,https://school.js88.com/scl_h/22021980/,963-8851,福島県 郡山市開成5-25-63,https://asaka-h.fcs.ed.jp/
福島県,福島西高等学校,https://school.js88.com/scl_h/22030990/,960-8163,福島県 福島市方木田上原37,https://fukushimanishi-h.fcs.ed.jp/
福島県,福島県立福島高等学校,https://school.js88.com/scl_h/22030970/,960-8002,福島県 福島市森合町5-72,https://fukushima-h.fcs.ed.jp
福島県,福島明成高等学校,https://school.js88.com/scl_h/22031010/,960-1192,福島県 福島市永井川北原田1,https://fukushimameisei-h.fcs.ed.jp/
福島県,橘高等学校,https://school.js88.com/scl_h/22030980/,960-8011,福島県 福島市宮下町7-41,https://tachibana-h.fcs.ed.jp/
福島県,会津西陵高等学校,https://school.js88.com/scl_h/22031370/,969-6262,福島県 大沼郡会津美里町法憧寺北甲3473,https://aizuseiryo-h.fcs.ed.jp/
