都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
秋田県,秋田修英高等学校,https://school.js88.com/scl_h/22030520/,014-0047,秋田県 大仙市大曲須和町1-1-30,http://www.akitashuei.net
秋田県,秋田令和高等学校,https://school.js88.com/scl_h/22030510/,010-0877,秋田県 秋田市千秋矢留町4-17,https://www.akitareiwa-h.ed.jp/
秋田県,国学館高等学校,https://school.js88.com/scl_h/22030500/,010-0875,秋田県 秋田市千秋明徳町3-31,https://www.kokugakukan.ed.jp/
秋田県,Ｎ高等学校・Ｓ高等学校　秋田キャンパス（通信制）,https://school.js88.com/scl_h/34056260/,010-0001,秋田県 秋田市中通2-4-19商工中金・第一生命秋田ビル 9F,
秋田県,聖霊学園高等学校,https://school.js88.com/scl_h/22030490/,010-8533,秋田県 秋田市南通みその町4-82,https://www.akita-seirei.ac.jp/highschool/
秋田県,秋田修英高等学校（通信制）,https://school.js88.com/scl_h/34029594/,014-0047,秋田県 大仙市大曲須和町1-1-30,http://www.akitashuei.net/publics/index/50/
秋田県,男鹿海洋高等学校,https://school.js88.com/scl_h/22030150/,010-0521,秋田県 男鹿市船川港南平沢字大畑台42,http://www.kaiyou-h.akita-pref.ed.jp/
秋田県,秋田北鷹高等学校,https://school.js88.com/scl_h/22030070/,018-3314,秋田県 北秋田市伊勢町1-1,http://www.akitahokuyou-h.akita-pref.ed.jp/
秋田県,大曲高等学校,https://school.js88.com/scl_h/22030210/,014-0061,秋田県 大仙市大曲栄町6-7,http://www.omagari-h.com/
秋田県,湯沢高等学校,https://school.js88.com/scl_h/22021710/,012-0853,秋田県 湯沢市字新町27,https://yuzawa-hs.net/
秋田県,西目高等学校,https://school.js88.com/scl_h/22030190/,018-0604,秋田県 由利本荘市西目町沼田字新道下2-142,http://www.nishime-h.akita-pref.ed.jp
秋田県,本荘高等学校,https://school.js88.com/scl_h/22021720/,015-8585,秋田県 由利本荘市陳場岱6,http://www.honjo-h.akita-pref.ed.jp//zen/homepage/index.html
秋田県,能代科学技術高等学校,https://school.js88.com/scl_h/22030120/,016-0896,秋田県 能代市盤若町3-1,http://www.nst-h.akita-pref.ed.jp/index.html
秋田県,鹿角高等学校,https://school.js88.com/scl_h/22030010/,018-5201,秋田県 鹿角市花輪明堂長根12,
秋田県,秋田工業高等学校,https://school.js88.com/scl_h/22029990/,010-0902,秋田県 秋田市保戸野金砂町3-1,http://www.akiko-h.akita-pref.ed.jp/
秋田県,大館鳳鳴高等学校,https://school.js88.com/scl_h/22030040/,017-0813,秋田県 大館市字金坂後6,http://www.homei-h.akita-pref.ed.jp/?page_id=10
秋田県,大館桂桜高等学校,https://school.js88.com/scl_h/22030050/,017-0872,秋田県 大館市片山町3丁目10番43号,https://keio.odate.school/
秋田県,大曲農業高等学校・太田分校,https://school.js88.com/scl_h/22022520/,019-1601,秋田県 大仙市太田町横沢窪関南268-1,http://www.daino-h-ohta.akita-pref.ed.jp/
