都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
群馬県,Ｎ高等学校・Ｓ高等学校　群馬前橋キャンパス（通信制）,https://school.js88.com/scl_h/34056271/,371-0024,群馬県 前橋市表町2-2-6前橋ファーストビルディング7階,
群馬県,高崎健康福祉大学高崎高等学校,https://school.js88.com/scl_h/22002980/,370-0033,群馬県 高崎市中大類町531,https://www.tuhw-h.ed.jp/
群馬県,飛鳥未来きずな高等学校　高崎キャンパス（通信制）,https://school.js88.com/scl_h/34041735/,370-0826,群馬県 高崎市連雀町81中央高崎ビル2階,
群馬県,関東学園大学附属高等学校,https://school.js88.com/scl_h/22002940/,374-8555,群馬県 館林市大谷町625,https://www.kanto-gakuen.ac.jp/high/
群馬県,ぐんま国際アカデミー高等部,https://school.js88.com/scl_h/34029512/,373-0813,群馬県 太田市内ヶ島町1361-4,https://www.gka.ed.jp
群馬県,Ｎ高等学校・Ｓ高等学校　高崎キャンパス（通信制）,https://school.js88.com/scl_h/34056273/,370-0849,群馬県 高崎市八島町58-1ウエスト・ワンビル１階,
群馬県,白根開善学校高等部,https://school.js88.com/scl_h/22002990/,377-1701,群馬県 吾妻郡中之条町入山1-1,https://www.shirane.ac.jp
群馬県,明和県央高等学校,https://school.js88.com/scl_h/22003000/,370-3511,群馬県 高崎市金古町28,https://www.meiwakenoh.ed.jp/
群馬県,新島学園高等学校,https://school.js88.com/scl_h/22002910/,379-0116,群馬県 安中市安中3702,https://niijima-gakuen.jp/
群馬県,常磐高等学校,https://school.js88.com/scl_h/22002900/,373-0817,群馬県 太田市飯塚町141-1,http://www.tkw.ac.jp
群馬県,尾瀬高等学校,https://school.js88.com/scl_h/22002640/,378-0301,群馬県 沼田市利根町平川1406,https://oze-hs.gsn.ed.jp/
群馬県,Ｎ高等学校・Ｓ高等学校　群馬太田キャンパス（通信制）,https://school.js88.com/scl_h/34056272/,373-0851,群馬県 太田市飯田町1220-1オカバ太田ビル4階,
群馬県,前橋育英高等学校,https://school.js88.com/scl_h/22002970/,371-0832,群馬県 前橋市朝日が丘町13,http://www.maebashiikuei-h.ed.jp/
群馬県,伊勢崎清明高等学校,https://school.js88.com/scl_h/22002310/,372-0031,群馬県 伊勢崎市今泉町2-331-6,https://seimei-hs.gsn.ed.jp
群馬県,前橋南高等学校,https://school.js88.com/scl_h/22002160/,379-2147,群馬県 前橋市亀里町1,https://maenan-hs.gsn.ed.jp/
群馬県,前橋女子高等学校,https://school.js88.com/scl_h/22002170/,371-0025,群馬県 前橋市紅雲町2-19-1,https://maejo-hs.gsn.ed.jp/
群馬県,伊勢崎工業高等学校,https://school.js88.com/scl_h/22002330/,372-0042,群馬県 伊勢崎市中央町3-8,https://iko-hs.gsn.ed.jp
群馬県,高崎商業高等学校,https://school.js88.com/scl_h/22002250/,370-0041,群馬県 高崎市東貝沢町3-4,http://www.takasyo-hs.gsn.ed.jp/
群馬県,高崎女子高等学校,https://school.js88.com/scl_h/22002230/,370-0062,群馬県 高崎市稲荷町20,https://takajo-hs.gsn.ed.jp
群馬県,桐生高等学校,https://school.js88.com/scl_h/22002260/,376-0025,群馬県 桐生市美原町1-39,https://kiryu-hs.gsn.ed.jp/
群馬県,桐生工業高等学校,https://school.js88.com/scl_h/22002290/,376-0054,群馬県 桐生市西久方町1-1-41,https://kiriko-hs.gsn.ed.jp/
群馬県,勢多農林高等学校,https://school.js88.com/scl_h/22002180/,371-0017,群馬県 前橋市日吉町2-25-1,https://setano-hs.gsn.ed.jp/
群馬県,前橋高等学校,https://school.js88.com/scl_h/22002150/,371-0011,群馬県 前橋市下沖町321-1,https://maebashi-hs.gsn.ed.jp/
群馬県,高崎高等学校,https://school.js88.com/scl_h/22002210/,370-0861,群馬県 高崎市八千代町2-4-1,https://takasaki-hs.gsn.ed.jp/
群馬県,前橋工業高等学校,https://school.js88.com/scl_h/22002190/,371-0006,群馬県 前橋市石関町137-1,https://maeko-hs.gsn.ed.jp/
群馬県,伊勢崎興陽高等学校,https://school.js88.com/scl_h/22002320/,372-0045,群馬県 伊勢崎市上泉町212,http://www.nc.koyo-hs.gsn.ed.jp/
群馬県,高崎工業高等学校,https://school.js88.com/scl_h/22002240/,370-0046,群馬県 高崎市江木町700,https://takako-hs.gsn.ed.jp/
群馬県,伊勢崎高等学校,https://school.js88.com/scl_h/22002300/,372-0033,群馬県 伊勢崎市南千木町5239-1,https://isesaki-hs.gsn.ed.jp/
群馬県,伊勢崎商業高等学校,https://school.js88.com/scl_h/22002340/,372-0001,群馬県 伊勢崎市波志江町1116,https://isyo-hs.gsn.ed.jp/
群馬県,前橋商業高等学校,https://school.js88.com/scl_h/22002200/,371-0805,群馬県 前橋市南町4-35-1,https://maesho-hs.gsn.ed.jp
群馬県,渋川青翠高等学校,https://school.js88.com/scl_h/22002720/,377-0008,群馬県 渋川市渋川3912-1,https://seisui-hs.gsn.ed.jp/
群馬県,榛名高等学校,https://school.js88.com/scl_h/22002550/,370-3342,群馬県 高崎市下室田町953,https://harukou-hs.gsn.ed.jp/
群馬県,新田暁高等学校,https://school.js88.com/scl_h/22002670/,370-0347,群馬県 太田市新田大根町999,https://akatsuki-hs.gsn.ed.jp
群馬県,大泉高等学校,https://school.js88.com/scl_h/22002710/,370-0511,群馬県 邑楽郡大泉町北小泉2-16-1,https://oizumi-hs.gsn.ed.jp/
群馬県,太田女子高等学校,https://school.js88.com/scl_h/22002360/,373-8511,群馬県 太田市八幡町16-7,https://tajyo-hs.gsn.ed.jp/
群馬県,嬬恋高等学校,https://school.js88.com/scl_h/22002630/,377-1526,群馬県 吾妻郡嬬恋村三原482-1,https://tsumagoi-hs.gsn.ed.jp/
群馬県,太田工業高等学校,https://school.js88.com/scl_h/22002380/,373-0809,群馬県 太田市茂木町380,https://tako-hs.gsn.ed.jp
群馬県,西邑楽高等学校,https://school.js88.com/scl_h/22002700/,370-0514,群馬県 邑楽郡大泉町朝日2-3-1,https://nishioura-hs.gsn.ed.jp/
群馬県,万場高等学校,https://school.js88.com/scl_h/22002570/,370-1503,群馬県 多野郡神流町生利1549-1,http://www.center.gsn.ed.jp/gakko/kou/manba/
群馬県,藤岡工業高等学校,https://school.js88.com/scl_h/22002480/,375-0012,群馬県 藤岡市下戸塚47-2,https://fujikou-hs.gsn.ed.jp/
群馬県,桐生市立商業高等学校,https://school.js88.com/scl_h/22002740/,376-0026,群馬県 桐生市清瀬町6-1,http://www.kirisyo.jp/
群馬県,渋川高等学校,https://school.js88.com/scl_h/22002440/,377-0008,群馬県 渋川市渋川678-3,https://sibukawa-hs.gsn.ed.jp/
群馬県,富岡高等学校,https://school.js88.com/scl_h/22002490/,370-2343,群馬県 富岡市七日市1425-1,https://tomioka-hs.gsn.ed.jp/
群馬県,富岡実業高等学校,https://school.js88.com/scl_h/22002510/,370-2316,群馬県 富岡市富岡451,https://tomijitsu-hs.gsn.ed.jp
群馬県,沼田高等学校,https://school.js88.com/scl_h/22002390/,378-0054,群馬県 沼田市西原新町1510,https://numata-hs.gsn.ed.jp
群馬県,太田高等学校,https://school.js88.com/scl_h/22002350/,373-0033,群馬県 太田市西本町12-2,https://ota-hs.gsn.ed.jp/
群馬県,大間々高等学校,https://school.js88.com/scl_h/22002680/,376-0102,群馬県 みどり市大間々町桐原193-1,https://omama-hs.gsn.ed.jp
群馬県,板倉高等学校,https://school.js88.com/scl_h/22002690/,374-0132,群馬県 邑楽郡板倉町板倉2406-2,https://itakura-hs.gsn.ed.jp/
群馬県,館林女子高等学校,https://school.js88.com/scl_h/22002430/,374-0019,群馬県 館林市尾曳町6-1,http://kanjo.main.jp
群馬県,長野原高等学校,https://school.js88.com/scl_h/22002620/,377-1305,群馬県 吾妻郡長野原町与喜屋21-1,https://naganohara-hs.gsn.ed.jp/
群馬県,利根実業高等学校,https://school.js88.com/scl_h/22002410/,378-0014,群馬県 沼田市栄町165-2,https://tonejitu-hs.gsn.ed.jp/
群馬県,吾妻中央高等学校,https://school.js88.com/scl_h/22002600/,377-0424,群馬県 吾妻郡中之条町大字中之条町1303,https://agachuo-hs.gsn.ed.jp/
群馬県,吉井高等学校,https://school.js88.com/scl_h/22002560/,370-2104,群馬県 高崎市吉井町馬庭1478-1,http://www.nc.yoshii-hs.gsn.ed.jp/
群馬県,渋川女子高等学校,https://school.js88.com/scl_h/22002450/,377-0008,群馬県 渋川市渋川2684,http://www.sibujyo-hs.gsn.ed.jp
群馬県,松井田高等学校,https://school.js88.com/scl_h/22002590/,379-0222,群馬県 安中市松井田町松井田803-1,https://matuida-hs.gsn.ed.jp/
群馬県,安中総合学園高等学校,https://school.js88.com/scl_h/22002520/,379-0116,群馬県 安中市安中1-2-8,https://annakasogo-hs.gsn.ed.jp
群馬県,前橋市立前橋高等学校,https://school.js88.com/scl_h/22002730/,371-0051,群馬県 前橋市上細井町2211-3,https://ichimae.ed.jp/
群馬県,下仁田高等学校,https://school.js88.com/scl_h/22002580/,370-2601,群馬県 甘楽郡下仁田町下仁田550-1,https://shimonita-hs.gsn.ed.jp/
群馬県,玉村高等学校,https://school.js88.com/scl_h/22002660/,370-1134,群馬県 佐波郡玉村町与六分14,https://tamamura-hs.gsn.ed.jp
群馬県,館林高等学校,https://school.js88.com/scl_h/22002420/,374-0041,群馬県 館林市富士原町1241,https://tateko-hs.gsn.ed.jp/
群馬県,渋川工業高等学校（定時制）,https://school.js88.com/scl_h/22101470/,377-0008,群馬県 渋川市渋川8-1,https://shibuko-hs.gsn.ed.jp/bc4a0b6334343ea8aa6931df8d619717
群馬県,桐生第一高等学校,https://school.js88.com/scl_h/22002890/,376-0043,群馬県 桐生市小曽根町1-5,https://www.kiriichi.ac.jp/
群馬県,沼田高等学校（定時制）,https://school.js88.com/scl_h/22101390/,378-0054,群馬県 沼田市西原新町1510,https://numata-hs.gsn.ed.jp/%E5%AE%9A%E6%99%82%E5%88%B6%E3%82%88%E3%82%8A
群馬県,桐生市立商業高等学校（定時制）,https://school.js88.com/scl_h/22101460/,376-0026,群馬県 桐生市清瀬町6-1,https://kirisyo.edumap.jp/evening
群馬県,太田市立太田高等学校,https://school.js88.com/scl_h/22002770/,373-0842,群馬県 太田市細谷町1510番地,https://www.otacity-hs.com/
群馬県,桐生工業高等学校（定時制）,https://school.js88.com/scl_h/22101360/,376-0054,群馬県 桐生市西久方町1-1-41,https://kiriko-ths.gsn.ed.jp/
群馬県,利根商業高等学校,https://school.js88.com/scl_h/22002780/,379-1313,群馬県 利根郡みなかみ町月夜野591,http://www.tonesho.ed.jp/
群馬県,富岡高等学校（定時制）,https://school.js88.com/scl_h/22101420/,370-2343,群馬県 富岡市七日市1425-1,https://tomioka-ths.gsn.ed.jp/
群馬県,東京農業大学第二高等学校,https://school.js88.com/scl_h/22002950/,370-0864,群馬県 高崎市石原町3430,https://www.nodai-2-h.ed.jp/
群馬県,高崎東高等学校,https://school.js88.com/scl_h/22002850/,370-0014,群馬県 高崎市元島名町1510,https://takahi-hs.gsn.ed.jp
群馬県,高崎高等学校（通信制）,https://school.js88.com/scl_h/24000111/,370-0861,群馬県 高崎市八千代町2-4-1,https://takasaki-hs.gsn.ed.jp/tusin
群馬県,太田東高等学校,https://school.js88.com/scl_h/22002830/,373-0801,群馬県 太田市台之郷町448,https://tahigasi-hs.gsn.ed.jp
群馬県,館林商工高等学校,https://school.js88.com/scl_h/22002860/,370-0701,群馬県 邑楽郡明和町南大島660,https://kansyoko-hs.gsn.ed.jp
群馬県,高崎市立高崎経済大学附属高等学校,https://school.js88.com/scl_h/22002870/,370-0081,群馬県 高崎市浜川町1650-1,https://tcue-h.edumap.jp/
群馬県,高崎北高等学校,https://school.js88.com/scl_h/22002790/,370-3534,群馬県 高崎市井出町1080,https://takakita-hs.gsn.ed.jp/
群馬県,渋川工業高等学校,https://school.js88.com/scl_h/22002760/,377-0008,群馬県 渋川市渋川8-1,https://shibuko-hs.gsn.ed.jp
群馬県,館林高等学校（定時制）,https://school.js88.com/scl_h/22101400/,374-0041,群馬県 館林市富士原町1241,https://tateko-hs.gsn.ed.jp/ff01d1306bc41c23c0758427178c19c6
群馬県,藤岡中央高等学校（定時制）,https://school.js88.com/scl_h/22101410/,375-0015,群馬県 藤岡市中栗須909番地,https://ftyuou-hs.gsn.ed.jp/7900715cbc7d059c79de446eefdf5358
群馬県,前橋西高等学校,https://school.js88.com/scl_h/22002820/,370-3574,群馬県 前橋市清野町180,https://maenisi-hs.gsn.ed.jp
群馬県,高崎商業高等学校（定時制）,https://school.js88.com/scl_h/22101350/,370-0041,群馬県 高崎市東貝沢町3-4,https://takasyo-hs.gsn.ed.jp/%E5%AE%9A%E6%99%82%E5%88%B6
群馬県,桐生清桜高等学校,https://school.js88.com/scl_h/22002800/,376-0011,群馬県 桐生市相生町3-551-1,https://kiryuseio-hs.gsn.ed.jp/
群馬県,高崎工業高等学校（定時制）,https://school.js88.com/scl_h/22101340/,370-0046,群馬県 高崎市江木町700,https://takako-ths.gsn.ed.jp/
群馬県,高崎商科大学附属高等学校,https://school.js88.com/scl_h/22002930/,370-0803,群馬県 高崎市大橋町237-1,https://www.tuc-hs.ed.jp/
群馬県,藤岡北高等学校,https://school.js88.com/scl_h/22002840/,375-0017,群馬県 藤岡市篠塚90,https://fujikita-hs.gsn.ed.jp/
群馬県,前橋工業高等学校（定時制）,https://school.js88.com/scl_h/22101330/,371-0006,群馬県 前橋市石関町137-1,https://maeko-hs.gsn.ed.jp/%E5%AE%9A%E6%99%82%E5%88%B6
群馬県,共愛学園高等学校,https://school.js88.com/scl_h/22002880/,379-2185,群馬県 前橋市小屋原町1115-3,http://hs.kyoai.ac.jp
群馬県,前橋清陵高等学校（定時制）,https://school.js88.com/scl_h/22108610/,371-8573,群馬県 前橋市文京町2-20-3,https://seiryo-hs.gsn.ed.jp/
群馬県,樹徳高等学校,https://school.js88.com/scl_h/22002960/,376-0023,群馬県 桐生市錦町1-1-20,https://www.jutoku.ed.jp/high/
群馬県,伊勢崎工業高等学校（定時制）,https://school.js88.com/scl_h/22101370/,372-0042,群馬県 伊勢崎市中央町3-8,https://iko-ths.gsn.ed.jp/
群馬県,前橋東高等学校,https://school.js88.com/scl_h/22002810/,371-0002,群馬県 前橋市江木町800,http://www.nc.maehigashi-hs.gsn.ed.jp/
