都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
茨城県,Ｎ高等学校・Ｓ高等学校　つくばキャンパス（通信制）,https://school.js88.com/scl_h/34056266/,305-0031,茨城県 つくば市吾妻1-7-1トナリエクレオ4階,
茨城県,つくばサイエンス高等学校,https://school.js88.com/scl_h/22000800/,305-0861,茨城県 つくば市谷田部1818,https://www.tsukuba-science-h.ibk.ed.jp/
茨城県,つくば秀英高等学校,https://school.js88.com/scl_h/22001310/,300-2655,茨城県 つくば市島名151,https://www.tsukubashuei.com/
茨城県,飛鳥未来きぼう高等学校　水戸本校（通信制）,https://school.js88.com/scl_h/34056028/,310-0801,茨城県 水戸市桜川1丁目7番1号,
茨城県,愛国学園大学附属龍ケ崎高等学校,https://school.js88.com/scl_h/22001230/,301-0041,茨城県 龍ケ崎市若柴町2747,https://www.aikoku-ryugasaki.ed.jp/
茨城県,飛鳥未来きぼう高等学校（通信制）,https://school.js88.com/scl_h/34056023/,310-0801,茨城県 水戸市桜川1丁目7番［水戸本校］,
茨城県,中央高等学校,https://school.js88.com/scl_h/22001080/,319-0133,茨城県 小美玉市張星500,https://www.chuo-h.ibk.ed.jp/
茨城県,大子清流高等学校,https://school.js88.com/scl_h/22000140/,319-3526,茨城県 久慈郡大子町大子224,http://www.daigoseiryu-h.ibk.ed.jp
茨城県,Ｎ高等学校・Ｓ高等学校　茨城取手キャンパス（通信制）,https://school.js88.com/scl_h/34056268/,302-0024,茨城県 取手市新町1-8-38新町第6ビル3階,
茨城県,水戸桜ノ牧高等学校常北校,https://school.js88.com/scl_h/22000340/,311-4306,茨城県 東茨城郡城里町春園1634,http://www.johoku-h.ed.ibk.jp/
茨城県,大洗高等学校,https://school.js88.com/scl_h/22000350/,311-1311,茨城県 東茨城郡大洗町大貫町2908,http://www.oarai-h.ibk.ed.jp/
茨城県,晃陽学園高等学校,https://school.js88.com/scl_h/34028515/,306-0011,茨城県 古河市東1-5-26,https://www.koyo-gakuen.ac.jp/
茨城県,青丘学院つくば高等学校,https://school.js88.com/scl_h/34029969/,315-0116,茨城県 石岡市柿岡字寺田1604,http://cheonggu.ed.jp/
茨城県,つくば国際大学高等学校,https://school.js88.com/scl_h/22001190/,300-0051,茨城県 土浦市真鍋1-3-5,https://www.tiuh.ed.jp/
茨城県,水戸啓明高等学校,https://school.js88.com/scl_h/22001170/,310-0851,茨城県 水戸市千波町464-10,https://www.mito-keimei.ed.jp/
茨城県,境高等学校,https://school.js88.com/scl_h/22000810/,306-0433,茨城県 猿島郡境町175,http://www.sakai-h.ibk.ed.jp/
茨城県,大成女子高等学校,https://school.js88.com/scl_h/22001140/,310-0063,茨城県 水戸市五軒町3-2-61,https://www.taisei.ac.jp/jp/tghs/
茨城県,土浦工業高等学校,https://school.js88.com/scl_h/22000480/,300-0051,茨城県 土浦市真鍋6-11-20,https://www.tsuchiura-th.ibk.ed.jp/
茨城県,Ｎ高等学校・Ｓ高等学校　水戸キャンパス（通信制）,https://school.js88.com/scl_h/34056267/,310-0021,茨城県 水戸市南町1-3-35オカバ水戸三の丸ビル３階,
茨城県,茨城キリスト教学園高等学校,https://school.js88.com/scl_h/22001120/,319-1295,茨城県 日立市大みか町6-11-1,https://www.icc.ac.jp/ich/
茨城県,水戸葵陵高等学校,https://school.js88.com/scl_h/22001290/,310-0851,茨城県 水戸市千波町2369-3,https://www.kiryo.ac.jp/
茨城県,高萩清松高等学校,https://school.js88.com/scl_h/22000020/,318-0001,茨城県 高萩市赤浜1864,http://www.takahagiseisho-h.ibk.ed.jp/
茨城県,日立第一高等学校,https://school.js88.com/scl_h/22000040/,317-0063,茨城県 日立市若葉町3-15-1,https://www.hitachi1-h.ibk.ed.jp/
茨城県,磯原郷英高等学校,https://school.js88.com/scl_h/22000090/,319-1541,茨城県 北茨城市磯原町磯原912,http://www.isoharakyoei-h.ibk.ed.jp/
茨城県,日立第二高等学校,https://school.js88.com/scl_h/22000050/,317-0071,茨城県 日立市鹿島町3-2-1,https://www.hitachi2-h.ibk.ed.jp/
茨城県,高萩高等学校（定時制）,https://school.js88.com/scl_h/22000010/,318-0034,茨城県 高萩市高萩1111番地,
茨城県,日立商業高等学校,https://school.js88.com/scl_h/22000080/,319-1222,茨城県 日立市久慈町6-20-1,https://www.hitachi-ch.ibk.ed.jp/
茨城県,日立工業高等学校,https://school.js88.com/scl_h/22000060/,317-0077,茨城県 日立市城南町2-12-1,https://www.hitachi-th.ibk.ed.jp/
茨城県,太田第一高等学校,https://school.js88.com/scl_h/22000110/,313-0005,茨城県 常陸太田市栄町58,http://www.ota1-h.ibk.ed.jp/
茨城県,多賀高等学校,https://school.js88.com/scl_h/22000070/,316-0036,茨城県 日立市鮎川町3-9-1,http://www.taga-h.ibk.ed.jp
茨城県,石岡第二高等学校,https://school.js88.com/scl_h/22000500/,315-0013,茨城県 石岡市府中5-14-14,https://www.ishioka2-h.ibk.ed.jp
茨城県,茨城県立笠間高等学校,https://school.js88.com/scl_h/22000310/,309-1611,茨城県 笠間市笠間1668,https://www.kasama-h.ibk.ed.jp/
茨城県,波崎高等学校,https://school.js88.com/scl_h/22000440/,314-0343,茨城県 神栖市土合本町2-9928-1,http://www.hasaki-h.ibk.ed.jp/
茨城県,石岡第一高等学校,https://school.js88.com/scl_h/22000490/,315-0001,茨城県 石岡市石岡一丁目9番地,https://www.ishioka1-h.ibk.ed.jp/
茨城県,小瀬高等学校,https://school.js88.com/scl_h/22000160/,319-2401,茨城県 常陸大宮市上小瀬1881,https://www.ose-h.ibk.ed.jp/
茨城県,鹿島高等学校,https://school.js88.com/scl_h/22000420/,314-0038,茨城県 鹿嶋市城山二丁目2番19号,https://www.kashima-h.ibk.ed.jp/
茨城県,水戸第一高等学校,https://school.js88.com/scl_h/22000190/,310-0011,茨城県 水戸市三の丸3-10-1,http://www.mito1-h.ibk.ed.jp
茨城県,土浦第三高等学校,https://school.js88.com/scl_h/22000470/,300-0835,茨城県 土浦市大岩田1599番地,https://www.tsuchiura3-h.ibk.ed.jp/
茨城県,鉾田第一高等学校,https://school.js88.com/scl_h/22000360/,311-1517,茨城県 鉾田市鉾田1090-2,https://www.hokota1-h.ibk.ed.jp/
茨城県,勝田中等教育学校,https://school.js88.com/scl_h/22000260/,312-0003,茨城県 ひたちなか市足崎1458,https://www.katsuta-cs.ibk.ed.jp/
茨城県,筑波高等学校,https://school.js88.com/scl_h/22000530/,300-4231,茨城県 つくば市北条4387,https://www.tsukuba-h.ibk.ed.jp/
茨城県,水戸工業高等学校,https://school.js88.com/scl_h/22000240/,310-0836,茨城県 水戸市元吉田町1101,http://www.mito-th.ibk.ed.jp
茨城県,勝田工業高等学校,https://school.js88.com/scl_h/22000270/,312-0016,茨城県 ひたちなか市松戸町3-10-1,http://www.katsuta-th.ibk.ed.jp
茨城県,那珂湊高等学校,https://school.js88.com/scl_h/22000280/,311-1224,茨城県 ひたちなか市山ノ上町4-6,https://www.nakaminato-h.ibk.ed.jp/
茨城県,水戸第二高等学校,https://school.js88.com/scl_h/22000200/,310-0062,茨城県 水戸市大町2-2-14,http://www.mito2-h.ibk.ed.jp
茨城県,太田西山高等学校,https://school.js88.com/scl_h/22000120/,313-0007,茨城県 常陸太田市新宿町210,http://www.otaseizan-h.ibk.ed.jp/
茨城県,土浦第一高等学校,https://school.js88.com/scl_h/22000450/,300-0051,茨城県 土浦市真鍋4-4-2,http://www.tsuchiura1-h.ibk.ed.jp/
茨城県,土浦第二高等学校,https://school.js88.com/scl_h/22000460/,300-0041,茨城県 土浦市立田町9-6,http://www.tsuchiura2-h.ibk.ed.jp/
茨城県,水戸農業高等学校,https://school.js88.com/scl_h/22000230/,311-0114,茨城県 那珂市東木倉983,https://www.mito-ah.ibk.ed.jp/
