都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
長崎県,こころ未来高等学校（通信制）,https://school.js88.com/scl_h/34029642/,850-0822,長崎県 長崎市愛宕3-19-23,https://www.kokoromirai.ed.jp/
長崎県,宇久高等学校,https://school.js88.com/scl_h/22047380/,857-4901,長崎県 佐世保市宇久町平1042,http://www2.news.ed.jp/section/uku-h/
長崎県,聖母の騎士高等学校,https://school.js88.com/scl_h/22047680/,850-0012,長崎県 長崎市本河内2-2-2,https://www.seibonokishi.ed.jp/
長崎県,純心女子高等学校,https://school.js88.com/scl_h/22047640/,852-8515,長崎県 長崎市文教町13-15,https://www.n-junshin.ed.jp/
長崎県,Ｎ高等学校・Ｓ高等学校　長崎駅前キャンパス（通信制）,https://school.js88.com/scl_h/34056353/,850-0051,長崎県 長崎市西坂町2-3長崎駅前第一生命ビルディング3階,
長崎県,諫早農業高等学校,https://school.js88.com/scl_h/22047540/,854-0043,長崎県 諫早市立石町1003,https://www.news.ed.jp/isahaya-ah/
長崎県,長崎南山高等学校,https://school.js88.com/scl_h/22047590/,852-8544,長崎県 長崎市上野町25-1,https://www.n-nanzan.ed.jp/
長崎県,Ｎ高等学校・Ｓ高等学校　長崎佐世保キャンパス（通信制）,https://school.js88.com/scl_h/34056352/,857-0862,長崎県 佐世保市白南風町8-17佐世保交通センタービル7F,
長崎県,西彼農業高等学校,https://school.js88.com/scl_h/22047300/,851-3304,長崎県 西海市西彼町上岳郷323,http://www.news.ed.jp/seihi-ah/
長崎県,佐世保商業高等学校,https://school.js88.com/scl_h/22047110/,857-0143,長崎県 佐世保市吉岡町863-3,http://www2.news.ed.jp/section/sasebo-ch/
長崎県,西陵高等学校,https://school.js88.com/scl_h/22021870/,859-0401,長崎県 諫早市多良見町化屋1387-2,https://www.news.ed.jp/seiryo-h/
長崎県,島原高等学校,https://school.js88.com/scl_h/22047180/,855-0036,長崎県 島原市城内2-1130,http://www.shimabara-h.ed.jp/
長崎県,猶興館高等学校,https://school.js88.com/scl_h/22021880/,859-5121,長崎県 平戸市岩の上町1443,http://www2.news.ed.jp/section/yukoukan-h/
長崎県,佐世保東翔高等学校,https://school.js88.com/scl_h/22047130/,859-3224,長崎県 佐世保市重尾町425-3,https://www2.news.ed.jp/section/tousho-h/
長崎県,長崎鶴洋高等学校,https://school.js88.com/scl_h/22047060/,850-0991,長崎県 長崎市末石町157-1,http://www2.news.ed.jp/section/kakuyo-h/
長崎県,長崎北高等学校,https://school.js88.com/scl_h/22047040/,851-1132,長崎県 長崎市小江原1-1-1,https://www.news.ed.jp/kita-h/index.html
長崎県,佐世保南高等学校,https://school.js88.com/scl_h/22047080/,857-1151,長崎県 佐世保市日宇町2526,https://sasebominami-h.education/
長崎県,佐世保北高等学校,https://school.js88.com/scl_h/22047090/,857-0028,長崎県 佐世保市八幡町6-31,https://www2.news.ed.jp/section/sasebokita-h/index.html
長崎県,諫早高等学校,https://school.js88.com/scl_h/22021890/,854-0014,長崎県 諫早市東小路町1-7,https://www2.news.ed.jp/section/httpwww2news-ed-jpisahaya-h/
長崎県,松浦高等学校,https://school.js88.com/scl_h/22021860/,859-4501,長崎県 松浦市志佐町浦免738-1,http://www2.news.ed.jp/section/matsuura-h/
長崎県,長崎南高等学校,https://school.js88.com/scl_h/22047030/,850-0834,長崎県 長崎市上小島4-13-1,https://nagasaki-minami.net/
長崎県,諫早商業高等学校,https://school.js88.com/scl_h/22047170/,854-0061,長崎県 諫早市宇都町8-26,https://www2.news.ed.jp/section/isahaya-ch/
長崎県,長崎東高等学校,https://school.js88.com/scl_h/22047010/,850-0007,長崎県 長崎市立山5-13-1,http://www.news.ed.jp/higashi-h/
長崎県,大村工業高等学校,https://school.js88.com/scl_h/22047160/,856-0815,長崎県 大村市森園町1079-3,http://www.ohmura-th.ed.jp
長崎県,佐世保工業高等学校,https://school.js88.com/scl_h/22047120/,857-0134,長崎県 佐世保市瀬戸越3-3-30,http://www.sasebo-th.ed.jp/
長崎県,長崎工業高等学校,https://school.js88.com/scl_h/22047050/,852-8052,長崎県 長崎市岩屋町41-22,http://www2.nagasaki-th.ed.jp/
長崎県,大村城南高等学校,https://school.js88.com/scl_h/22047150/,856-0835,長崎県 大村市久原1-416,https://www2.news.ed.jp/section/jounan-h/
長崎県,佐世保西高等学校,https://school.js88.com/scl_h/22047100/,857-0136,長崎県 佐世保市田原町130-1,https://www.news.ed.jp/sasebonishi-h/
長崎県,大村高等学校,https://school.js88.com/scl_h/22047140/,856-0835,長崎県 大村市久原1-591,https://www.news.ed.jp/omura-h/
長崎県,長崎西高等学校,https://school.js88.com/scl_h/22047020/,852-8014,長崎県 長崎市竹の久保町12-9,http://www.nagasaki-nishi.ed.jp/
長崎県,長崎商業高等学校,https://school.js88.com/scl_h/22047510/,852-8157,長崎県 長崎市泉町1125,http://www.nchs.nagasaki-city.ed.jp/
長崎県,北松農業高等学校,https://school.js88.com/scl_h/22047340/,859-4824,長崎県 平戸市田平町小手田免54-1,http://www2.news.ed.jp/section/hokusho-ah/
長崎県,対馬高等学校,https://school.js88.com/scl_h/22047460/,817-0016,長崎県 対馬市厳原町東里120,http://www.news.ed.jp/tsushima-h/
長崎県,奈留高等学校,https://school.js88.com/scl_h/22047500/,853-2201,長崎県 五島市奈留町浦1246-2,https://www2.news.ed.jp/section/naru-h/
長崎県,島原商業高等学校,https://school.js88.com/scl_h/22047200/,855-0036,長崎県 島原市城内1-1213,https://www.news.ed.jp/shimabara-ch
長崎県,壱岐高等学校,https://school.js88.com/scl_h/22047440/,811-5136,長崎県 壱岐市郷ノ浦町片原触88,https://www2.news.ed.jp/section/iki-h/
長崎県,島原工業高等学校,https://school.js88.com/scl_h/22047210/,855-0073,長崎県 島原市本光寺町4353,http://shimabara-th.ed.jp
長崎県,五島海陽高等学校,https://school.js88.com/scl_h/22047490/,853-0065,長崎県 五島市坂の上1-6-1,http://www.news.ed.jp/kaiyo-h/
長崎県,北松西高等学校,https://school.js88.com/scl_h/22047370/,857-4701,長崎県 北松浦郡小値賀町笛吹郷2657-3,https://www2.news.ed.jp/section/hokushounishi-h/
長崎県,長崎明誠高等学校,https://school.js88.com/scl_h/22047290/,851-3101,長崎県 長崎市西海町1854番地,http://www2.news.ed.jp/section/meisei-h/
長崎県,長崎北陽台高等学校,https://school.js88.com/scl_h/22047550/,851-2127,長崎県 西彼杵郡長与町高田郷3672,https://www2.news.ed.jp/hokuyoudai-h/
長崎県,川棚高等学校,https://school.js88.com/scl_h/22047270/,859-3616,長崎県 東彼杵郡川棚町白石郷64-1,https://www2.news.ed.jp/section/kawatana-h/
長崎県,大崎高等学校,https://school.js88.com/scl_h/22047310/,857-2427,長崎県 西海市大島町3468-1,https://www2.news.ed.jp/section/osaki-h/
長崎県,平戸高等学校,https://school.js88.com/scl_h/22047320/,859-5392,長崎県 平戸市草積町261,http://www2.news.ed.jp/section/hirado-h/
長崎県,国見高等学校,https://school.js88.com/scl_h/22047220/,859-1321,長崎県 雲仙市国見町多比良甲1020,https://www2.news.ed.jp/section/kunimi-h/
長崎県,島原農業高等学校,https://school.js88.com/scl_h/22047190/,855-0075,長崎県 島原市下折橋町4520,http://www.news.ed.jp/shimabara-ah/index.html
長崎県,上対馬高等学校,https://school.js88.com/scl_h/22047470/,817-1722,長崎県 対馬市上対馬町大浦230,https://www2.news.ed.jp/section/kamitsushima-h/index.html
長崎県,豊玉高等学校,https://school.js88.com/scl_h/22047480/,817-1201,長崎県 対馬市豊玉町仁位1331-2,https://www2.news.ed.jp/section/toyotama-h
長崎県,小浜高等学校,https://school.js88.com/scl_h/22047260/,854-0595,長崎県 雲仙市小浜町北野623,https://www2.news.ed.jp/section/obama-h/
長崎県,中五島高等学校,https://school.js88.com/scl_h/22047430/,853-2303,長崎県 南松浦郡新上五島町宿ノ浦郷162-1,https://www2.news.ed.jp/section/nakagoto-h/
長崎県,島原翔南高等学校,https://school.js88.com/scl_h/22047230/,859-2212,長崎県 南島原市西有家町須川810,http://www2.news.ed.jp/section/shounan-h/
長崎県,上五島高等学校,https://school.js88.com/scl_h/22047420/,857-4511,長崎県 南松浦郡新上五島町浦桑郷306,https://www2.news.ed.jp/section/kamigoto-h/
長崎県,鹿町工業高等学校,https://school.js88.com/scl_h/22047360/,859-6145,長崎県 佐世保市鹿町町土肥ノ浦110,https://www2.news.ed.jp/section/shikamachi-th/
長崎県,西彼杵高等学校,https://school.js88.com/scl_h/22047280/,857-2303,長崎県 西海市大瀬戸町瀬戸西濱郷663,https://www2.news.ed.jp/section/nishisonogi-h/
