都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
長野県,エクセラン高等学校,https://school.js88.com/scl_h/22027040/,390-0221,長野県 松本市里山辺4202,http://www.excellent.ed.jp
長野県,佐久長聖高等学校,https://school.js88.com/scl_h/22027020/,385-8588,長野県 佐久市岩村田951,https://sakuchosei.ed.jp/
長野県,松本国際高等学校,https://school.js88.com/scl_h/22026930/,399-0036,長野県 松本市村井町南3-6-25,https://m-kokusai.ac.jp/
長野県,Ｎ高等学校・Ｓ高等学校　長野松本キャンパス（通信制）,https://school.js88.com/scl_h/34056314/,390-0811,長野県 松本市中央2-6-1リーガル松本ビル 6F,
長野県,須坂高等学校,https://school.js88.com/scl_h/22026070/,382-0091,長野県 須坂市大字須坂1518-2,http://www.nagano-c.ed.jp/suzaka/
長野県,Ｎ高等学校・Ｓ高等学校　長野キャンパス（通信制）,https://school.js88.com/scl_h/34056313/,380-0821,長野県 長野市上千歳町1137-23リアライズ長野ビル8階,
長野県,長野西高等学校　中条校,https://school.js88.com/scl_h/22026160/,381-3203,長野県 長野市中条2378-1,http://www.nagano-c.ed.jp/nakajohs/
長野県,上田高等学校,https://school.js88.com/scl_h/22026250/,386-8715,長野県 上田市大手1-4-32,http://www.nagano-c.ed.jp/ueda-hs/
長野県,長野県下高井農林高等学校,https://school.js88.com/scl_h/22026020/,389-2301,長野県 下高井郡木島平村穂高2975,https://www.nagano-c.ed.jp/nourinn/
長野県,長野県坂城高等学校,https://school.js88.com/scl_h/22026230/,389-0601,長野県 埴科郡坂城町坂城6727,https://www.nagano-c.ed.jp/sakakihs/
長野県,中野立志館高等学校,https://school.js88.com/scl_h/22026040/,383-8567,長野県 中野市三好町2-1-53,http://www.nagano-c.ed.jp/rishikan/
長野県,篠ノ井高等学校,https://school.js88.com/scl_h/22026180/,388-8007,長野県 長野市篠ノ井布施高田1161-2,http://www.nagano-c.ed.jp/shino-hs/
長野県,長野西高等学校,https://school.js88.com/scl_h/22026120/,380-8530,長野県 長野市箱清水3-8-5,http://www.nagano-c.ed.jp/n-nisihs/
長野県,長野吉田高等学校,https://school.js88.com/scl_h/22026100/,381-8570,長野県 長野市吉田2-12-9,https://www.nagano-c.ed.jp/yoshida/
長野県,長野県長野商業高等学校（全日制）,https://school.js88.com/scl_h/22026130/,380-0872,長野県 長野市妻科243,https://www.nagano-c.ed.jp/chosho/
長野県,長野東高等学校,https://school.js88.com/scl_h/22026140/,381-0022,長野県 長野市大豆島2743-1,http://www.nagano-c.ed.jp/nghihs/
長野県,須坂東高等学校,https://school.js88.com/scl_h/22026060/,382-0013,長野県 須坂市日滝4-4,http://www.nagano-c.ed.jp/szkhhs/h_main.html
長野県,長野県飯山高等学校,https://school.js88.com/scl_h/22026000/,389-2253,長野県 飯山市飯山2610,https://www.nagano-c.ed.jp/iiyama
長野県,上田染谷丘高等学校,https://school.js88.com/scl_h/22026260/,386-8685,長野県 上田市上田1710,http://www.nagano-c.ed.jp/someyahs/
長野県,北部高等学校,https://school.js88.com/scl_h/22026090/,389-1206,長野県 上水内郡飯綱町普光寺156,http://www.nagano-c.ed.jp/hokubu/
長野県,屋代南高等学校,https://school.js88.com/scl_h/22026220/,387-8502,長野県 千曲市屋代2104,https://www.nagano-c.ed.jp/yanami/
長野県,屋代高等学校,https://school.js88.com/scl_h/22026210/,387-8501,長野県 千曲市屋代1000,https://www.nagano-c.ed.jp/yashiro/
長野県,篠ノ井高等学校犀峡校,https://school.js88.com/scl_h/22026170/,381-2413,長野県 長野市信州新町下市場70,https://www.nagano-c.ed.jp/saikyou/
長野県,長野県長野高等学校,https://school.js88.com/scl_h/22026110/,380-8515,長野県 長野市上松1-16-12,http://www.nagano-c.ed.jp/naganohs/
長野県,更級農業高等学校,https://school.js88.com/scl_h/22026190/,388-8007,長野県 長野市篠ノ井布施高田200,https://www.nagano-c.ed.jp/sarano/index.html
長野県,長野県上田千曲高等学校,https://school.js88.com/scl_h/22026240/,386-8585,長野県 上田市中之条626,https://www.nagano-c.ed.jp/chikuma/
長野県,須坂創成高等学校,https://school.js88.com/scl_h/22026080/,382-0097,長野県 須坂市須坂1616,https://sosei.ed.jp/
長野県,長野県赤穂高等学校,https://school.js88.com/scl_h/22026550/,399-4117,長野県 駒ヶ根市赤穂11041-4,http://akaho-hs.jp/
長野県,富士見高等学校,https://school.js88.com/scl_h/22026410/,399-0211,長野県 諏訪郡富士見町富士見3330,https://sites.google.com/g.nagano-c.ed.jp/fujimiko/
長野県,箕輪進修高等学校,https://school.js88.com/scl_h/22026500/,399-4601,長野県 上伊那郡箕輪町中箕輪13238,http://www.nagano-c.ed.jp/minowa/
長野県,伊那弥生ケ丘高等学校,https://school.js88.com/scl_h/22026540/,396-0021,長野県 伊那市伊那5703,http://www.nagano-c.ed.jp/yayoi/
長野県,丸子修学館高等学校,https://school.js88.com/scl_h/22026280/,386-0405,長野県 上田市中丸子810-2,http://www.nagano-c.ed.jp/marukohs/
長野県,岡谷工業高等学校,https://school.js88.com/scl_h/22026480/,394-0004,長野県 岡谷市神明町2-10-3,https://www.nagano-c.ed.jp/okako/
長野県,東御清翔高等学校,https://school.js88.com/scl_h/22026290/,389-0517,長野県 東御市県276,https://www.nagano-c.ed.jp/t-seisho/
長野県,伊那北高等学校,https://school.js88.com/scl_h/22026530/,396-8558,長野県 伊那市山寺2165,https://inakita.ed.jp/
長野県,諏訪実業高等学校,https://school.js88.com/scl_h/22026430/,392-0007,長野県 諏訪市清水3-3663-3,https://www.nagano-c.ed.jp/sjt-hs/
長野県,野沢北高等学校,https://school.js88.com/scl_h/22026370/,385-0053,長野県 佐久市野沢449-2,http://www.nagano-c.ed.jp/nokitahs/
長野県,飯田高等学校,https://school.js88.com/scl_h/22026570/,395-0004,長野県 飯田市上郷黒田450番地,https://iida-hs.net/
長野県,佐久平総合技術高等学校（浅間キャンパス）,https://school.js88.com/scl_h/22026350/,385-0022,長野県 佐久市岩村田991,http://www.nagano-c.ed.jp/ssg-hs
長野県,蓼科高等学校,https://school.js88.com/scl_h/22026300/,384-2305,長野県 北佐久郡立科町芦田3652,http://www.nagano-c.ed.jp/tatekou/
長野県,上田東高等学校,https://school.js88.com/scl_h/22026270/,386-8683,長野県 上田市常田3-5-68,https://www.nagano-c.ed.jp/uehs/
長野県,上伊那農業高等学校,https://school.js88.com/scl_h/22026510/,399-4594,長野県 上伊那郡南箕輪村9110,https://jono.ed.jp/
長野県,長野県高遠高等学校,https://school.js88.com/scl_h/22026520/,396-0293,長野県 伊那市高遠町小原824,https://takatohs.i-school.jp/
長野県,軽井沢高等学校,https://school.js88.com/scl_h/22026340/,389-0102,長野県 北佐久郡軽井沢町軽井沢1323-43,https://www.nagano-c.ed.jp/karui-hs/
長野県,岡谷南高等学校,https://school.js88.com/scl_h/22026470/,394-0034,長野県 岡谷市湖畔3-3-30,https://www.nagano-c.ed.jp/okanan/
長野県,小諸商業高等学校,https://school.js88.com/scl_h/22026320/,384-0028,長野県 小諸市田町3-1-1,https://kosho-hs.i-school.jp/
長野県,長野県岡谷東高等学校,https://school.js88.com/scl_h/22026460/,394-0033,長野県 岡谷市南宮2-1-17,https://sites.google.com/g.nagano-c.ed.jp/okahihs/
長野県,茅野高等学校,https://school.js88.com/scl_h/22026420/,391-8511,長野県 茅野市宮川11395,http://www.nagano-c.ed.jp/chino-hs/
長野県,長野県岩村田高等学校,https://school.js88.com/scl_h/22026360/,385-0022,長野県 佐久市岩村田1248-1,http://www.nagano-c.ed.jp/ganko/
長野県,諏訪二葉高等学校,https://school.js88.com/scl_h/22026450/,392-8549,長野県 諏訪市岡村2-13-28,http://www.nagano-c.ed.jp/futaba/
長野県,小海高等学校,https://school.js88.com/scl_h/22026400/,384-1105,長野県 南佐久郡小海町千代里1006-2,https://sites.google.com/view/koumi-hs
長野県,駒ケ根工業高等学校,https://school.js88.com/scl_h/22026560/,399-4117,長野県 駒ヶ根市赤穂14-2,http://www.nagano-c.ed.jp/komako/
長野県,辰野高等学校,https://school.js88.com/scl_h/22026490/,399-0428,長野県 上伊那郡辰野町大字伊那富3644-2,https://www.nagano-c.ed.jp/tatsukou/
長野県,小諸高等学校,https://school.js88.com/scl_h/22026330/,384-0023,長野県 小諸市東雲4丁目1-1,https://www.nagano-c.ed.jp/komorohs/
長野県,長野俊英高等学校,https://school.js88.com/scl_h/22026910/,388-8006,長野県 長野市篠ノ井御幣川1045,http://shinonoi-gakuen.ac.jp/nagano-shun_ei/
長野県,豊科高等学校,https://school.js88.com/scl_h/22026740/,399-8205,長野県 安曇野市豊科2341,https://www.nagano-c.ed.jp/toyoko/
長野県,田川高等学校,https://school.js88.com/scl_h/22026850/,399-0701,長野県 塩尻市広丘吉田2645,https://www.nagano-c.ed.jp/tagawahs/
長野県,松商学園高等学校,https://school.js88.com/scl_h/22026890/,390-8515,長野県 松本市県3-6-1,https://www.matsusho-h.ed.jp/
長野県,長野県飯田ＯＩＤＥ長姫高等学校,https://school.js88.com/scl_h/22026600/,395-0804,長野県 飯田市鼎名古熊2535-2,http://www.nagano-c.ed.jp/oideosa/
長野県,木曽青峰高等学校,https://school.js88.com/scl_h/22026830/,397-8571,長野県 木曽郡木曽町福島1827-2,http://www.nagano-c.ed.jp/seiho/
