都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
青森県,東奥学園高等学校（通信制）,https://school.js88.com/scl_h/34028538/,030-0821,青森県 青森市勝田2-11-1,https://www.toogakuen.ac.jp/tusin_katei/
青森県,下山学園高等学校,https://school.js88.com/scl_h/22027820/,037-0004,青森県 五所川原市大字唐笠柳字藤巻80,http://www.shimoyamagakuen.ed.jp
青森県,向陵高等学校,https://school.js88.com/scl_h/22027860/,031-0011,青森県 八戸市田向二丁目2-6,https://kouryo-high-school.com/
青森県,八戸学院光星高等学校,https://school.js88.com/scl_h/22027780/,031-8507,青森県 八戸市湊高台6-14-5,http://kh.hachinohe-u.ac.jp/
青森県,八戸工業大学第二高等学校,https://school.js88.com/scl_h/22027850/,031-8505,青森県 八戸市大字妙字大開67,http://www.kodai2-h.ed.jp/
青森県,Ｎ高等学校・Ｓ高等学校　青森キャンパス（通信制）,https://school.js88.com/scl_h/34056258/,030-0861,青森県 青森市長島2-13-1AQUA青森スクエアビル 1F,
青森県,松風塾高等学校,https://school.js88.com/scl_h/22027830/,039-3351,青森県 東津軽郡平内町外童子滝ノ沢37,http://www.shofujuku-hs.ed.jp/
青森県,八戸学院野辺地西高等学校,https://school.js88.com/scl_h/22027840/,039-3156,青森県 上北郡野辺地町枇杷野51-6,http://nh.hachinohe-u.ac.jp/
青森県,八戸聖ウルスラ学院高等学校,https://school.js88.com/scl_h/22027770/,039-1104,青森県 八戸市田面木上野平53-2,http://www.ursula.ac.jp/
青森県,青森山田高等学校,https://school.js88.com/scl_h/22027740/,030-8520,青森県 青森市青葉3丁目13番地40,https://www.aomoriyamada-hs.jp/
青森県,東奥学園高等学校,https://school.js88.com/scl_h/22027730/,030-0821,青森県 青森市勝田二丁目11番1号,http://www.toogakuen.ac.jp
青森県,仙台育英学園高等学校　ＩＬＣ青森（通信制）,https://school.js88.com/scl_h/34029585/,031-0823,青森県 八戸市湊高台3-2-2,https://www.sendaiikuei.ed.jp/ilc/
青森県,弘前学院聖愛高等学校,https://school.js88.com/scl_h/22027710/,036-8144,青森県 弘前市原ケ平山元112-21,https://seiai.ed.jp
青森県,弘前東高等学校,https://school.js88.com/scl_h/22027790/,036-8103,青森県 弘前市川先4-4-1,https://www.hirosakihigashi-th.ed.jp/
青森県,八戸北高等学校,https://school.js88.com/scl_h/22027160/,031-0833,青森県 八戸市大久保町道8-3,http://www.hachinohekita-h.asn.ed.jp/
青森県,野辺地高等学校,https://school.js88.com/scl_h/22021800/,039-3157,青森県 上北郡野辺地町松ノ木106-1,https://www.noheji-h.asn.ed.jp/
青森県,弘前南高等学校,https://school.js88.com/scl_h/22027050/,036-8247,青森県 弘前市大開4-1-1,https://www.hirosakiminami-h.asn.ed.jp
青森県,鰺ヶ沢高等学校,https://school.js88.com/scl_h/22027190/,038-2761,青森県 西津軽郡鯵ヶ沢町舞戸町小夜72,http://www.ajigasawa-h.asn.ed.jp
青森県,弘前高等学校,https://school.js88.com/scl_h/22027120/,036-8558,青森県 弘前市新寺町1-1,http://www.hirosaki-h.asn.ed.jp/
青森県,青森南高等学校,https://school.js88.com/scl_h/22027100/,030-0856,青森県 青森市西大野2-12-40,http://www.aomoriminami-h.asn.ed.jp
青森県,弘前中央高等学校,https://school.js88.com/scl_h/22027130/,036-8550,青森県 弘前市蔵主町7-1,https://www.hirosakichuo-h.asn.ed.jp/
青森県,八戸高等学校,https://school.js88.com/scl_h/22027140/,031-0021,青森県 八戸市長者4-4-1,https://www.hachinohe-h.asn.ed.jp/
青森県,青森高等学校,https://school.js88.com/scl_h/22027060/,030-0945,青森県 青森市桜川8-1-2,http://www.aomori-h.asn.ed.jp/
青森県,木造高等学校,https://school.js88.com/scl_h/22021790/,038-3193,青森県 つがる市木造日向73-2,http://www.kizukuri-h.asn.ed.jp/
青森県,青森北高等学校,https://school.js88.com/scl_h/22027090/,038-0058,青森県 青森市羽白字富田80-7,http://www.aomorikita-h.asn.ed.jp/
青森県,青森西高等学校,https://school.js88.com/scl_h/22027070/,038-0042,青森県 青森市新城平岡266-20,http://www.aomorinishi-h.asn.ed.jp/
青森県,八戸西高等学校,https://school.js88.com/scl_h/22027170/,039-1101,青森県 八戸市尻内町中根市14,https://www.hachinohenishi-h.asn.ed.jp
青森県,青森中央高等学校,https://school.js88.com/scl_h/22027110/,030-0847,青森県 青森市東大野1-22-1,http://www.aomorichuo-h.asn.ed.jp/
青森県,八戸東高等学校,https://school.js88.com/scl_h/22027150/,031-0001,青森県 八戸市類家1-4-47,http://www.hachinohehigashi-h.asn.ed.jp/
青森県,青森東高等学校,https://school.js88.com/scl_h/22027080/,030-0921,青森県 青森市原別3-1-1,https://www.aomorihigashi-h.asn.ed.jp/
青森県,東奥義塾高等学校,https://school.js88.com/scl_h/22027700/,036-8124,青森県 弘前市石川長者森61-1,http://www.gijuku.ac.jp/
青森県,三本木農業恵拓高等学校,https://school.js88.com/scl_h/22027410/,034-8578,青森県 十和田市相坂高清水78-92,http://www.sanbongi-ah.asn.ed.jp/
青森県,青森商業高等学校,https://school.js88.com/scl_h/22027500/,030-0951,青森県 青森市戸山字安原7-1,http://www.aomori-ch.asn.ed.jp/
