都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
静岡県,Ｎ高等学校・Ｓ高等学校　浜松キャンパス（通信制）,https://school.js88.com/scl_h/34056316/,430-0929,静岡県 浜松市中央区中央3-9-3UNビル3階,
静岡県,加藤学園暁秀高等学校,https://school.js88.com/scl_h/22009120/,410-0011,静岡県 沼津市岡宮中見代1361-1,http://www.katoh-net.ac.jp/GyoshuHS
静岡県,浜松修学舎高等学校,https://school.js88.com/scl_h/22009360/,430-0851,静岡県 浜松市中央区向宿2-20-1,https://www.shugakusha.ed.jp/
静岡県,飛鳥未来きずな高等学校　静岡キャンパス（通信制）,https://school.js88.com/scl_h/34031704/,420-0857,静岡県 静岡市葵区御幸町6静岡セントラルビル 8階,
静岡県,藤枝順心高等学校,https://school.js88.com/scl_h/22009310/,426-0067,静岡県 藤枝市前島2-3-1,https://fgjunshin.net
静岡県,オイスカ浜松国際高等学校,https://school.js88.com/scl_h/22009460/,431-1115,静岡県 浜松市中央区和地町5835,https://www.oisca.ed.jp
静岡県,清水国際高等学校,https://school.js88.com/scl_h/22009160/,424-0809,静岡県 静岡市清水区天神1-4-1,https://www.shimizu-kokusai.ac.jp/
静岡県,静岡西高等学校,https://school.js88.com/scl_h/22008850/,421-1221,静岡県 静岡市葵区牧ケ谷680-1,https://shizuokanishi-h.ed.jp/
静岡県,Ｎ高等学校・Ｓ高等学校　静岡沼津キャンパス（通信制）,https://school.js88.com/scl_h/34056318/,410-0801,静岡県 沼津市大手町1-1-3沼津産業ビル 8F,
静岡県,不二聖心女子学院高等学校,https://school.js88.com/scl_h/22009070/,410-1126,静岡県 裾野市桃園198,https://www.fujiseishin-jh.ed.jp/
静岡県,知徳高等学校,https://school.js88.com/scl_h/22009080/,411-0944,静岡県 駿東郡長泉町竹原354,https://mishima-hs.com/
静岡県,誠恵高等学校,https://school.js88.com/scl_h/22009430/,410-0058,静岡県 沼津市沼北町2-9-12,http://www.seikei-on.ac.jp/
静岡県,静岡県富士見高等学校,https://school.js88.com/scl_h/22009150/,416-8555,静岡県 富士市平垣町1-1,http://www.fujimi.ed.jp/
静岡県,常葉大学附属常葉高等学校,https://school.js88.com/scl_h/22009240/,420-8588,静岡県 静岡市葵区水落町1-30,https://www.tokoha.ac.jp/hs-tokoha/
静岡県,沼津中央高等学校,https://school.js88.com/scl_h/22009100/,410-0033,静岡県 沼津市杉崎町11-20,https://www.n-chuo.ac.jp/
