都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
香川県,Ｎ高等学校・Ｓ高等学校　高松キャンパス（通信制）,https://school.js88.com/scl_h/34056345/,760-0017,香川県 高松市番町1-6-1両備高松ビル3階,
香川県,香川誠陵高等学校,https://school.js88.com/scl_h/22043350/,761-8022,香川県 高松市鬼無町佐料469-1,https://k-seiryo.ed.jp/
香川県,尽誠学園高等学校,https://school.js88.com/scl_h/22043670/,765-0053,香川県 善通寺市生野町855-1,https://www.jinsei.ed.jp/
香川県,高松北高等学校,https://school.js88.com/scl_h/22043550/,761-0121,香川県 高松市牟礼町牟礼1583-1,http://www.kagawa-edu.jp/kitah01/top.htm
香川県,坂出高等学校,https://school.js88.com/scl_h/22043380/,762-0031,香川県 坂出市文京町2-1-5,http://www.kagawa-edu.jp/sakadh01/
香川県,笠田高等学校,https://school.js88.com/scl_h/22043490/,769-1503,香川県 三豊市豊中町笠田竹田251,https://www.kagawa-edu.jp/kasadh02/
香川県,高松西高等学校,https://school.js88.com/scl_h/22043540/,761-8025,香川県 高松市鬼無町山口257-1,https://www.kagawa-edu.jp/twesth01/
香川県,三本松高等学校,https://school.js88.com/scl_h/22043260/,769-2601,香川県 東かがわ市三本松1500-1,https://www.kagawa-edu.jp/sankoh01/
香川県,琴平高等学校,https://school.js88.com/scl_h/22043470/,766-0002,香川県 仲多度郡琴平町142-2,https://www.kagawa-edu.jp/kohtoh01/
香川県,香川県立津田高等学校,https://school.js88.com/scl_h/22043270/,769-2401,香川県 さぬき市津田町津田1632-1,https://www.kagawa-edu.jp/tsudah02/
香川県,高松第一高等学校,https://school.js88.com/scl_h/22043530/,760-0074,香川県 高松市桜町2-5-10,http://www.taka-ichi-h.ed.jp/
香川県,坂出工業高等学校,https://school.js88.com/scl_h/22043400/,762-0051,香川県 坂出市御供所町1-1-2,https://www.kagawa-edu.jp/sakakh02/connect/
香川県,高松南高等学校,https://school.js88.com/scl_h/22043340/,761-8084,香川県 高松市一宮町531,https://www.kagawa-edu.jp/minamh02/
香川県,高松工芸高等学校,https://school.js88.com/scl_h/22043320/,760-0017,香川県 高松市番町2-9-30,http://www.kagawa-edu.jp/kogeih01/
香川県,農業経営高等学校,https://school.js88.com/scl_h/22043360/,761-2395,香川県 綾歌郡綾川町北1023-1,https://www.kagawa-edu.jp/nokeih01/
香川県,石田高等学校,https://school.js88.com/scl_h/22043280/,769-2321,香川県 さぬき市寒川町石田東甲1065,https://www.kagawa-edu.jp/isidah02/
香川県,小豆島中央高等学校,https://school.js88.com/scl_h/22043240/,761-4302,香川県 小豆郡小豆島町蒲生甲1001番地,https://www.kagawa-edu.jp/syochuh02/
香川県,観音寺第一高等学校,https://school.js88.com/scl_h/22043500/,768-0069,香川県 観音寺市茂木町4丁目2番38号,https://www.kagawa-edu.jp/kanich02/
