都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
高知県,土佐高等学校,https://school.js88.com/scl_h/22044650/,780-8014,高知県 高知市塩屋崎町1-1-10,https://www.tosa.ed.jp/
高知県,土佐塾高等学校,https://school.js88.com/scl_h/22044710/,780-8026,高知県 高知市北中山85,https://www.tosajuku.ed.jp/
高知県,高知学芸高等学校,https://school.js88.com/scl_h/22044690/,780-8084,高知県 高知市槙山町11-12,https://www.kochi-gakugei.ed.jp/index.html
高知県,高知東高等学校,https://school.js88.com/scl_h/22044420/,781-8133,高知県 高知市一宮徳谷23-1,http://www.kochinet.ed.jp/higashi-h/
高知県,須崎総合高等学校,https://school.js88.com/scl_h/22044520/,785-0030,高知県 須崎市多ノ郷甲4167-3,https://www.kochinet.ed.jp/susakisogo-h/
高知県,大方高等学校（定時制）,https://school.js88.com/scl_h/22044560/,789-1931,高知県 幡多郡黒潮町入野5507,http://www.kochinet.ed.jp/ogatasho-h/
高知県,宿毛高等学校,https://school.js88.com/scl_h/22021590/,788-0008,高知県 宿毛市与市明5-82,https://sites.google.com/g.kochinet.ed.jp/sukumo-h/%E3%83%9B%E3%83%BC%E3%83%A0
高知県,高岡高等学校,https://school.js88.com/scl_h/22044490/,781-1101,高知県 土佐市高岡町甲2200,http://www.kochinet.ed.jp/takaoka-h/
高知県,中村高等学校,https://school.js88.com/scl_h/22021610/,787-0003,高知県 四万十市中村丸の内24,https://www.kochinet.ed.jp/kennakamura-jh/mt/kou/index.html
高知県,四万十高等学校,https://school.js88.com/scl_h/22044550/,786-0301,高知県 高岡郡四万十町大正590-1,https://www.kochinet.ed.jp/shimanto-h/mt/index.html
高知県,高知小津高等学校,https://school.js88.com/scl_h/22044440/,780-0916,高知県 高知市城北町1-14,http://www.kochinet.ed.jp/ozu-h/
高知県,山田高等学校,https://school.js88.com/scl_h/22044370/,782-0033,高知県 香美市土佐山田町旭町3-1-3,https://www.kochinet.ed.jp/yamada-h/index.html
高知県,安芸高等学校,https://school.js88.com/scl_h/22044350/,784-0026,高知県 安芸市桜ヶ丘町784,https://sites.google.com/g.kochinet.ed.jp/aki-jh
高知県,嶺北高等学校,https://school.js88.com/scl_h/22044390/,781-3601,高知県 長岡郡本山町本山727,http://www.kochinet.ed.jp/reihoku-h/
高知県,高知農業高等学校,https://school.js88.com/scl_h/22044400/,783-0024,高知県 南国市東崎957-1,http://www.kochinet.ed.jp/nogyo-h/
高知県,高知追手前高等学校・吾北分校,https://school.js88.com/scl_h/22022390/,781-2401,高知県 吾川郡いの町上八川甲2075-1,https://www.kochinet.ed.jp/gohoku-h/mt/
高知県,高知追手前高等学校,https://school.js88.com/scl_h/22021580/,780-0842,高知県 高知市追手筋2-2-10,http://tokeidai.jpn.org/pc/index.php
高知県,梼原高等学校,https://school.js88.com/scl_h/22044530/,785-0610,高知県 高岡郡檮原町梼原1262,https://www.kochinet.ed.jp/yusuhara-h/
高知県,窪川高等学校,https://school.js88.com/scl_h/22044540/,786-0012,高知県 高岡郡四万十町北琴平町6-1,http://www.kochinet.ed.jp/kubokawa-h/
高知県,中芸高等学校（多部制・単位制）,https://school.js88.com/scl_h/22044330/,781-6410,高知県 安芸郡田野町1203-4,https://sites.google.com/g.kochinet.ed.jp/chugei-h
高知県,春野高等学校,https://school.js88.com/scl_h/22044480/,781-0303,高知県 高知市春野町弘岡下3860,https://www.kochinet.ed.jp/haruno-h/
高知県,中村高等学校・西土佐分校,https://school.js88.com/scl_h/22022430/,787-1612,高知県 四万十市西土佐津野川223,http://www.kochinet.ed.jp/nishitosa-h/
高知県,伊野商業高等学校,https://school.js88.com/scl_h/22044470/,781-2110,高知県 吾川郡いの町332-1,http://www.kochinet.ed.jp/inosho-h/
高知県,高知丸の内高等学校,https://school.js88.com/scl_h/22044430/,780-0850,高知県 高知市丸ノ内2-2-40,https://www.kochinet.ed.jp/maruno-h/
高知県,城山高等学校,https://school.js88.com/scl_h/22044360/,781-5310,高知県 香南市赤岡町1612,https://www.kochinet.ed.jp/shiroyama-h/
高知県,高知工業高等学校,https://school.js88.com/scl_h/22044460/,780-8010,高知県 高知市桟橋通り2丁目11-6,http://www.kochinet.ed.jp/kochikogyo-h/
高知県,高知東工業高等学校,https://school.js88.com/scl_h/22044410/,783-0006,高知県 南国市篠原1590,https://www.kochinet.ed.jp/higashikogyo-h/
高知県,高知国際高等学校,https://school.js88.com/scl_h/22044450/,780-8052,高知県 高知市鴨部2-5-70,https://sites.google.com/g.kochinet.ed.jp/kokusai-jh
高知県,佐川高等学校,https://school.js88.com/scl_h/22044500/,789-1202,高知県 高岡郡佐川町乙1789-5,https://www.kochinet.ed.jp/sakawa-h/mt/
高知県,室戸高等学校,https://school.js88.com/scl_h/22044320/,781-7102,高知県 室戸市室津221,https://www.kochinet.ed.jp/muroto-h/mt/index.html
高知県,高知東工業高等学校（定時制）,https://school.js88.com/scl_h/22106290/,783-0006,高知県 南国市篠原1590,http://www.kochinet.ed.jp/higashikogyo-h/
高知県,高知北高等学校（定時制）,https://school.js88.com/scl_h/22108550/,780-8039,高知県 高知市東石立町160,http://www.kochinet.ed.jp/kita-h/
高知県,高知県立大方高等学校,https://school.js88.com/scl_h/34045080/,789-1931,高知県 幡多郡黒潮町入野５５０７,https://www.kochinet.ed.jp/ogata-h/
高知県,高知県立宿毛工業高等学校,https://school.js88.com/scl_h/22044580/,788-0783,高知県 宿毛市平田町戸内2272-2,https://www.kochinet.ed.jp/sukumokogyo-h/
高知県,高知商業高等学校（定時制）,https://school.js88.com/scl_h/22106380/,780-0947,高知県 高知市大谷6,http://www.kochinet.ed.jp/kochisho-h/teiji/
高知県,清水高等学校,https://school.js88.com/scl_h/22044590/,787-0336,高知県 土佐清水市清水ヶ丘26-22,https://sites.google.com/g.kochinet.ed.jp/shimizu-h/
高知県,大方高等学校（通信制）,https://school.js88.com/scl_h/34028529/,789-1931,高知県 幡多郡黒潮町入野5507,http://www.kochinet.ed.jp/ogata-h/
高知県,高岡高等学校（定時制）,https://school.js88.com/scl_h/22106310/,781-1101,高知県 土佐市高岡町甲2200,http://www.kochinet.ed.jp/takaoka-h/
高知県,清和女子高等学校,https://school.js88.com/scl_h/22044680/,783-0007,高知県 南国市明見98,http://seiwa-girl.ed.jp/
高知県,土佐女子高等学校,https://school.js88.com/scl_h/22044660/,780-0842,高知県 高知市追手筋2-3-1,https://www.tosajoshi-jh.ed.jp/
高知県,明徳義塾高等学校,https://school.js88.com/scl_h/22044700/,785-0195,高知県 須崎市浦の内下中山160,https://www.meitoku-gijuku.ed.jp/
高知県,室戸高等学校（定時制）,https://school.js88.com/scl_h/22106250/,781-7102,高知県 室戸市室津221,http://www.kochinet.ed.jp/muroto-h/teizi.html
高知県,高知商業高等学校,https://school.js88.com/scl_h/22044600/,780-0947,高知県 高知市大谷6,https://www.city.kochi.kochi.jp/deeps/88/kochisho-h/
高知県,幡多農業高等学校,https://school.js88.com/scl_h/22044570/,787-0010,高知県 四万十市古津賀3711,https://www.kochinet.ed.jp/hatanogyo-h/
高知県,高知北高等学校（通信制）,https://school.js88.com/scl_h/24000751/,780-8039,高知県 高知市東石立町160,http://www.kochinet.ed.jp/kita-h/
高知県,太平洋学園高等学校（通信制）,https://school.js88.com/scl_h/24000991/,780-0061,高知県 高知市栄田町1-3-8,http://www.taiheiyo.ed.jp/
高知県,高知中央高等学校,https://school.js88.com/scl_h/22044640/,781-5103,高知県 高知市大津乙324-1,https://www.kochi-chuo.ed.jp/
高知県,清水高等学校（定時制）,https://school.js88.com/scl_h/22106370/,787-0336,高知県 土佐清水市加久見893-1,http://www.kochinet.ed.jp/shimizu-h/
高知県,岡豊高等学校,https://school.js88.com/scl_h/22044610/,783-0049,高知県 南国市岡豊町中島511-1,https://www.kochinet.ed.jp/oko-h/
高知県,宿毛高等学校（定時制）,https://school.js88.com/scl_h/22106360/,788-0008,高知県 宿毛市与市明5-82,http://www.kochinet.ed.jp/sukumo-h/
高知県,高知工業高等学校（定時制）,https://school.js88.com/scl_h/22106300/,780-8010,高知県 高知市桟橋通2-11-6,http://www.kochinet.ed.jp/kochikogyo-h/
高知県,高知高等学校,https://school.js88.com/scl_h/22044670/,780-0956,高知県 高知市北端町100,https://www.kochigakuen.jp/
