都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
鳥取県,鳥取緑風高等学校（定時制）,https://school.js88.com/scl_h/22105330/,680-0945,鳥取県 鳥取市湖山町南3-848,http://www.torikyo.ed.jp/ryokufu-h/
鳥取県,鳥取中央育英高等学校,https://school.js88.com/scl_h/22032070/,689-2295,鳥取県 東伯郡北栄町由良宿291-1,http://www.tottori-ikuei.jp/
鳥取県,鳥取城北高等学校,https://school.js88.com/scl_h/22032210/,680-0811,鳥取県 鳥取市西品治848,https://www.tottori-johoku.ed.jp/
鳥取県,米子北斗高等学校,https://school.js88.com/scl_h/22032250/,683-0851,鳥取県 米子市夜見町50,https://www.yonagohokuto.ed.jp/
鳥取県,青谷高等学校,https://school.js88.com/scl_h/22031930/,689-0595,鳥取県 鳥取市青谷町青谷2912,https://www.torikyo.ed.jp/aoya-h/
鳥取県,日野高等学校,https://school.js88.com/scl_h/22032190/,689-4503,鳥取県 日野郡日野町根雨310,https://www.torikyo.ed.jp/hino-h/
鳥取県,鳥取東高等学校,https://school.js88.com/scl_h/22031940/,680-0061,鳥取県 鳥取市立川町5-210,http://www.torikyo.ed.jp/torie-h/
鳥取県,米子松蔭高等学校,https://school.js88.com/scl_h/22032240/,689-3541,鳥取県 米子市二本木316-1,https://www.yonagoshoin.ed.jp/
鳥取県,米子西高等学校,https://school.js88.com/scl_h/22032100/,683-8512,鳥取県 米子市大谷町200,http://www.torikyo.ed.jp/yonagow-h/
鳥取県,倉吉東高等学校,https://school.js88.com/scl_h/22032020/,682-0812,鳥取県 倉吉市下田中町801,https://www.torikyo.ed.jp/kurae-h/
鳥取県,米子東高等学校（定時制）,https://school.js88.com/scl_h/22105360/,683-0051,鳥取県 米子市勝田町1,http://www.torikyo.ed.jp/yonagoe-h/
鳥取県,岩美高等学校,https://school.js88.com/scl_h/22032000/,681-0003,鳥取県 岩美郡岩美町浦富708-2,https://www.torikyo.ed.jp/iwami-h/
鳥取県,倉吉西高等学校,https://school.js88.com/scl_h/22032030/,682-0925,鳥取県 倉吉市秋喜20,https://www.torikyo.ed.jp/kuraw-h/
鳥取県,倉吉農業高等学校,https://school.js88.com/scl_h/22032040/,682-0941,鳥取県 倉吉市大谷166,https://www.torikyo.ed.jp/kurano-h/
鳥取県,鳥取西高等学校,https://school.js88.com/scl_h/22031950/,680-0011,鳥取県 鳥取市東町2-112,http://www.torikyo.ed.jp/toriw-h/
鳥取県,智頭農林高等学校,https://school.js88.com/scl_h/22031920/,689-1402,鳥取県 八頭郡智頭町智頭711-1,http://cmsweb2.torikyo.ed.jp/tizuno-h/
鳥取県,倉吉北高等学校,https://school.js88.com/scl_h/22032220/,682-0018,鳥取県 倉吉市福庭町1-180,https://www.kurayoshikita-h.ed.jp/
鳥取県,米子北高等学校,https://school.js88.com/scl_h/22032230/,683-0804,鳥取県 米子市米原6-14-1,https://www.yonagokita.ed.jp/
鳥取県,鳥取湖陵高等学校,https://school.js88.com/scl_h/22031980/,680-0941,鳥取県 鳥取市湖山町北3-250,http://www.torikyo.ed.jp/koryou-h/
鳥取県,境高等学校,https://school.js88.com/scl_h/22032150/,684-8601,鳥取県 境港市上道町3030,http://www.torikyo.ed.jp/sakai-h/
鳥取県,鳥取商業高等学校,https://school.js88.com/scl_h/22031960/,680-0941,鳥取県 鳥取市湖山町北2-401,http://cmsweb2.torikyo.ed.jp/torisyo-h/
鳥取県,米子工業高等学校,https://school.js88.com/scl_h/22032130/,683-0052,鳥取県 米子市博労町4-220,http://www.torikyo.ed.jp/yonagoko-h/
鳥取県,米子東高等学校,https://school.js88.com/scl_h/22032090/,683-0051,鳥取県 米子市勝田町1,https://www.torikyo.ed.jp/yonagoe-h/
鳥取県,八頭高等学校,https://school.js88.com/scl_h/22032010/,680-0492,鳥取県 八頭郡八頭町久能寺725,https://www.torikyo.ed.jp/yazu-h/
鳥取県,米子南高等学校,https://school.js88.com/scl_h/22032120/,683-0033,鳥取県 米子市長砂町216,http://www.torikyo.ed.jp/yonagom-h/
鳥取県,倉吉総合産業高等学校,https://school.js88.com/scl_h/22032060/,682-0044,鳥取県 倉吉市小田204-5,https://www.torikyo.ed.jp/sousan-h/
鳥取県,倉吉東高等学校（定時制）,https://school.js88.com/scl_h/22105350/,682-0812,鳥取県 倉吉市下田中町801,http://www.torikyo.ed.jp/kurae-h/
鳥取県,米子高等学校,https://school.js88.com/scl_h/22032110/,683-0023,鳥取県 米子市橋本30-1,http://www.torikyo.ed.jp/yonago-h/
鳥取県,鳥取敬愛高等学校,https://school.js88.com/scl_h/22032200/,680-0022,鳥取県 鳥取市西町1-111,https://t-ki.jp/
鳥取県,鳥取工業高等学校,https://school.js88.com/scl_h/22031970/,689-1103,鳥取県 鳥取市生山111,http://www.torikyo.ed.jp/toriko-h/
鳥取県,米子白鳳高等学校（通信制）,https://school.js88.com/scl_h/34028531/,689-3411,鳥取県 米子市淀江町福岡24,http://www.torikyo.ed.jp/hakuhou-h/index.html
鳥取県,米子白鳳高等学校（定時制）,https://school.js88.com/scl_h/34028532/,689-3411,鳥取県 米子市淀江町福岡24,http://cmsweb2.torikyo.ed.jp/hakuhou-h/
鳥取県,境港総合技術高等学校,https://school.js88.com/scl_h/34028625/,684-0043,鳥取県 境港市竹内町925番地,http://www.torikyo.ed.jp/sakaisogo-h/
鳥取県,鳥取緑風高等学校（通信制）,https://school.js88.com/scl_h/24000391/,680-0945,鳥取県 鳥取市湖山町南3-250,http://www.torikyo.ed.jp/ryokufu-h/
鳥取県,湯梨浜学園高等学校,https://school.js88.com/scl_h/34028652/,689-0727,鳥取県 東伯郡湯梨浜町田畑32-1,https://www.yurihamagakuen.ac.jp/
鳥取県,青翔開智高等学校,https://school.js88.com/scl_h/34029974/,680-8066,鳥取県 鳥取市国府町新通り3-301-2,https://seishokaichi.jp/
