都道府県,高校名,高校ページURL,郵便番号,住所,学校独自URL
鹿児島県,鹿児島修学館高等学校,https://school.js88.com/scl_h/34025103/,890-0023,鹿児島県 鹿児島市永吉2-9-1,https://www.shugakukan.ed.jp/
鹿児島県,出水中央高等学校,https://school.js88.com/scl_h/22020590/,899-0213,鹿児島県 出水市西出水町448,https://izumi.ac.jp/
鹿児島県,池田高等学校,https://school.js88.com/scl_h/22020660/,890-0033,鹿児島県 鹿児島市西別府町1680,https://ikeda-gakuen.ed.jp/
鹿児島県,鳳凰高等学校,https://school.js88.com/scl_h/22020550/,897-1121,鹿児島県 南さつま市加世田唐仁原1202,https://www.hooh.ed.jp/
鹿児島県,志學館高等部,https://school.js88.com/scl_h/22020650/,890-0069,鹿児島県 鹿児島市南郡元町32-1,https://www.jh.shigakukan.ac.jp/
鹿児島県,Ｎ高等学校・Ｓ高等学校　鹿児島キャンパス（通信制）,https://school.js88.com/scl_h/34056356/,892-0844,鹿児島県 鹿児島市山之口町1-30出原ビル2階,
鹿児島県,大口明光学園高等学校,https://school.js88.com/scl_h/22020600/,895-2511,鹿児島県 伊佐市大口里1830,https://www.okuchimeiko.ac.jp/
鹿児島県,尚志館高等学校,https://school.js88.com/scl_h/22020640/,899-7104,鹿児島県 志布志市志布志町安楽6200-1,https://www.shoshikan.ed.jp/
鹿児島県,鹿児島純心女子高等学校,https://school.js88.com/scl_h/22020510/,890-8522,鹿児島県 鹿児島市唐湊4-22-2,https://www.k-junshin.ed.jp/
鹿児島県,鹿屋農業高等学校,https://school.js88.com/scl_h/22020180/,893-0014,鹿児島県 鹿屋市寿2-17-5,http://www.edu.pref.kagoshima.jp/sh/Kanoya-A/
鹿児島県,隼人工業高等学校,https://school.js88.com/scl_h/22020080/,899-5106,鹿児島県 霧島市隼人町内山田1-6-20,http://www.edu.pref.kagoshima.jp/sh/Hayato/
鹿児島県,楠隼高等学校,https://school.js88.com/scl_h/34029704/,893-1206,鹿児島県 肝属郡肝付町前田5025,http://www.edu.pref.kagoshima.jp/sh/nansyun/
鹿児島県,れいめい高等学校,https://school.js88.com/scl_h/22020570/,895-0041,鹿児島県 薩摩川内市隈之城町2205,https://www.reimei.ed.jp/
鹿児島県,加世田高等学校,https://school.js88.com/scl_h/22019810/,897-0003,鹿児島県 南さつま市加世田川畑3200,http://www.edu.pref.kagoshima.jp/sh/kaseda/
鹿児島県,山川高等学校,https://school.js88.com/scl_h/22019680/,891-0516,鹿児島県 指宿市山川成川3423,http://www.edu.pref.kagoshima.jp/sh/yamagawa/
鹿児島県,頴娃高等学校,https://school.js88.com/scl_h/22019690/,891-0702,鹿児島県 南九州市頴娃町牧之内2000,http://www.edu.pref.kagoshima.jp/sh/ei/
鹿児島県,川辺高等学校,https://school.js88.com/scl_h/22019830/,897-0221,鹿児島県 南九州市川辺町田部田4150,http://www.edu.pref.kagoshima.jp/sh/Kawanabe/top.html
鹿児島県,鹿児島工業高等学校,https://school.js88.com/scl_h/22019760/,890-0014,鹿児島県 鹿児島市草牟田2-57-1,http://www.edu.pref.kagoshima.jp/sh/Kagoshima-T/top.html
鹿児島県,明桜館高等学校,https://school.js88.com/scl_h/22019740/,891-1105,鹿児島県 鹿児島市郡山町100,http://www.edu.pref.kagoshima.jp/sh/Meiokan/
鹿児島県,鹿児島南高等学校,https://school.js88.com/scl_h/22019770/,891-0141,鹿児島県 鹿児島市谷山中央八丁目4-1,http://www.edu.pref.kagoshima.jp/sh/Minami/
鹿児島県,枕崎高等学校,https://school.js88.com/scl_h/22019780/,898-0052,鹿児島県 枕崎市岩崎町3,http://www.edu.pref.kagoshima.jp/sh/Makurazaki/
鹿児島県,鶴丸高等学校,https://school.js88.com/scl_h/22019700/,890-8502,鹿児島県 鹿児島市薬師2-1-1,https://www.edu.pref.kagoshima.jp/sh/tsurumaru/
鹿児島県,指宿高等学校,https://school.js88.com/scl_h/22019670/,891-0402,鹿児島県 指宿市十町236,http://www.edu.pref.kagoshima.jp/sh/Ibusuki/
鹿児島県,錦江湾高等学校,https://school.js88.com/scl_h/22019730/,891-0133,鹿児島県 鹿児島市平川町4047,http://www.edu.pref.kagoshima.jp/sh/kinkowan/
鹿児島県,甲南高等学校,https://school.js88.com/scl_h/22019710/,890-0052,鹿児島県 鹿児島市上之園町23-1,http://konan.edu.pref.kagoshima.jp/
鹿児島県,加世田常潤高等学校,https://school.js88.com/scl_h/22019820/,897-0002,鹿児島県 南さつま市加世田武田14863,http://www.edu.pref.kagoshima.jp/sh/kasedajojun/
鹿児島県,鹿児島東高等学校,https://school.js88.com/scl_h/22019750/,892-0861,鹿児島県 鹿児島市東坂元3-28-1,http://www.edu.pref.kagoshima.jp/sh/Higashi/home.html
鹿児島県,鹿児島水産高等学校,https://school.js88.com/scl_h/22019790/,898-0083,鹿児島県 枕崎市板敷南町650,http://www.edu.pref.kagoshima.jp/sh/Kagoshima-F/top.html
鹿児島県,薩南工業高等学校,https://school.js88.com/scl_h/22019840/,897-0302,鹿児島県 南九州市知覧町郡5232,http://www.edu.pref.kagoshima.jp/sh/satsunan/
鹿児島県,鹿児島中央高等学校,https://school.js88.com/scl_h/22019720/,892-0846,鹿児島県 鹿児島市加治屋町10-1,https://chuo.edu.pref.kagoshima.jp/
