高校名,学校独自URL,生徒数,国公立合格者数,合格率
東明館高等学校,https://www.tomeikan.ed.jp/,-,-,-
弘学館高等学校,https://www.kogakukan.ac.jp/,-,-,-
佐賀農業高等学校,https://www.education.saga.jp/hp/saganougyoukoukou/,-,-,-
敬徳高等学校,https://keitoku.ed.jp/,-,-,-
龍谷高等学校,https://www.sagaryukoku.ed.jp/hsc/,-,-,-
佐賀清和高等学校,https://sagaseiwa.com/highschool/,-,-,-
敬徳高等学校（通信制）,https://keitoku.ed.jp/,-,-,-
神埼高等学校,https://www.education.saga.jp/hp/kanzakikoukou/,-,-,-
佐賀工業高等学校,http://cms.saga-ed.jp/hp/sagakougyoukoukou/,-,-,-
佐賀北高等学校,http://cms.saga-ed.jp/hp/sagakitakoukou/,-,-,-
佐賀東高等学校,https://www.education.saga.jp/hp/sagahigashikoukou/,-,-,-
太良高等学校,http://cms.saga-ed.jp/hp/tarakoukou/home/homeMain.do,-,-,-
武雄高等学校,https://www.education.saga.jp/hp/takeokoukou,-,-,-
小城高等学校,https://www.education.saga.jp/hp/ogikoukou/,-,-,-
鹿島高等学校,http://cms.saga-ed.jp/hp/kashimakoukou/,-,-,-
鳥栖高等学校,https://www.education.saga.jp/hp/tosukoukou/,-,-,-
唐津東高等学校,https://www.education.saga.jp/hp/karatsuhigashikoukou/,-,-,-
佐賀西高等学校,https://www.education.saga.jp/hp/saganishikoukou/,-,-,-
伊万里高等学校,https://www.education.saga.jp/hp/imarikoukou/,-,-,-
伊万里実業高等学校（農林キャンパス）,https://www.education.saga.jp/hp/imarijitsugyoukoukou/,-,-,-
唐津西高等学校,https://www.education.saga.jp/hp/karatsunishikoukou/,-,-,-
神埼清明高等学校,https://www.education.saga.jp/hp/kanzakiseimeikoukou/,-,-,-
白石高等学校,https://www.education.saga.jp/hp/shiroishikoukou-n/,-,-,-
牛津高等学校,https://www.education.saga.jp/hp/ushidukoukou/,-,-,-
高志館高等学校,http://cms.saga-ed.jp/hp/koushikankoukou/,-,-,-
三養基高等学校,https://www.education.saga.jp/hp/miyakikoukou/,-,-,-
唐津青翔高等学校,https://www.education.saga.jp/hp/karatsuseishoukoukou/,-,-,-
唐津南高等学校,https://www.education.saga.jp/hp/karatsuminamikoukou/,-,-,-
厳木高等学校,https://www.education.saga.jp/hp/kyuuragikoukou/,-,-,-
北陵高等学校,https://www.hokuryo.ac.jp/,-,-,-
有田工業高等学校,https://www.education.saga.jp/hp/aritakougyoukoukou/,-,-,-
早稲田大学系属　早稲田佐賀高等学校,https://www.wasedasaga.jp/,-,-,-
唐津工業高等学校,http://cms.saga-ed.jp/hp/karatsukougyoukoukou/,-,-,-
鳥栖工業高等学校（定時制）,http://cms.saga-ed.jp/hp/tosukougyoukoukou-p,-,-,-
鳥栖商業高等学校,http://cms.saga-ed.jp/hp/tosushougyoukoukou,-,-,-
唐津商業高等学校,https://www.education.saga.jp/hp/karatsushougyoukoukou/,-,-,-
致遠館高等学校,https://www.education.saga.jp/hp/chienkankoukou,-,-,-
佐賀女子短期大学付属佐賀女子高等学校,https://www.asahigakuen.ac.jp/sagajoshikou/,-,-,-
多久高等学校,https://www.education.saga.jp/hp/takukoukou/,-,-,-
鳥栖工業高等学校,https://www.education.saga.jp/hp/tosukougyoukoukou/,-,-,-
伊万里実業高等学校（商業キャンパス）,https://www.education.saga.jp/hp/imarijitsugyoukoukou/,-,-,-
佐賀北高等学校（通信制）,http://cms.saga-ed.jp/hp/sagakitakoukou-c/,-,-,-
嬉野高等学校 塩田校舎（工業科キャンパス）,https://www.education.saga.jp/hp/ureshinokoukou-n/,-,-,-
唐津商業高等学校（定時制）,http://cms.saga-ed.jp/hp/karatsushougyoukoukou-p/,-,-,-
佐賀工業高等学校（定時制）,http://cms.saga-ed.jp/hp/sagakougyoukoukou-p/,-,-,-
嬉野高等学校 嬉野校舎 総合学科キャンパス,https://www.education.saga.jp/hp/ureshinokoukou-n/,-,-,-
佐賀商業高等学校（定時制）,http://cms.saga-ed.jp/hp/sagashougyoukoukou-p,-,-,-
佐賀学園高等学校,https://www.sagagakuen.ed.jp/,-,-,-
有田工業高等学校（定時制）,http://cms.saga-ed.jp/hp/aritakougyoukoukou-p,-,-,-
佐賀商業高等学校,https://www.education.saga.jp/hp/sagashougyoukoukou/,-,-,-
