高校名,学校独自URL,生徒数,国公立合格者数,合格率
智辯学園和歌山高等学校,https://www.chiben.ac.jp/wakayama/,-,-,-
開智高等学校,https://www.kaichi.ed.jp/,-,170,-
高野山高等学校,https://www.koyasan-h.ed.jp,-,-,-
初芝橋本高等学校,http://www.hatsushiba.ed.jp/hatsuhashi/,-,-,-
近畿大学附属和歌山高等学校,https://www.hwaka.kindai.ac.jp,7,-,-
串本古座高等学校,https://www.kushimoto-h.wakayama-c.ed.jp/,-,-,-
紀北工業高等学校,https://www.kihoku-th.wakayama-c.ed.jp/,-,-,-
南紀高等学校（昼間定時制・夜間定時制・通信制）,https://www.nanki-h.wakayama-c.ed.jp/,-,-,-
笠田高等学校,https://www.kaseda-h.wakayama-c.ed.jp/,-,-,-
耐久高等学校,http://www.taikyu-h.wakayama-c.ed.jp/,-,-,-
桐蔭高等学校,https://www.toin-h.wakayama-c.ed.jp,-,-,-
和歌山東高等学校,https://www.wakayamahigashi-h.wakayama-c.ed.jp,-,-,-
和歌山商業高等学校,https://www.wakayama-ch.wakayama-c.ed.jp/,-,-,-
和歌山工業高等学校,https://www.wakayama-th.wakayama-c.ed.jp/,2025,-,-
粉河高等学校,https://www.kokawa-h.wakayama-c.ed.jp/,2025,-,-
橋本高等学校,https://www.hashimoto-h.wakayama-c.ed.jp/,4,-,-
新宮高等学校,https://www.shingu-h.wakayama-c.ed.jp/,-,-,-
新翔高等学校,https://www.shinsho-h.wakayama-c.ed.jp/,-,-,-
向陽高等学校,https://www.koyo-h.wakayama-c.ed.jp/,-,-,-
田辺工業高等学校,http://www.tanabe-th.wakayama-c.ed.jp/,-,-,-
那賀高等学校,https://www.naga-h.wakayama-c.ed.jp/,-,-,-
神島高等学校,https://www.tanabe-ch.wakayama-c.ed.jp/,-,-,-
箕島高等学校,https://www.minoshima-h.wakayama-c.ed.jp/,-,-,-
和歌山北高等学校北校舎,http://www.wakayamakita-h.wakayama-c.ed.jp/,-,-,-
和歌山県立田辺高等学校,https://www.tanabe-h.wakayama-c.ed.jp/,-,-,-
星林高等学校,https://www.seirin-h.wakayama-c.ed.jp/index.html,-,-,-
紀央館高等学校,https://www.kiokan-h.wakayama-c.ed.jp/,-,-,-
熊野高等学校,https://www.kumano-h.wakayama-c.ed.jp/,-,-,-
貴志川高等学校,https://www.kishigawa-h.wakayama-c.ed.jp/,-,-,-
日高高等学校・中津分校,https://www.hidaka-h-b.wakayama-c.ed.jp/,-,-,-
きのくに青雲高等学校（定時制）,http://www.seiun-h.wakayama-c.ed.jp/,-,-,-
和歌山県立和歌山高等学校,https://www.wakayama-h.wakayama-c.ed.jp/,-,-,-
りら創造芸術高等学校,https://www.lyra-art.jp/,-,-,-
粉河高等学校（定時制）,http://www.kokawa-h.wakayama-c.ed.jp/,2025,-,-
日高高等学校,https://www.hidaka-h.wakayama-c.ed.jp/,-,-,-
海南高等学校・大成校舎,http://www.taisei-h.wakayama-c.ed.jp/,-,-,-
有田中央高等学校,http://www.aridachuo-h.wakayama-c.ed.jp/,-,-,-
有田中央高等学校・清水分校,https://www.aridachuo-h-b.wakayama-c.ed.jp/,-,-,-
紀北農芸高等学校,https://www.kihokunougei-ah.wakayama-c.ed.jp/,-,-,-
伊都中央高等学校（通信制）,http://www.itochuo-h.wakayama-c.ed.jp/,-,-,-
伊都中央高等学校（定時制）,http://www.itochuo-h.wakayama-c.ed.jp/,-,-,-
和歌山南陵高等学校,http://w-nanryo.ed.jp/,-,-,-
和歌山市立和歌山高等学校（定時制）,http://www.ichiko-wakayama.ed.jp/~teijisei/,-,-,-
和歌山信愛高等学校,https://www.shin-ai.ac.jp/,-,17,-
新宮高等学校（定時制）,http://www.shingu-h.wakayama-c.ed.jp/,-,-,-
南部高等学校・龍神分校,https://www.minabe-h-b.wakayama-c.ed.jp/,-,-,-
南部高等学校,https://www.minabe-h.wakayama-c.ed.jp//,-,-,-
日高高等学校（定時制）,http://www.hidaka-h.wakayama-c.ed.jp/,-,-,-
海南高等学校・美里分校,https://www.taisei-h-b.wakayama-c.ed.jp/,-,-,-
近畿大学附属新宮高等学校,https://www.shingu.kindai.ac.jp,-,-,-
