高校名,学校独自URL,生徒数,国公立合格者数,合格率
大阪女学院高等学校,https://www.osaka-jogakuin.ed.jp/,-,-,-
英真学園高等学校,https://eishingakuen.ac.jp/,-,-,-
浪速高等学校,https://www.naniwa.ed.jp/high/,-,-,-
梅花高等学校,https://www.baika-jh.ed.jp/,-,-,-
大阪府立今宮高等学校,https://www.osaka-c.ed.jp/imamiya/,-,-,-
桃山学院高等学校,https://www.momoyamagakuin-h.ed.jp/,-,-,-
西成高等学校,https://www.osaka-c.ed.jp/nishinari/,-,-,-
昇陽高等学校,https://www.oskshoyo.ed.jp/hs/,-,-,-
あべの翔学高等学校,https://www.abeno-shogaku.ed.jp/,-,-,-
大阪学芸高等学校,https://www.osakagakugei.ac.jp/senior/,-,-,-
相愛高等学校,https://www.soai.ed.jp/,-,-,-
大商学園高等学校,https://www.daisho.ac.jp/,-,-,-
大阪体育大学浪商高等学校,https://www.ouhs-school.jp/namisho/,-,-,-
興國高等学校,https://www.kokoku.ed.jp/,2500,2,0.001
りんくう翔南高等学校,https://www2.osaka-c.ed.jp/rinkushonan/,-,-,-
大阪府立豊中高等学校能勢分校,https://nose-br.toyonaka-hs.ed.jp/,20,-,-
大阪高等学校,https://www.osakashs.ed.jp/,-,-,-
同志社香里高等学校,https://www.kori.doshisha.ac.jp/,-,-,-
大阪暁光高等学校,https://www.osakagyoko.ed.jp,-,-,-
利晶学園大阪立命館高等学校,https://www.hatsushiba.ed.jp/ritsumeikan/,-,-,-
堺工科高等学校,https://sakai-t.ed.jp/,-,-,-
好文学園女子高等学校,https://koubun.ed.jp/,-,-,-
大阪商業大学高等学校,https://www.daishodai-h.ed.jp/,-,-,-
賢明学院高等学校,https://kenmei.jp,4,-,-
太成学院大学高等学校,https://www.taisei-hs.ac.jp/hs/,-,-,-
精華高等学校,https://www.seika-h.ed.jp/,-,-,-
金蘭会高等学校,https://www.kinran.ed.jp,-,-,-
大阪偕星学園高等学校,https://www.osaka-kaisei.ac.jp/,-,-,-
上宮高等学校,https://www.uenomiya.ed.jp/,-,-,-
日新高等学校,https://school.higashiosaka-osk.ed.jp/nisshin-h/,-,-,-
