高校名,学校独自URL,生徒数,国公立合格者数,合格率
聖心ウルスラ学園高等学校,https://ursula.ed.jp/high/,-,-,-
宮崎北高等学校,http://cms.miyazaki-c.ed.jp/6040/htdocs/,-,-,-
日向学院高等学校,http://www.hyugagakuin.ac.jp/,-,-,-
小林西高等学校,https://www.kobayashi-nishi.net/,-,-,-
日章学園九州国際高等学校,http://www.nissho.ac.jp/nkih/,-,-,-
宮崎学園高等学校,https://www.miyagaku.ed.jp/,-,-,-
宮崎日本大学高等学校,https://www.m-nichidai.com/,-,-,-
都城聖ドミニコ学園高等学校,https://www.mdominico.com/,2025,-,-
本庄高等学校,https://cms.miyazaki-c.ed.jp/6006/,100,-,-
日南学園高等学校　宮崎穎学館,https://www.eigakukan.ed.jp/,-,-,-
宮崎農業高等学校,https://cms.miyazaki-c.ed.jp/6004/,-,-,-
高千穂高等学校,https://www.miyazaki-c.ed.jp/takachiho-h/,-,-,-
宮崎工業高等学校,http://www.miyazaki-c.ed.jp/miyazaki-th/,-,-,-
日向高等学校,https://hyuga-hs.ed.jp/,-,-,-
富島高等学校,https://tomishima.ed.jp/zen,4,-,-
高鍋高等学校,http://takanabe-hs.ed.jp,-,-,-
高鍋農業高等学校,http://www.takanabe-ah.ed.jp/,-,-,-
延岡高等学校,https://cms.miyazaki-c.ed.jp/6027/htdocs/,80,-,-
日南学園高等学校,https://www.nichigaku-highschool.info/,-,-,-
門川高等学校,https://cms.miyazaki-c.ed.jp/6048/,-,-,-
宮崎商業高等学校,https://cms.miyazaki-c.ed.jp/6003/htdocs/,3,-,-
延岡工業高等学校,https://cms.miyazaki-c.ed.jp/6029/htdocs,-,-,-
宮崎海洋高等学校,http://cms.miyazaki-c.ed.jp/6046hp/htdocs/index.php?page_id=0,-,-,-
宮崎大宮高等学校,https://miyazakiohmiya-h.ed.jp/,-,-,-
日向工業高等学校,http://www.miyazaki-c.ed.jp/hyuga-th/,-,-,-
宮崎西高等学校,https://cms.miyazaki-c.ed.jp/6037/htdocs/,-,-,-
妻高等学校,https://cms.miyazaki-c.ed.jp/6052/,-,-,-
宮崎南高等学校,https://www.miyazaki-c.ed.jp/miyazakiminami-h/,-,-,-
日南高等学校,https://cms.miyazaki-c.ed.jp/6007/,-,-,-
延岡商業高等学校,http://cms.miyazaki-c.ed.jp/6030/htdocs/,-,-,-
鵬翔高等学校,https://www.hosho.ed.jp/,-,-,-
延岡青朋高等学校（通信制）,http://www.miyazaki-c.ed.jp/nobeokaseihou-h/tsushin/tsushin_top.htm,-,-,-
福島高等学校,http://www.miyazaki-c.ed.jp/myz-fukushima-h/,-,-,-
宮崎工業高等学校（定時制）,http://www.miyazaki-c.ed.jp/miyazaki-th/,-,-,-
都城泉ヶ丘高等学校,https://cms.miyazaki-c.ed.jp/6011/htdocs/,16,-,-
宮崎東高等学校（通信制）,http://cms.miyazaki-c.ed.jp/6041/htdocs/,-,-,-
宮崎第一高等学校,https://miyaichi.ed.jp/,-,-,-
小林秀峰高等学校,https://cms.miyazaki-c.ed.jp/6050/,-,-,-
高城高等学校,http://www.miyazaki-c.ed.jp/takajo-h/,-,-,-
飯野高等学校,https://iino-hs.ed.jp,-,-,-
延岡星雲高等学校,http://www.miyazaki-c.ed.jp/nobeokaseiun-h/,-,-,-
都城農業高等学校,https://cms.miyazaki-c.ed.jp/6012/htdocs/,197,-,-
日南振徳高等学校,https://cms.miyazaki-c.ed.jp/6051/htdocs/,-,-,-
宮崎東高等学校（定時制）,http://www.miyazaki-c.ed.jp/miyazakihigashi-h/,-,-,-
延岡青朋高等学校（定時制）,http://www.miyazaki-c.ed.jp/nobeokaseihou-h/,-,-,-
都城工業高等学校,https://cms.miyazaki-c.ed.jp/6014/htdocs/,-,-,-
富島高等学校（定時制）,https://tomishima.ed.jp/tei,-,-,-
都城西高等学校,https://tonishi-h.com/,-,-,-
櫻美学園高等学校,https://miyako-higashi.ac.jp/info/,-,-,-
日章学園高等学校,http://nissho.ed.jp/,-,-,-
小林高等学校,https://cms.miyazaki-c.ed.jp/6017/htdocs/,-,-,-
都城高等学校,https://kubogakuen.ac.jp/,-,-,-
佐土原高等学校,http://www.miyazaki-c.ed.jp/sadowara-th/,-,-,-
延岡学園高等学校,https://nobeokagakuen-ed.jp/,-,-,-
都城泉ヶ丘高等学校（定時制）,http://www.miyazaki-c.ed.jp/miyakonojoizumigaoka-h/,-,-,-
都城商業高等学校,https://cms.miyazaki-c.ed.jp/6013/,-,-,-
