高校名,学校独自URL,生徒数,国公立合格者数,合格率
岩倉高等学校,http://www.tky-iwakura-h.ed.jp/,4,-,-
成女高等学校,http://www.seijo-gk.ac.jp/,-,-,-
文京学院大学女子高等学校,https://www.hs.bgu.ac.jp/,-,-,-
清瀬高等学校,https://www.metro.ed.jp/kiyose-h/,-,-,-
芝商業高等学校,http://www.shibashogyo-h.metro.tokyo.jp/,-,-,-
東京電機大学高等学校,https://www.dendai.ed.jp/,-,-,-
目白研心高等学校,http://mk.mejiro.ac.jp,-,-,-
和洋九段女子高等学校,https://www.wayokudan.ed.jp/,-,-,-
桜丘高等学校,https://sakuragaoka.ac.jp/,-,-,-
東洋高等学校,https://www.toyo.ed.jp/,-,-,-
中央学院大学中央高等学校,http://www.cguch.ed.jp/,-,-,-
聖心女子学院高等科,https://www.tky-sacred-heart.ed.jp/02_syokai.html,-,-,-
墨田工科高等学校,https://www.metro.ed.jp/sumidakoka-h/,-,-,-
東京藝術大学音楽学部附属音楽高等学校,https://geiko.geidai.ac.jp/,-,-,-
昭和第一高等学校,https://www.sdh.ed.jp/,-,-,-
貞静学園高等学校,http://www.teiseigakuen.ac.jp/,-,-,-
麹町学園女子高等学校,https://www.kojimachi.ed.jp/,-,-,-
桐朋女子高等学校,https://chuko.toho.ac.jp,-,-,-
第五商業高等学校,http://www.daigoshogyo-h.metro.tokyo.jp/,-,-,-
富士見丘高等学校,https://www.fujimigaoka.ac.jp/,-,-,-
保善高等学校,https://www.hozen.ed.jp,-,-,-
二松学舎大学附属高等学校,https://www.nishogakusha-highschool.ac.jp/,-,-,-
帝京八王子高等学校,https://teihachi.ed.jp/,-,-,-
正則高等学校,https://www.seisoku.ed.jp,-,-,-
安部学院高等学校,https://www.abe-gakuin.ed.jp/,-,-,-
関東国際高等学校,https://www.kantokokusai.ac.jp,-,-,-
かえつ有明高等学校,https://www.ariake.kaetsu.ac.jp/,-,-,-
大東学園高等学校,https://ikou.daitogakuen.ed.jp,-,-,-
文教大学付属高等学校,https://www.bunkyo.ac.jp/jsh/,-,-,-
佼成学園女子高等学校,https://www.girls.kosei.ac.jp/,-,-,-
下北沢成徳高等学校,https://www.shimokitazawa-seitoku.ed.jp/,-,-,-
聖学院高等学校,https://www.seigakuin.ed.jp/,-,-,-
東京実業高等学校,https://www.tojitsu.ed.jp,-,-,-
瀧野川女子学園高等学校,https://www.takinogawa.ed.jp/,-,-,-
松蔭大学附属松蔭高等学校,http://www.shoin.ed.jp,-,-,-
目黒日本大学高等学校,https://www.meguro-nichidai.ed.jp,-,-,-
愛国高等学校,https://www.aikokugakuen.ac.jp/senior-high/,-,-,-
東京農業大学第一高等学校,http://www.nodai-1-h.ed.jp/,-,-,-
共栄学園高等学校,https://kyoei-g.ed.jp/,-,-,-
品川翔英高等学校,https://www.shinagawa-shouei.ac.jp/jhhs/,-,-,-
品川学藝高等学校,https://shinagawa.ed.jp/,-,-,-
東京成徳大学高等学校（高等部）,https://www.tokyoseitoku.jp/hs/,-,-,-
駿台学園高等学校,https://www.sundaigakuen.ac.jp/,1,-,-
駒沢学園女子高等学校,https://www.komajo.ac.jp/jsh/,-,-,-
駒場学園高等学校,https://www.komabagakuen.ac.jp/,-,-,-
中村高等学校,https://www.nakamura.ed.jp,-,-,-
東京高等学校,https://tokyo-hs.jp/,-,-,-
北豊島高等学校,http://www.kitatoshima.ed.jp/,-,-,-
羽田国際高等学校,http://www.kanno.ac.jp/,-,-,-
修徳高等学校,http://www.shutoku.ac.jp/,-,-,-
品川エトワール女子高等学校,https://www.etoile.ed.jp/,-,-,-
玉川聖学院高等部,http://www.tamasei.ed.jp/,-,-,-
多摩大学目黒高等学校,http://www.tmh.ac.jp/,4,-,-
国本女子高等学校,https://kunimoto.ac.jp/jsh/,-,-,-
安田学園高等学校,https://www.yasuda.ed.jp/,-,-,-
拓殖大学第一高等学校,https://www.takuichi.ed.jp,-,-,-
芝浦工業大学附属高等学校,https://www.fzk.shibaura-it.ac.jp/,-,-,-
八王子学園八王子高等学校,https://www.hachioji.ed.jp/,-,-,-
日本大学櫻丘高等学校,https://www.sakura.chs.nihon-u.ac.jp/,-,-,-
共立女子第二高等学校,https://www.kyoritsu-wu.ac.jp/nichukou/,39,-,-
玉川学園高等部,https://www.tamagawa.jp/academy/,-,-,-
桜美林高等学校,http://www.obirin.ed.jp,-,-,-
淑徳高等学校,http://www.shukutoku.ed.jp/,1,-,-
中央大学杉並高等学校,https://chusugi.jp/,-,-,-
国立音楽大学附属高等学校,https://www.kunion.ed.jp/,-,-,-
国学院大学久我山高等学校,http://www.kugayama-h.ed.jp/,-,-,-
日本大学第二高等学校,https://www.nichidai2.ac.jp/,-,-,-
日本大学鶴ヶ丘高等学校,https://www.tsurugaoka.hs.nihon-u.ac.jp/,-,-,-
フェリシア高等学校,https://www.felicia.ed.jp/,1,-,-
日本女子体育大学附属二階堂高等学校,http://www.nikaido.ed.jp,-,-,-
立川女子高等学校,https://www.tachikawa-joshi.ac.jp/,-,-,-
啓明学園高等学校,https://www.keimei.ac.jp/jsh/,-,-,-
光塩女子学院高等科,https://www.koen-ejh.ed.jp/,-,-,-
東星学園高等学校,https://www.tosei.ed.jp/,-,-,-
新渡戸文化高等学校,https://www.el.nitobebunka.ed.jp/,-,-,-
東京家政大学附属女子高等学校,https://www.tokyo-kasei.ed.jp,2,-,-
巣鴨高等学校,https://www.sugamo.ed.jp/,360,-,-
女子美術大学付属高等学校,http://www.joshibi.ac.jp/fuzoku/,-,-,-
大東文化大学第一高等学校,https://www.daito.ac.jp/ichiko/,-,-,-
川村高等学校,https://www.kawamura.ac.jp/cyu-kou/,5,-,-
日本体育大学桜華高等学校,http://www.ohka.ed.jp/,-,-,-
城北高等学校,https://www.johoku.ac.jp/,-,-,-
帝京大学高等学校,https://www.teikyo-u.ed.jp/,-,-,-
杉並学院高等学校,http://suginami.ed.jp,-,-,-
聖徳学園高等学校,http://jsh.shotoku.ed.jp,-,-,-
成蹊高等学校,http://www.seikei.ac.jp/jsh/,-,-,-
立志舎高等学校,https://www.risshisha.ed.jp/,-,-,-
北海道芸術高等学校　東京池袋キャンパス（通信制）,https://www.kyokei.ac.jp/,-,-,-
立教英国学院高等部,http://www.rikkyo.co.uk/,-,-,-
法政大学高等学校,http://www.hosei.ed.jp/,1,-,-
桐朋高等学校,https://www.toho.ed.jp/,2025,-,-
文華女子高等学校,https://www.bunkagakuen.ac.jp,100,-,-
明星学園高等学校,https://www.myojogakuen.ed.jp/high_school/,-,-,-
