高校名,学校独自URL,生徒数,国公立合格者数,合格率
仙台育英学園高等学校　ＩＬＣ沖縄（通信制）,http://sendaiikuei-tsushin.jp/t_o_top.html,-,-,-
沖縄カトリック高等学校,https://ocjs.catholic-okinawa.ed.jp/,-,-,-
仙台育英学園沖縄高等学校,https://www.sendaiikuei.ed.jp/okinawa/,-,-,-
宜野座高等学校,http://www.ginoza-h.open.ed.jp/,-,-,-
中部商業高等学校,http://www.chubu-ch.open.ed.jp/,-,-,-
知念高等学校,http://www.chinen-h.open.ed.jp/,-,-,-
八重山高等学校,http://www.yaeyama-h.open.ed.jp/,-,-,-
那覇高等学校,http://www.naha-h.open.ed.jp/,-,-,-
本部高等学校,http://www.motobu-h.open.ed.jp/,-,-,-
豊見城高等学校,http://www.tomishiro-h.open.ed.jp/,-,-,-
読谷高等学校,http://www.yomitan-h.open.ed.jp/,1,-,-
前原高等学校,http://www.maehara-h.open.ed.jp/,4,-,-
首里高等学校,http://www.shuri-h.open.ed.jp/,-,-,-
糸満高等学校,http://www.itoman-h.open.ed.jp/,-,-,-
沖縄工業高等学校,http://www.okinawa-th.open.ed.jp/,-,-,-
真和志高等学校,http://www.mawashi-h.open.ed.jp/,-,-,-
宮古高等学校,http://www.miyako-h.open.ed.jp/,-,-,-
小禄高等学校,http://www.oroku-h.open.ed.jp/,-,-,-
久米島高等学校,http://www.kumejima-h.open.ed.jp/,-,-,-
名護高等学校,https://www.nago-h.open.ed.jp/,-,-,-
普天間高等学校,http://www.futenma-h.open.ed.jp/,-,-,-
辺土名高等学校,http://www.hentona-h.open.ed.jp/,8,-,-
石川高等学校,http://www.ishikawa-h.open.ed.jp/,-,-,-
北山高等学校,http://www.hokuzan-h.open.ed.jp/,-,-,-
那覇商業高等学校,http://www.naha-ch.open.ed.jp/,-,-,-
浦添高等学校,http://www.urasoe-h.open.ed.jp/,-,-,-
首里東高等学校,http://www.shurihigashi-h.open.ed.jp/,14,-,-
南部商業高等学校,http://www.nanbu-ch.open.ed.jp/,-,-,-
宜野湾高等学校,https://www.ginowan-h.open.ed.jp/,-,-,-
浦添工業高等学校,http://www.urasoe-th.open.ed.jp/,29,-,-
名護商工高等学校,http://www.nago-th.open.ed.jp/,1,-,-
陽明高等学校,http://www.yomei-h.open.ed.jp/,-,-,-
那覇工業高等学校,http://www.naha-th.open.ed.jp/,-,-,-
北中城高等学校,http://www.kitanaka-h.open.ed.jp/,-,-,-
西原高等学校,http://www.nishihara-h.open.ed.jp/,-,-,-
北部農林高等学校,http://www.hokubu-ah.open.ed.jp/,-,-,-
開邦高等学校,http://www.kaiho-h.open.ed.jp/,-,-,-
南部農林高等学校,http://www.nanbu-ah.open.ed.jp/,-,-,-
宮古総合実業高等学校,http://www.miyasou-h.open.ed.jp/,41,-,-
八重山農林高等学校,http://www.yaeyama-ah.open.ed.jp/,15,-,-
南部工業高等学校,http://www.nanbu-th.open.ed.jp/,3,-,-
美来工科高等学校,http://www.mirai-th.open.ed.jp,-,-,-
豊見城南高等学校,http://www.tominan-h.open.ed.jp/,-,-,-
具志川高等学校,http://www.gushikawa-h.open.ed.jp/,-,-,-
沖縄水産高等学校,http://www.okisui-h.open.ed.jp/,-,-,-
美里高等学校,http://www.misato-h.open.ed.jp/,-,-,-
美里工業高等学校,http://www.misato-th.open.ed.jp/,-,-,-
具志川商業高等学校,http://www.gushikawa-ch.open.ed.jp/,-,-,-
浦添商業高等学校,http://www.urasoe-ch.open.ed.jp/,-,-,-
中部農林高等学校,http://www.chubu-ah.open.ed.jp/,-,-,-
南風原高等学校,http://www.haebaru-h.open.ed.jp/,-,-,-
八重山商工高等学校,http://www.yaeyama-th.open.ed.jp/,-,-,-
嘉手納高等学校,http://www.kadena-h.open.ed.jp/,-,-,-
北谷高等学校,http://www.chatan-h.open.ed.jp,-,-,-
与勝高等学校,http://www.yokatsu-h.open.ed.jp/,-,-,-
宮古工業高等学校,http://www.miyako-th.open.ed.jp/,-,-,-
泊高等学校（定時制）,http://www.tomari-h.open.ed.jp/,-,-,-
球陽高等学校,http://www.kyuyo-h.open.ed.jp/,-,-,-
向陽高等学校,http://www.koyo-h.open.ed.jp/,-,-,-
八洲学園大学国際高等学校（通信制）,http://www.yashima.ac.jp/okinawa/,-,-,-
那覇工業高等学校（定時制）,http://teiji.naha-th.open.ed.jp/,-,-,-
コザ高等学校（定時制）,http://www.koza-h.open.ed.jp/teiji/,-,-,-
中部農林高等学校（定時制）,http://www.chubu-ah.open.ed.jp/,-,-,-
北部農林高等学校（定時制）,http://www.hokubu-ah.open.ed.jp/,-,-,-
那覇国際高等学校,http://www.nahakokusai-h.open.ed.jp/,11,-,-
那覇西高等学校,http://www.nahanishi-h.open.ed.jp/,-,-,-
昭和薬科大学附属高等学校,https://www.showayakka-jh.ed.jp/,-,-,-
エナジックスポーツ高等学院,https://www.oshiro.ed.jp/enagicsports-hs/,-,-,-
沖縄尚学高等学校,https://www.okisho.ed.jp/,-,-,-
ヒューマンキャンパス高等学校（通信制）,http://www.hchs.ed.jp/,-,-,-
泊高等学校（通信制）,http://www.tomari-h.open.ed.jp/,-,-,-
那覇商業高等学校（定時制）,http://www.naha-ch.open.ed.jp/,-,-,-
つくば開成国際高等学校（通信制）,http://tkaisei-okinawa.jp/,-,-,-
八重山商工高等学校（定時制）,http://www.yaeyama-th.open.ed.jp/,-,-,-
未来高等学校　沖縄学習センター（通信制）,http://hi.ida.ac.jp,-,-,-
興南高等学校,https://konan-h.ed.jp/,-,-,-
