高校名,学校独自URL,生徒数,国公立合格者数,合格率
啓新高等学校,https://www.keishin.ed.jp/,-,-,-
北陸高等学校,https://www.hokuriku.ed.jp,-,-,-
鯖江高等学校,https://www.sabae-h.ed.jp/,-,-,-
金津高等学校,http://www.kanazu-h.ed.jp/,-,-,-
福井工業大学附属福井高等学校,https://www.fukui-ut-fukui-h.ed.jp/,-,-,-
藤島高等学校,https://www.fujishima-h.ed.jp/,-,-,-
若狭東高等学校,http://www.wakasahigashi-h.ed.jp/,-,-,-
高志高等学校,https://www.koshi-h.ed.jp/,-,-,-
仁愛女子高等学校,https://www.jin-ai-h.ed.jp,-,-,-
武生商工高等学校,https://www.takefu-sk.ed.jp/,-,-,-
坂井高等学校,https://www.sakai-h.ed.jp/,-,-,-
敦賀気比高等学校,https://tsurugakehi.ed.jp/,-,-,-
科学技術高等学校,http://www2.kagakugijutsu-h.ed.jp/index.html,-,-,-
大野高等学校,http://www.daiko.ed.jp/,-,-,-
奥越明成高等学校,http://www.okuetsumeisei-h.ed.jp/,-,-,-
羽水高等学校,http://www.usui-h.ed.jp/,-,-,-
武生高等学校,https://www.takefu-h.ed.jp/,-,-,-
武生東高等学校,http://www.takefuhigashi-h.ed.jp/,-,-,-
福井農林高等学校,https://www.fukuinorin-h.ed.jp/,-,-,-
若狭高等学校,http://www.wakasa-h.ed.jp/,-,-,-
足羽高等学校,http://www.asuwa-h.ed.jp/,-,-,-
美方高等学校,https://www.mikata-h.ed.jp/,-,-,-
丹生高等学校,http://www.nyu-h.ed.jp/,-,-,-
三国高等学校,http://www.mikuni-h.ed.jp/,-,-,-
敦賀工業高等学校,http://www.tsuruga-th.ed.jp/,-,-,-
勝山高等学校,http://www.fki-katsuyama-h.ed.jp/,-,-,-
敦賀国際令和高等学校,https://www.hsp.ac.jp/,-,-,-
敦賀高等学校,http://www.tonkou.ed.jp/,-,-,-
丸岡高等学校,http://maruoka-h.sakura.ne.jp/,-,-,-
鯖江高等学校（定時制）,http://www.sabae-h.ed.jp/,-,-,-
丸岡高等学校（定時制）,http://www.maruoka-h-b.ed.jp/,-,-,-
ＡＯＩＫＥ高等学校　本校（通信制）,https://aoike-highschool.jp/,-,-,-
若狭高等学校（定時制）,http://www.wakasa-h.ed.jp/,-,-,-
大野高等学校（定時制）,http://www.daiko.ed.jp/parttime/post.html,-,-,-
道守高等学校（定時制）,http://www.michimori-h.ed.jp/,-,-,-
敦賀高等学校（定時制）,http://www.tonkou.ed.jp/_new/teijiseihp/,-,-,-
道守高等学校（通信制）,http://www.michimori-h.ed.jp/,-,-,-
