高校名,学校独自URL,生徒数,国公立合格者数,合格率
秋田修英高等学校,http://www.akitashuei.net,-,-,-
秋田令和高等学校,https://www.akitareiwa-h.ed.jp/,-,-,-
国学館高等学校,https://www.kokugakukan.ed.jp/,-,-,-
聖霊学園高等学校,https://www.akita-seirei.ac.jp/highschool/,-,-,-
秋田修英高等学校（通信制）,http://www.akitashuei.net/publics/index/50/,-,-,-
男鹿海洋高等学校,http://www.kaiyou-h.akita-pref.ed.jp/,-,-,-
秋田北鷹高等学校,http://www.akitahokuyou-h.akita-pref.ed.jp/,-,-,-
大曲高等学校,http://www.omagari-h.com/,-,-,-
湯沢高等学校,https://yuzawa-hs.net/,-,-,-
西目高等学校,http://www.nishime-h.akita-pref.ed.jp,-,-,-
本荘高等学校,http://www.honjo-h.akita-pref.ed.jp//zen/homepage/index.html,-,3,-
能代科学技術高等学校,http://www.nst-h.akita-pref.ed.jp/index.html,-,-,-
秋田工業高等学校,http://www.akiko-h.akita-pref.ed.jp/,-,-,-
大館鳳鳴高等学校,http://www.homei-h.akita-pref.ed.jp/?page_id=10,-,-,-
大館桂桜高等学校,https://keio.odate.school/,-,-,-
大曲農業高等学校・太田分校,http://www.daino-h-ohta.akita-pref.ed.jp/,-,-,-
大曲農業高等学校,https://daino-hs.net/,-,-,-
大曲工業高等学校,http://www.daikou-h.akita-pref.ed.jp/,-,-,-
秋田南高等学校,https://akitaminami-h.wixsite.com/akitaminami,-,-,-
由利工業高等学校,http://www.yuritech-h.akita-pref.ed.jp/,-,-,-
秋田高等学校,https://www.akita-h.akita-c.ed.jp/,-,-,-
由利高等学校,http://www.yuri-h.akita-pref.ed.jp/,-,-,-
能代高等学校,http://www.noshiro-h.akita-pref.ed.jp/,-,-,-
金足農業高等学校,http://www.kanano-h.akita-pref.ed.jp/,-,-,-
大館国際情報学院高等学校,http://www.okj-h.akita-pref.ed.jp/,-,-,-
矢島高等学校,http://www.yashima-h.akita-pref.ed.jp/,-,-,-
秋田北高等学校,http://akitakita-h.net/,-,-,-
湯沢翔北高等学校雄勝校,http://www.shouhoku-h-ogachi.akita-pref.ed.jp/,-,-,-
大館高等学校（定時制）,http://www.homei-h-tei.akita-pref.ed.jp/,-,-,-
御所野学院高等学校,https://fa.fureai-cloud.jp/jzdn,-,-,-
角館高等学校,http://www.kakunodate-h.akita-pref.ed.jp/zenniti/,5,-,-
角館高等学校（定時制）,http://www.kakunodate-h.akita-pref.ed.jp/tei/,-,-,-
横手高等学校,https://yokote-h.info,-,-,-
横手清陵学院高等学校,http://www.yokote-seiryou.net/,-,-,-
男鹿工業高等学校,http://www.ogakogyou-h.akita-pref.ed.jp/,-,-,-
仁賀保高等学校,http://www.nikaho-h.ed.jp/,50,-,-
秋田中央高等学校,https://akitachuo-h.jp/,2025,-,-
秋田商業高等学校,https://akisho.ed.jp/,2025,-,-
横手城南高等学校,http://www.johnan-h.net/,-,-,-
六郷高等学校,http://rokugo-h.com/,-,-,-
秋田明徳館高等学校（定時制）,http://www.meitoku-h.akita-pref.ed.jp/,-,-,-
秋田明徳館高等学校（通信制）,http://www.meitoku-h.akita-pref.ed.jp/tsuu/tsuumenu.htm,-,-,-
湯沢翔北高等学校,https://yuzawashouhoku.net/,-,-,-
本荘高等学校（定時制）,http://www.honjo-h.akita-pref.ed.jp/teiji/,-,-,-
増田高等学校,https://www.masuda-h.net/,-,-,-
ノースアジア大学明桜高等学校,https://www.meioh.ed.jp/,-,-,-
秋田西高等学校,http://www.akitanishi-h.akita-pref.ed.jp/,-,-,-
西仙北高等学校,http://www.nishisenboku-h.akita-pref.ed.jp/,-,-,-
平成高等学校,http://www.heisei-h.akita-pref.ed.jp/wp/,-,-,-
能代松陽高等学校,http://www.noshiroshoyo-h.akita-pref.ed.jp,-,-,-
新屋高等学校,http://www.araya-h.akita-pref.ed.jp/,-,-,-
横手高等学校定時制課程青雲館,http://www.yokote-h-tei.akita-pref.ed.jp/,-,-,-
雄物川高等学校,http://www.omonogawa-hs.com/htdocs/,-,-,-
