高校名,学校独自URL,生徒数,国公立合格者数,合格率
高崎健康福祉大学高崎高等学校,https://www.tuhw-h.ed.jp/,-,35,-
関東学園大学附属高等学校,https://www.kanto-gakuen.ac.jp/high/,-,-,-
ぐんま国際アカデミー高等部,https://www.gka.ed.jp,-,-,-
白根開善学校高等部,https://www.shirane.ac.jp,-,-,-
明和県央高等学校,https://www.meiwakenoh.ed.jp/,-,-,-
新島学園高等学校,https://niijima-gakuen.jp/,-,-,-
常磐高等学校,http://www.tkw.ac.jp,-,-,-
尾瀬高等学校,https://oze-hs.gsn.ed.jp/,-,-,-
前橋育英高等学校,http://www.maebashiikuei-h.ed.jp/,-,-,-
伊勢崎清明高等学校,https://seimei-hs.gsn.ed.jp,3,-,-
前橋南高等学校,https://maenan-hs.gsn.ed.jp/,2025,-,-
前橋女子高等学校,https://maejo-hs.gsn.ed.jp/,-,-,-
伊勢崎工業高等学校,https://iko-hs.gsn.ed.jp,-,-,-
高崎商業高等学校,http://www.takasyo-hs.gsn.ed.jp/,-,-,-
高崎女子高等学校,https://takajo-hs.gsn.ed.jp,-,-,-
桐生高等学校,https://kiryu-hs.gsn.ed.jp/,4,-,-
桐生工業高等学校,https://kiriko-hs.gsn.ed.jp/,-,-,-
勢多農林高等学校,https://setano-hs.gsn.ed.jp/,55,-,-
前橋高等学校,https://maebashi-hs.gsn.ed.jp/,-,-,-
高崎高等学校,https://takasaki-hs.gsn.ed.jp/,-,-,-
前橋工業高等学校,https://maeko-hs.gsn.ed.jp/,-,-,-
伊勢崎興陽高等学校,http://www.nc.koyo-hs.gsn.ed.jp/,-,-,-
高崎工業高等学校,https://takako-hs.gsn.ed.jp/,-,-,-
伊勢崎高等学校,https://isesaki-hs.gsn.ed.jp/,7,-,-
伊勢崎商業高等学校,https://isyo-hs.gsn.ed.jp/,-,-,-
前橋商業高等学校,https://maesho-hs.gsn.ed.jp,-,-,-
渋川青翠高等学校,https://seisui-hs.gsn.ed.jp/,-,-,-
榛名高等学校,https://harukou-hs.gsn.ed.jp/,-,-,-
新田暁高等学校,https://akatsuki-hs.gsn.ed.jp,-,-,-
大泉高等学校,https://oizumi-hs.gsn.ed.jp/,4,-,-
太田女子高等学校,https://tajyo-hs.gsn.ed.jp/,-,-,-
嬬恋高等学校,https://tsumagoi-hs.gsn.ed.jp/,-,-,-
太田工業高等学校,https://tako-hs.gsn.ed.jp,-,-,-
西邑楽高等学校,https://nishioura-hs.gsn.ed.jp/,-,-,-
万場高等学校,http://www.center.gsn.ed.jp/gakko/kou/manba/,-,-,-
藤岡工業高等学校,https://fujikou-hs.gsn.ed.jp/,-,-,-
桐生市立商業高等学校,http://www.kirisyo.jp/,-,-,-
渋川高等学校,https://sibukawa-hs.gsn.ed.jp/,-,-,-
富岡高等学校,https://tomioka-hs.gsn.ed.jp/,-,-,-
富岡実業高等学校,https://tomijitsu-hs.gsn.ed.jp,-,-,-
沼田高等学校,https://numata-hs.gsn.ed.jp,-,-,-
太田高等学校,https://ota-hs.gsn.ed.jp/,-,-,-
大間々高等学校,https://omama-hs.gsn.ed.jp,-,-,-
板倉高等学校,https://itakura-hs.gsn.ed.jp/,-,-,-
館林女子高等学校,http://kanjo.main.jp,-,-,-
長野原高等学校,https://naganohara-hs.gsn.ed.jp/,-,-,-
利根実業高等学校,https://tonejitu-hs.gsn.ed.jp/,-,-,-
吾妻中央高等学校,https://agachuo-hs.gsn.ed.jp/,-,-,-
吉井高等学校,http://www.nc.yoshii-hs.gsn.ed.jp/,-,-,-
渋川女子高等学校,http://www.sibujyo-hs.gsn.ed.jp,-,-,-
松井田高等学校,https://matuida-hs.gsn.ed.jp/,-,-,-
安中総合学園高等学校,https://annakasogo-hs.gsn.ed.jp,-,-,-
前橋市立前橋高等学校,https://ichimae.ed.jp/,-,-,-
下仁田高等学校,https://shimonita-hs.gsn.ed.jp/,-,-,-
玉村高等学校,https://tamamura-hs.gsn.ed.jp,-,-,-
館林高等学校,https://tateko-hs.gsn.ed.jp/,100,-,-
渋川工業高等学校（定時制）,https://shibuko-hs.gsn.ed.jp/bc4a0b6334343ea8aa6931df8d619717,-,-,-
桐生第一高等学校,https://www.kiriichi.ac.jp/,-,-,-
沼田高等学校（定時制）,https://numata-hs.gsn.ed.jp/%E5%AE%9A%E6%99%82%E5%88%B6%E3%82%88%E3%82%8A,-,-,-
桐生市立商業高等学校（定時制）,https://kirisyo.edumap.jp/evening,-,-,-
太田市立太田高等学校,https://www.otacity-hs.com/,276,-,-
桐生工業高等学校（定時制）,https://kiriko-ths.gsn.ed.jp/,-,-,-
利根商業高等学校,http://www.tonesho.ed.jp/,-,-,-
富岡高等学校（定時制）,https://tomioka-ths.gsn.ed.jp/,370,-,-
東京農業大学第二高等学校,https://www.nodai-2-h.ed.jp/,-,-,-
高崎東高等学校,https://takahi-hs.gsn.ed.jp,-,-,-
高崎高等学校（通信制）,https://takasaki-hs.gsn.ed.jp/tusin,6,-,-
太田東高等学校,https://tahigasi-hs.gsn.ed.jp,-,-,-
館林商工高等学校,https://kansyoko-hs.gsn.ed.jp,-,-,-
高崎市立高崎経済大学附属高等学校,https://tcue-h.edumap.jp/,-,-,-
高崎北高等学校,https://takakita-hs.gsn.ed.jp/,-,-,-
渋川工業高等学校,https://shibuko-hs.gsn.ed.jp,-,-,-
館林高等学校（定時制）,https://tateko-hs.gsn.ed.jp/ff01d1306bc41c23c0758427178c19c6,6,-,-
藤岡中央高等学校（定時制）,https://ftyuou-hs.gsn.ed.jp/7900715cbc7d059c79de446eefdf5358,-,-,-
前橋西高等学校,https://maenisi-hs.gsn.ed.jp,-,-,-
高崎商業高等学校（定時制）,https://takasyo-hs.gsn.ed.jp/%E5%AE%9A%E6%99%82%E5%88%B6,-,-,-
桐生清桜高等学校,https://kiryuseio-hs.gsn.ed.jp/,3,-,-
高崎工業高等学校（定時制）,https://takako-ths.gsn.ed.jp/,-,-,-
高崎商科大学附属高等学校,https://www.tuc-hs.ed.jp/,-,-,-
藤岡北高等学校,https://fujikita-hs.gsn.ed.jp/,19,-,-
前橋工業高等学校（定時制）,https://maeko-hs.gsn.ed.jp/%E5%AE%9A%E6%99%82%E5%88%B6,-,-,-
共愛学園高等学校,http://hs.kyoai.ac.jp,-,-,-
前橋清陵高等学校（定時制）,https://seiryo-hs.gsn.ed.jp/,-,-,-
樹徳高等学校,https://www.jutoku.ed.jp/high/,-,-,-
伊勢崎工業高等学校（定時制）,https://iko-ths.gsn.ed.jp/,-,-,-
前橋東高等学校,http://www.nc.maehigashi-hs.gsn.ed.jp/,-,-,-
藤岡中央高等学校,https://ftyuou-hs.gsn.ed.jp/,-,-,-
四ツ葉学園中等教育学校,http://www.yotsuba-ss.ed.jp/,10,-,-
中央中等教育学校,https://chuo-ss.gsn.ed.jp/,2,-,-
前橋清陵高等学校（通信制）,https://seiryo-hs.gsn.ed.jp/93c2c7626986c511592e75d31b11f229,2025,-,-
太田フレックス高等学校（通信制）,https://otaflex-hs.gsn.ed.jp/,-,-,-
太田フレックス高等学校（定時制）,https://otaflex-hs.gsn.ed.jp/,-,-,-
