高校名,学校独自URL,生徒数,国公立合格者数,合格率
つくばサイエンス高等学校,https://www.tsukuba-science-h.ibk.ed.jp/,-,-,-
つくば秀英高等学校,https://www.tsukubashuei.com/,-,-,-
愛国学園大学附属龍ケ崎高等学校,https://www.aikoku-ryugasaki.ed.jp/,-,-,-
中央高等学校,https://www.chuo-h.ibk.ed.jp/,-,-,-
大子清流高等学校,http://www.daigoseiryu-h.ibk.ed.jp,-,-,-
水戸桜ノ牧高等学校常北校,http://www.johoku-h.ed.ibk.jp/,-,-,-
大洗高等学校,http://www.oarai-h.ibk.ed.jp/,2025,-,-
晃陽学園高等学校,https://www.koyo-gakuen.ac.jp/,-,-,-
青丘学院つくば高等学校,http://cheonggu.ed.jp/,-,-,-
つくば国際大学高等学校,https://www.tiuh.ed.jp/,-,-,-
水戸啓明高等学校,https://www.mito-keimei.ed.jp/,-,-,-
境高等学校,http://www.sakai-h.ibk.ed.jp/,-,-,-
土浦工業高等学校,https://www.tsuchiura-th.ibk.ed.jp/,-,-,-
茨城キリスト教学園高等学校,https://www.icc.ac.jp/ich/,-,-,-
水戸葵陵高等学校,https://www.kiryo.ac.jp/,-,-,-
高萩清松高等学校,http://www.takahagiseisho-h.ibk.ed.jp/,-,-,-
日立第一高等学校,https://www.hitachi1-h.ibk.ed.jp/,-,-,-
磯原郷英高等学校,http://www.isoharakyoei-h.ibk.ed.jp/,28,-,-
日立第二高等学校,https://www.hitachi2-h.ibk.ed.jp/,-,-,-
日立商業高等学校,https://www.hitachi-ch.ibk.ed.jp/,-,-,-
日立工業高等学校,https://www.hitachi-th.ibk.ed.jp/,-,-,-
太田第一高等学校,http://www.ota1-h.ibk.ed.jp/,-,-,-
多賀高等学校,http://www.taga-h.ibk.ed.jp,-,-,-
石岡第二高等学校,https://www.ishioka2-h.ibk.ed.jp,-,6,-
茨城県立笠間高等学校,https://www.kasama-h.ibk.ed.jp/,-,-,-
波崎高等学校,http://www.hasaki-h.ibk.ed.jp/,-,-,-
石岡第一高等学校,https://www.ishioka1-h.ibk.ed.jp/,-,26,-
小瀬高等学校,https://www.ose-h.ibk.ed.jp/,-,-,-
鹿島高等学校,https://www.kashima-h.ibk.ed.jp/,-,-,-
水戸第一高等学校,http://www.mito1-h.ibk.ed.jp,2024,-,-
土浦第三高等学校,https://www.tsuchiura3-h.ibk.ed.jp/,-,-,-
鉾田第一高等学校,https://www.hokota1-h.ibk.ed.jp/,-,-,-
勝田中等教育学校,https://www.katsuta-cs.ibk.ed.jp/,-,-,-
筑波高等学校,https://www.tsukuba-h.ibk.ed.jp/,-,-,-
水戸工業高等学校,http://www.mito-th.ibk.ed.jp,-,11,-
勝田工業高等学校,http://www.katsuta-th.ibk.ed.jp,-,-,-
那珂湊高等学校,https://www.nakaminato-h.ibk.ed.jp/,3,-,-
水戸第二高等学校,http://www.mito2-h.ibk.ed.jp,1900,1,0.001
太田西山高等学校,http://www.otaseizan-h.ibk.ed.jp/,-,-,-
土浦第一高等学校,http://www.tsuchiura1-h.ibk.ed.jp/,-,-,-
土浦第二高等学校,http://www.tsuchiura2-h.ibk.ed.jp/,23,121,5.261
水戸農業高等学校,https://www.mito-ah.ibk.ed.jp/,-,-,-
潮来高等学校,https://www.itako-h.ibk.ed.jp/,-,-,-
水戸第三高等学校,https://www.mito3-h.ibk.ed.jp/,-,-,-
麻生高等学校,http://www.asou-h.ibk.ed.jp/,-,-,-
常陸大宮高等学校,http://www.hitachiomiya-h.ibk.ed.jp,-,-,-
水戸商業高等学校,https://www.mito-ch.ibk.ed.jp/,-,-,-
玉造工業高等学校,http://www.tamatsukuri-th.ibk.ed.jp/,-,-,-
茨城県立海洋高等学校,https://www.kaiyo-h.ibk.ed.jp/,-,-,-
石岡商業高等学校,http://www.ishioka-ch.ibk.ed.jp/,-,-,-
鉾田第二高等学校,https://www.hokota2-h.ibk.ed.jp/,-,-,-
神栖高等学校,https://www.kamisu-h.ibk.ed.jp/,-,-,-
緑岡高等学校,http://www.midorioka-h.ibk.ed.jp/,45,-,-
明野高等学校,http://www.akeno-h.ibk.ed.jp,-,-,-
結城第二高等学校（定時制）,http://www.yuki2-h.ibk.ed.jp/,-,-,-
総和工業高等学校,http://www.sowa-th.ibk.ed.jp/,-,-,-
ＩＴ未来高等学校,https://www.it-mirai-h.ibk.ed.jp/,-,-,-
竜ヶ崎第二高等学校,https://www.ryugasaki2-h.ibk.ed.jp/,-,-,-
古河第二高等学校,http://www.koga2-h.ibk.ed.jp/,-,-,-
茨城県立取手第一高等学校,http://www.toride1-h.ibk.ed.jp/?page_id=79,-,-,-
東海高等学校,https://www.tokai-h.ibk.ed.jp/,-,-,-
石下紫峰高等学校,http://www.ishigeshiho-h.ibk.ed.jp/,-,-,-
下妻第一高等学校,https://www.shimotsuma1-h.ibk.ed.jp,-,-,-
牛久高等学校,http://www.ushiku-h.ibk.ed.jp/,9,-,-
下館第二高等学校,https://www.shimodate2-h.ibk.ed.jp/,-,-,-
下妻第二高等学校,https://www.shimotsuma2-h.ibk.ed.jp/,-,-,-
真壁高等学校,http://www.makabe-h.ibk.ed.jp/,24,-,-
取手第二高等学校,http://www.toride2-h.ibk.ed.jp/,100,-,-
竜ヶ崎第一高等学校,http://www.ryugasaki1-h.ibk.ed.jp/,-,-,-
坂東清風高等学校,http://www.bandoseifu-h.ibk.ed.jp/,-,-,-
茨城東高等学校,https://www.ibarakihigashi-h.ibk.ed.jp/,-,-,-
下館第一高等学校,http://www.shimodate1-h.ibk.ed.jp/,100,-,-
古河第一高等学校,http://www.koga1-h.ibk.ed.jp/,-,-,-
藤代高等学校,https://www.fujishiro-h.ibk.ed.jp/,12,-,-
水海道第二高等学校,http://www.mitsukaido2-h.ibk.ed.jp,150,-,-
鬼怒商業高等学校,http://www.kinu-ch.ibk.ed.jp,10,-,-
下館工業高等学校,https://www.shimodate-th.ibk.ed.jp/,-,-,-
水海道第一高等学校,http://www.mitsukaido1-h.ibk.ed.jp/,-,-,-
結城第一高等学校,http://www.yuki1-h.ibk.ed.jp/,2025,-,-
竹園高等学校,https://www.takezono-h.ibk.ed.jp/,-,-,-
八千代高等学校,http://www.yachiyo-h.ibk.ed.jp,-,-,-
古河第三高等学校,http://www.koga3-h.ibk.ed.jp/,-,-,-
岩瀬高等学校,http://www.iwase-h.ibk.ed.jp/,-,-,-
聖徳大学附属取手聖徳女子高等学校,https://www.torideseitoku.ed.jp/,-,-,-
牛久栄進高等学校,http://www.ushikueishin-h.ibk.ed.jp/,-,-,-
東洋大学附属牛久高等学校,https://www.toyo.ac.jp/ushiku/sh/,-,-,-
常総学院高等学校,https://www.joso.ac.jp/high/,-,-,-
日立北高等学校,https://www.hitachikita-h.ibk.ed.jp/,-,78,-
土浦日本大学高等学校,https://www.tng.ac.jp/tsuchiura/,-,-,-
水戸桜ノ牧高等学校,http://www.mitosakuranomaki-h.ibk.ed.jp/,-,-,-
茗溪学園高等学校,https://www.meikei.ac.jp/,-,-,-
明秀学園日立高等学校,http://www.meishu.ac.jp/,-,-,-
那珂高等学校,https://www.naka-h.ibk.ed.jp/,-,7,-
日立工業高等学校（定時制）,http://www.hitachi-th.ibk.ed.jp/?page_id=202,-,-,-
取手松陽高等学校,http://www.torideshoyo-h.ibk.ed.jp,6,-,-
茎崎高等学校（定時制）,https://www.kukizaki-h.ibk.ed.jp/,-,-,-
波崎柳川高等学校,https://www.hasakiyanagawa-h.ibk.ed.jp/,1,-,-
土浦湖北高等学校,http://www.tsuchiurakohoku-h.ibk.ed.jp/,-,-,-
鹿島灘高等学校（定時制・単位制）,https://www.kashimanada-h.ibk.ed.jp/,-,-,-
清真学園高等学校,http://www.seishingakuen.ed.jp/,-,-,-
江戸川学園取手高等学校,https://www2.e-t.ed.jp/,-,-,-
守谷高等学校,https://www.moriya-h.ibk.ed.jp/,-,-,-
水城高等学校,https://www.suijo.ac.jp/,-,-,-
竜ヶ崎南高等学校,http://www.ryugasakiminami-h.ibk.ed.jp/,-,-,-
水戸女子高等学校,https://www.mitojoshi.ed.jp/,-,-,-
伊奈高等学校,http://www.ina-h.ibk.ed.jp/,-,-,-
佐和高等学校,http://www.sawa-h.ibk.ed.jp/,-,-,-
常磐大学高等学校,https://www.tokiwa.ac.jp/~tokikou/index.html,-,-,-
鹿島学園高等学校,https://kgh.ed.jp,-,-,-
茨城高等学校,https://www.ibaraki-jsh.ed.jp/,-,-,-
藤代紫水高等学校,http://www.fujishiroshisui-h.ibk.ed.jp/?page_id=105,-,-,-
水戸平成学園高等学校（通信制）,https://mitoheisei.ac.jp/,-,-,-
水戸農業高等学校（定時制）,http://www.mito-ah.ibk.ed.jp/?page_id=145,-,-,-
並木中等教育学校,http://www.namiki-cs.ed.jp/,-,-,-
土浦第一高等学校（定時制）,http://www.tsuchiura1-h.ibk.ed.jp/?page_id=133,-,-,-
翔洋学園高等学校（通信制）,https://www.shoyo.ac.jp/,-,-,-
つくば開成高等学校（通信制）,http://www.t-kaisei.ed.jp,6,-,-
岩瀬日本大学高等学校,https://www.tng.ac.jp/iwase/,-,-,-
第一学院高等学校　高萩本校（通信制）,https://www.daiichigakuin.ed.jp/,-,-,-
ルネサンス高等学校　茨城本校（通信制）,https://www.r-ac.jp/,-,-,-
太田第一高等学校（定時制）,http://www.ota1-h.ibk.ed.jp/,-,-,-
水戸南高等学校（通信制）,http://www.mitominami-h.ibk.ed.jp/?page_id=207,-,-,-
明秀学園日立高等学校　水戸キャンパス（通信制）,https://www.meishu.ac.jp/tsushin/campus/mito.html,-,-,-
古河第一高等学校（定時制）,http://www.koga1-h.ibk.ed.jp/,-,-,-
明秀学園日立高等学校　下館キャンパス（通信制）,https://www.meishu.ac.jp/tsushin/index.html,-,-,-
明秀学園日立高等学校　日立キャンパス（通信制）,https://www.meishu.ac.jp/tsushin/index.html,-,-,-
つくば国際大学東風高等学校,https://www.harukaze.ed.jp/,-,-,-
土浦日本大学中等教育学校,http://www.tng.ac.jp/sec-sch,-,-,-
鹿島学園高等学校（通信制）,https://kgh.ed.jp/,-,-,-
江戸崎総合高等学校,https://www.edosakisougou-h.ibk.ed.jp/,-,-,-
古河中等教育学校,http://www.koga-cs.ibk.ed.jp,2025,-,-
水戸南高等学校（定時制）,https://www.mitominami-h.ibk.ed.jp/,-,-,-
