高校名,学校独自URL,生徒数,国公立合格者数,合格率
加藤学園暁秀高等学校,http://www.katoh-net.ac.jp/GyoshuHS,-,-,-
浜松修学舎高等学校,https://www.shugakusha.ed.jp/,-,-,-
藤枝順心高等学校,https://fgjunshin.net,-,-,-
オイスカ浜松国際高等学校,https://www.oisca.ed.jp,-,-,-
清水国際高等学校,https://www.shimizu-kokusai.ac.jp/,-,-,-
静岡西高等学校,https://shizuokanishi-h.ed.jp/,-,-,-
不二聖心女子学院高等学校,https://www.fujiseishin-jh.ed.jp/,18,-,-
知徳高等学校,https://mishima-hs.com/,-,-,-
誠恵高等学校,http://www.seikei-on.ac.jp/,-,-,-
静岡県富士見高等学校,http://www.fujimi.ed.jp/,-,2,-
常葉大学附属常葉高等学校,https://www.tokoha.ac.jp/hs-tokoha/,-,-,-
沼津中央高等学校,https://www.n-chuo.ac.jp/,-,-,-
静岡雙葉高等学校,https://www.shizuoka-futaba.ac.jp/,-,-,-
島田樟誠高等学校,https://shosei.ed.jp/,-,-,-
伊豆総合高等学校土肥分校,https://www.edu.pref.shizuoka.jp/toi-b/home.nsf/IndexFormView?OpenView,-,-,-
松崎高等学校,http://www.edu.pref.shizuoka.jp/matsuzaki-h/home.nsf/,-,-,-
稲取高等学校,https://www.edu.pref.shizuoka.jp/inatori-h/,6,-,-
韮山高等学校,https://www.edu.pref.shizuoka.jp/nirayama-h/home.nsf/IndexFormView?OpenView,2025,-,-
伊豆伊東高等学校,http://www.edu.pref.shizuoka.jp/izuito-h/home.nsf/IndexFormView?OpenView,-,-,-
下田高等学校,https://www.edu.pref.shizuoka.jp/shimoda-h/home.nsf/IndexFormView?OpenView,-,-,-
伊豆総合高等学校,http://www.edu.pref.shizuoka.jp/izusogo-h/home.nsf/,-,-,-
熱海高等学校,https://www.edu.pref.shizuoka.jp/atami-h/home.nsf,-,-,-
田方農業高等学校,https://www.edu.pref.shizuoka.jp/tagata-ah/home.nsf/IndexFormView?OpenView,-,-,-
藤枝東高等学校,https://fujiedahigashi-h.ed.jp/,2023,-,-
富士宮東高等学校,http://www.edu.pref.shizuoka.jp/fujinomiyahigashi-h/home.nsf,-,-,-
静岡農業高等学校,https://www.edu.pref.shizuoka.jp/shizuoka-ah/home.nsf/IndexFormView?OpenView,-,-,-
焼津水産高等学校,http://www.edu.pref.shizuoka.jp/yaizusuisan-h/home.nsf/,-,-,-
三島北高等学校,http://www.edu.pref.shizuoka.jp/mishimakita-h/home.nsf/IndexFormView?OpenView,-,-,-
静岡城北高等学校,http://www.edu.pref.shizuoka.jp/shizuokajohoku-h/home.nsf/,-,-,-
御殿場高等学校,https://www.edu.pref.shizuoka.jp/gotemba-h/home.nsf/IndexFormView?OpenView,-,-,-
